subject,time,evoked,condition
0102-PV1XF,-0.2,1.644131878543668e-07,congruent
0102-PV1XF,-0.195,2.0091967802078756e-07,congruent
0102-PV1XF,-0.19,1.921139974662468e-07,congruent
0102-PV1XF,-0.185,5.931405887416703e-08,congruent
0102-PV1XF,-0.18,-9.979019651561047e-08,congruent
0102-PV1XF,-0.175,-1.4199939595882518e-07,congruent
0102-PV1XF,-0.17,-8.202002602535939e-08,congruent
0102-PV1XF,-0.165,-7.009572741940864e-08,congruent
0102-PV1XF,-0.16,-1.739602083110306e-07,congruent
0102-PV1XF,-0.155,-2.8783617953299784e-07,congruent
0102-PV1XF,-0.15,-2.9779082178038324e-07,congruent
0102-PV1XF,-0.145,-2.480422459100861e-07,congruent
0102-PV1XF,-0.14,-2.6307237661082693e-07,congruent
0102-PV1XF,-0.135,-3.65190306948968e-07,congruent
0102-PV1XF,-0.13,-4.7548573804027994e-07,congruent
0102-PV1XF,-0.125,-5.678974628425279e-07,congruent
0102-PV1XF,-0.12,-6.986774879201716e-07,congruent
0102-PV1XF,-0.115,-8.649851428634342e-07,congruent
0102-PV1XF,-0.11,-9.567210202963392e-07,congruent
0102-PV1XF,-0.105,-9.210383623256614e-07,congruent
0102-PV1XF,-0.1,-8.691356047099936e-07,congruent
0102-PV1XF,-0.095,-9.028745790028352e-07,congruent
0102-PV1XF,-0.09,-9.048018393255786e-07,congruent
0102-PV1XF,-0.085,-6.536674348442474e-07,congruent
0102-PV1XF,-0.08,-1.4832191063019501e-07,congruent
0102-PV1XF,-0.075,3.322277895006791e-07,congruent
0102-PV1XF,-0.07,5.451041824667054e-07,congruent
0102-PV1XF,-0.065,5.303956055337042e-07,congruent
0102-PV1XF,-0.06,4.575451536790312e-07,congruent
0102-PV1XF,-0.055,3.441070716231945e-07,congruent
0102-PV1XF,-0.05,8.991830883266613e-08,congruent
0102-PV1XF,-0.045,-2.520633257029998e-07,congruent
0102-PV1XF,-0.04,-4.299790947174136e-07,congruent
0102-PV1XF,-0.035,-2.725364500765711e-07,congruent
0102-PV1XF,-0.03,1.1592172986531579e-07,congruent
0102-PV1XF,-0.025,5.148476201161553e-07,congruent
0102-PV1XF,-0.02,8.493726813934072e-07,congruent
0102-PV1XF,-0.015,1.1899368338762462e-06,congruent
0102-PV1XF,-0.01,1.555398269398476e-06,congruent
0102-PV1XF,-0.005,1.8438907245502147e-06,congruent
0102-PV1XF,0.0,1.962556188183763e-06,congruent
0102-PV1XF,0.005,1.9303427624531583e-06,congruent
0102-PV1XF,0.01,1.8288246097830656e-06,congruent
0102-PV1XF,0.015,1.716061508532978e-06,congruent
0102-PV1XF,0.02,1.6134590934340424e-06,congruent
0102-PV1XF,0.025,1.517904045434535e-06,congruent
0102-PV1XF,0.03,1.3980297057575906e-06,congruent
0102-PV1XF,0.035,1.2245272832289154e-06,congruent
0102-PV1XF,0.04,1.0246120496403523e-06,congruent
0102-PV1XF,0.045,8.54510063633916e-07,congruent
0102-PV1XF,0.05,6.93444849614888e-07,congruent
0102-PV1XF,0.055,4.361006767692835e-07,congruent
0102-PV1XF,0.06,3.866454137070844e-08,congruent
0102-PV1XF,0.065,-3.961793188899016e-07,congruent
0102-PV1XF,0.07,-7.565097314172754e-07,congruent
0102-PV1XF,0.075,-1.0767520872064867e-06,congruent
0102-PV1XF,0.08,-1.4305382300211062e-06,congruent
0102-PV1XF,0.085,-1.6919821262891707e-06,congruent
0102-PV1XF,0.09,-1.5756282173074598e-06,congruent
0102-PV1XF,0.095,-9.929284963277752e-07,congruent
0102-PV1XF,0.1,-2.56227791388452e-07,congruent
0102-PV1XF,0.105,1.8774883965270765e-07,congruent
0102-PV1XF,0.11,1.6700272789093603e-07,congruent
0102-PV1XF,0.115,-1.8103152412250012e-07,congruent
0102-PV1XF,0.12,-7.133229453878134e-07,congruent
0102-PV1XF,0.125,-1.442592479873945e-06,congruent
0102-PV1XF,0.13,-2.359976723968408e-06,congruent
0102-PV1XF,0.135,-3.263040799393952e-06,congruent
0102-PV1XF,0.14,-3.895145520869018e-06,congruent
0102-PV1XF,0.145,-4.190600608422326e-06,congruent
0102-PV1XF,0.15,-4.261571789677147e-06,congruent
0102-PV1XF,0.155,-4.173339246869799e-06,congruent
0102-PV1XF,0.16,-3.86008939201607e-06,congruent
0102-PV1XF,0.165,-3.273786263213613e-06,congruent
0102-PV1XF,0.17,-2.4895755216057487e-06,congruent
0102-PV1XF,0.175,-1.6010979039686918e-06,congruent
0102-PV1XF,0.18,-6.108634872339416e-07,congruent
0102-PV1XF,0.185,4.743458082063826e-07,congruent
0102-PV1XF,0.19,1.4981590117455658e-06,congruent
0102-PV1XF,0.195,2.2301933190380143e-06,congruent
0102-PV1XF,0.2,2.5894863230424067e-06,congruent
0102-PV1XF,0.205,2.6957601114818126e-06,congruent
0102-PV1XF,0.21,2.6740063820254493e-06,congruent
0102-PV1XF,0.215,2.5050911258946873e-06,congruent
0102-PV1XF,0.22,2.125938299646407e-06,congruent
0102-PV1XF,0.225,1.5851090692313245e-06,congruent
0102-PV1XF,0.23,9.969818616985401e-07,congruent
0102-PV1XF,0.235,3.943072866508368e-07,congruent
0102-PV1XF,0.24,-2.4595859491281093e-07,congruent
0102-PV1XF,0.245,-8.304750360043516e-07,congruent
0102-PV1XF,0.25,-1.1387874645504813e-06,congruent
0102-PV1XF,0.255,-1.062671107135192e-06,congruent
0102-PV1XF,0.26,-7.718656827076095e-07,congruent
0102-PV1XF,0.265,-5.412992866795836e-07,congruent
0102-PV1XF,0.27,-4.4689738839673743e-07,congruent
0102-PV1XF,0.275,-3.319898623294041e-07,congruent
0102-PV1XF,0.28,-5.909921624232458e-08,congruent
0102-PV1XF,0.285,3.2228382752081775e-07,congruent
0102-PV1XF,0.29,6.907415504012217e-07,congruent
0102-PV1XF,0.295,1.0210484655400606e-06,congruent
0102-PV1XF,0.3,1.342993443066027e-06,congruent
0102-PV1XF,0.305,1.599314886465748e-06,congruent
0102-PV1XF,0.31,1.6848975882353194e-06,congruent
0102-PV1XF,0.315,1.6426198337546166e-06,congruent
0102-PV1XF,0.32,1.6925236633390612e-06,congruent
0102-PV1XF,0.325,1.983264809899895e-06,congruent
0102-PV1XF,0.33,2.388328997680272e-06,congruent
0102-PV1XF,0.335,2.659236424769368e-06,congruent
0102-PV1XF,0.34,2.7535519549438376e-06,congruent
0102-PV1XF,0.345,2.8800224419383206e-06,congruent
0102-PV1XF,0.35,3.1822595824823884e-06,congruent
0102-PV1XF,0.355,3.4996135164819556e-06,congruent
0102-PV1XF,0.36,3.555584380546127e-06,congruent
0102-PV1XF,0.365,3.3278200096488452e-06,congruent
0102-PV1XF,0.37,3.0901869424703874e-06,congruent
0102-PV1XF,0.375,3.069144386283886e-06,congruent
0102-PV1XF,0.38,3.1797758965373715e-06,congruent
0102-PV1XF,0.385,3.175580537486558e-06,congruent
0102-PV1XF,0.39,2.963002573549672e-06,congruent
0102-PV1XF,0.395,2.657298795106234e-06,congruent
0102-PV1XF,0.4,2.374295880634745e-06,congruent
0102-PV1XF,0.405,2.1034035445556165e-06,congruent
0102-PV1XF,0.41,1.8046361741892005e-06,congruent
0102-PV1XF,0.415,1.5133213256545482e-06,congruent
0102-PV1XF,0.42,1.282172582800978e-06,congruent
0102-PV1XF,0.425,1.0938095515714447e-06,congruent
0102-PV1XF,0.43,9.121004564201374e-07,congruent
0102-PV1XF,0.435,7.759582111684146e-07,congruent
0102-PV1XF,0.44,7.573056548285768e-07,congruent
0102-PV1XF,0.445,8.403228697622967e-07,congruent
0102-PV1XF,0.45,9.220913485575898e-07,congruent
0102-PV1XF,0.455,9.355937565935107e-07,congruent
0102-PV1XF,0.46,9.022851633553231e-07,congruent
0102-PV1XF,0.465,8.51341404910659e-07,congruent
0102-PV1XF,0.47,7.73525379537924e-07,congruent
0102-PV1XF,0.475,6.86815882345989e-07,congruent
0102-PV1XF,0.48,6.665055252759176e-07,congruent
0102-PV1XF,0.485,7.401750323700784e-07,congruent
0102-PV1XF,0.49,8.060367293632974e-07,congruent
0102-PV1XF,0.495,7.430931776973863e-07,congruent
0102-PV1XF,0.5,5.752404674903889e-07,congruent
0102-PV1XF,0.505,4.409599783042761e-07,congruent
0102-PV1XF,0.51,4.11843786210606e-07,congruent
0102-PV1XF,0.515,4.3929153344747497e-07,congruent
0102-PV1XF,0.52,4.913114083658891e-07,congruent
0102-PV1XF,0.525,6.191557184497355e-07,congruent
0102-PV1XF,0.53,8.242154493874844e-07,congruent
0102-PV1XF,0.535,9.67045270722409e-07,congruent
0102-PV1XF,0.54,9.280158931128608e-07,congruent
0102-PV1XF,0.545,7.939689481795787e-07,congruent
0102-PV1XF,0.55,7.411090607478646e-07,congruent
0102-PV1XF,0.555,7.555121729524767e-07,congruent
0102-PV1XF,0.56,6.359004149375883e-07,congruent
0102-PV1XF,0.565,3.1916048702126246e-07,congruent
0102-PV1XF,0.57,3.7917894460366075e-08,congruent
0102-PV1XF,0.575,2.3790555680210958e-08,congruent
0102-PV1XF,0.58,1.6275119210699139e-07,congruent
0102-PV1XF,0.585,1.2565383545527087e-07,congruent
0102-PV1XF,0.59,-1.7844117561425824e-07,congruent
0102-PV1XF,0.595,-4.6161111330619095e-07,congruent
0102-PV1XF,0.6,-4.252199452528026e-07,congruent
0102-PV1XF,0.605,-1.22956311503698e-07,congruent
0102-PV1XF,0.61,1.5044857623322605e-07,congruent
0102-PV1XF,0.615,2.3707532588011965e-07,congruent
0102-PV1XF,0.62,2.3509628602848586e-07,congruent
0102-PV1XF,0.625,2.727481150038253e-07,congruent
0102-PV1XF,0.63,3.182282535200316e-07,congruent
0102-PV1XF,0.635,2.671280362438539e-07,congruent
0102-PV1XF,0.64,1.2233852746502958e-07,congruent
0102-PV1XF,0.645,3.9385179253243494e-09,congruent
0102-PV1XF,0.65,1.3103208779808652e-08,congruent
0102-PV1XF,0.655,1.4488346455682798e-07,congruent
0102-PV1XF,0.66,3.186788310476181e-07,congruent
0102-PV1XF,0.665,4.506302530887343e-07,congruent
0102-PV1XF,0.67,5.061202062154722e-07,congruent
0102-PV1XF,0.675,5.207830870403942e-07,congruent
0102-PV1XF,0.68,5.730341126795781e-07,congruent
0102-PV1XF,0.685,7.084106385504379e-07,congruent
0102-PV1XF,0.69,8.829088850947317e-07,congruent
0102-PV1XF,0.695,9.9446986023024e-07,congruent
0102-PV1XF,0.7,9.724373571380629e-07,congruent
0102-PV1XF,0.705,8.32122469527098e-07,congruent
0102-PV1XF,0.71,6.523239010863861e-07,congruent
0102-PV1XF,0.715,5.167185847173863e-07,congruent
0102-PV1XF,0.72,4.6490009343673597e-07,congruent
0102-PV1XF,0.725,4.661644524981299e-07,congruent
0102-PV1XF,0.73,4.427493444824002e-07,congruent
0102-PV1XF,0.735,3.462500414932288e-07,congruent
0102-PV1XF,0.74,2.0732302241336665e-07,congruent
0102-PV1XF,0.745,8.461591463804382e-08,congruent
0102-PV1XF,0.75,-2.2155975602939428e-08,congruent
0102-PV1XF,0.755,-1.5826815318145012e-07,congruent
0102-PV1XF,0.76,-3.140091420574382e-07,congruent
0102-PV1XF,0.765,-4.049920580741972e-07,congruent
0102-PV1XF,0.77,-3.923486223168559e-07,congruent
0102-PV1XF,0.775,-3.592660300947914e-07,congruent
0102-PV1XF,0.78,-3.974681811294739e-07,congruent
0102-PV1XF,0.785,-4.6301356431400583e-07,congruent
0102-PV1XF,0.79,-4.409311956945765e-07,congruent
0102-PV1XF,0.795,-3.4147008708703703e-07,congruent
0102-PV1XF,0.8,-3.084595422972328e-07,congruent
0102-PV1XF,0.805,-3.859263757817314e-07,congruent
0102-PV1XF,0.81,-3.8676652575044055e-07,congruent
0102-PV1XF,0.815,-1.0005605860304581e-07,congruent
0102-PV1XF,0.82,4.207838446402325e-07,congruent
0102-PV1XF,0.825,8.96586177375443e-07,congruent
0102-PV1XF,0.83,1.136657353020785e-06,congruent
0102-PV1XF,0.835,1.192456608295781e-06,congruent
0102-PV1XF,0.84,1.1728991036569825e-06,congruent
0102-PV1XF,0.845,1.0431798889255772e-06,congruent
0102-PV1XF,0.85,7.23107474850748e-07,congruent
0102-PV1XF,0.855,3.101587283788576e-07,congruent
0102-PV1XF,0.86,5.617537412185911e-08,congruent
0102-PV1XF,0.865,1.1292130954590337e-07,congruent
0102-PV1XF,0.87,4.1208970927627884e-07,congruent
0102-PV1XF,0.875,8.265898345699278e-07,congruent
0102-PV1XF,0.88,1.3252836966806212e-06,congruent
0102-PV1XF,0.885,1.8773555214174247e-06,congruent
0102-PV1XF,0.89,2.301268625925159e-06,congruent
0102-PV1XF,0.895,2.3739758645418383e-06,congruent
0102-PV1XF,0.9,2.1064977198638537e-06,congruent
0102-PV1XF,0.905,1.777326049241364e-06,congruent
0102-PV1XF,0.91,1.6213865744814515e-06,congruent
0102-PV1XF,0.915,1.567306137862982e-06,congruent
0102-PV1XF,0.92,1.3714567929197766e-06,congruent
0102-PV1XF,0.925,9.62027791016697e-07,congruent
0102-PV1XF,0.93,5.354676647822048e-07,congruent
0102-PV1XF,0.935,3.1316955695691797e-07,congruent
0102-PV1XF,0.94,3.079847184952488e-07,congruent
0102-PV1XF,0.945,3.7580495985051955e-07,congruent
0102-PV1XF,0.95,4.046721890824363e-07,congruent
0102-PV1XF,0.955,3.615298105818832e-07,congruent
0102-PV1XF,0.96,2.0357061639312011e-07,congruent
0102-PV1XF,0.965,-1.2881026722443246e-07,congruent
0102-PV1XF,0.97,-5.957478961222223e-07,congruent
0102-PV1XF,0.975,-1.0150500821939778e-06,congruent
0102-PV1XF,0.98,-1.2014104680731404e-06,congruent
0102-PV1XF,0.985,-1.123489119719785e-06,congruent
0102-PV1XF,0.99,-8.830163128888084e-07,congruent
0102-PV1XF,0.995,-5.744038282202677e-07,congruent
0102-PV1XF,1.0,-2.3237856787889963e-07,congruent
