subject,time,evoked,condition
0102-PV1XF,-0.2,-1.7963776448963465e-07,incongruent
0102-PV1XF,-0.195,-2.8750158692089595e-07,incongruent
0102-PV1XF,-0.19,-3.147987020647475e-07,incongruent
0102-PV1XF,-0.185,-1.4999767651655384e-07,incongruent
0102-PV1XF,-0.18,6.989586509359089e-08,incongruent
0102-PV1XF,-0.175,1.582744276340308e-07,incongruent
0102-PV1XF,-0.17,1.317089367627321e-07,incongruent
0102-PV1XF,-0.165,1.6815397415697955e-07,incongruent
0102-PV1XF,-0.16,3.5692413250773744e-07,incongruent
0102-PV1XF,-0.155,5.924676657224516e-07,incongruent
0102-PV1XF,-0.15,7.213620708663495e-07,incongruent
0102-PV1XF,-0.145,7.075803502246869e-07,incongruent
0102-PV1XF,-0.14,6.110371797835097e-07,incongruent
0102-PV1XF,-0.135,4.7039118622640193e-07,incongruent
0102-PV1XF,-0.13,2.792584481784125e-07,incongruent
0102-PV1XF,-0.125,6.491767791948415e-08,incongruent
0102-PV1XF,-0.12,-8.330814270413836e-08,incongruent
0102-PV1XF,-0.115,-9.847884303355326e-08,incongruent
0102-PV1XF,-0.11,-2.0092259252698005e-08,incongruent
0102-PV1XF,-0.105,4.120008095513162e-08,incongruent
0102-PV1XF,-0.1,2.840016166631013e-08,incongruent
0102-PV1XF,-0.095,7.339623243598633e-09,incongruent
0102-PV1XF,-0.09,9.414781663686904e-08,incongruent
0102-PV1XF,-0.085,3.0895829774524785e-07,incongruent
0102-PV1XF,-0.08,5.196252590903894e-07,incongruent
0102-PV1XF,-0.075,5.610600752931792e-07,incongruent
0102-PV1XF,-0.07,4.134529799250981e-07,incongruent
0102-PV1XF,-0.065,2.2247754975598444e-07,incongruent
0102-PV1XF,-0.06,1.1482896252279895e-07,incongruent
0102-PV1XF,-0.055,3.800985323982978e-08,incongruent
0102-PV1XF,-0.05,-1.5382287431283193e-07,incongruent
0102-PV1XF,-0.045,-4.748746935986752e-07,incongruent
0102-PV1XF,-0.04,-7.587589702554761e-07,incongruent
0102-PV1XF,-0.035,-8.603090905645002e-07,incongruent
0102-PV1XF,-0.03,-8.215834078451801e-07,incongruent
0102-PV1XF,-0.025,-7.749702488015464e-07,incongruent
0102-PV1XF,-0.02,-7.415474763354329e-07,incongruent
0102-PV1XF,-0.015,-6.233406531750185e-07,incongruent
0102-PV1XF,-0.01,-3.761165975517004e-07,incongruent
0102-PV1XF,-0.005,-8.916454388015926e-08,incongruent
0102-PV1XF,0.0,1.2683089383317786e-07,incongruent
0102-PV1XF,0.005,2.4989197680326537e-07,incongruent
0102-PV1XF,0.01,3.1955632462365267e-07,incongruent
0102-PV1XF,0.015,3.7995406483736797e-07,incongruent
0102-PV1XF,0.02,4.834101628490038e-07,incongruent
0102-PV1XF,0.025,6.632510975251165e-07,incongruent
0102-PV1XF,0.03,8.417641881532947e-07,incongruent
0102-PV1XF,0.035,8.451189135074261e-07,incongruent
0102-PV1XF,0.04,6.146761478645979e-07,incongruent
0102-PV1XF,0.045,3.438334869475109e-07,incongruent
0102-PV1XF,0.05,2.719771500636923e-07,incongruent
0102-PV1XF,0.055,3.5777142656105916e-07,incongruent
0102-PV1XF,0.06,3.053130849672252e-07,incongruent
0102-PV1XF,0.065,-4.992909523701186e-08,incongruent
0102-PV1XF,0.07,-5.316798631023172e-07,incongruent
0102-PV1XF,0.075,-8.744742104058032e-07,incongruent
0102-PV1XF,0.08,-1.0328667388563485e-06,incongruent
0102-PV1XF,0.085,-1.0898066435609999e-06,incongruent
0102-PV1XF,0.09,-9.677139750898948e-07,incongruent
0102-PV1XF,0.095,-4.668417672707453e-07,incongruent
0102-PV1XF,0.1,3.7998502503510434e-07,incongruent
0102-PV1XF,0.105,1.1903886889334901e-06,incongruent
0102-PV1XF,0.11,1.5775261177649467e-06,incongruent
0102-PV1XF,0.115,1.4955124199568878e-06,incongruent
0102-PV1XF,0.12,1.1414178230660653e-06,incongruent
0102-PV1XF,0.125,6.347244539074308e-07,incongruent
0102-PV1XF,0.13,-3.3257498231445345e-08,incongruent
0102-PV1XF,0.135,-7.844995321265541e-07,incongruent
0102-PV1XF,0.14,-1.407782125857651e-06,incongruent
0102-PV1XF,0.145,-1.7854909309625177e-06,incongruent
0102-PV1XF,0.15,-2.014083000770923e-06,incongruent
0102-PV1XF,0.155,-2.2046210775549812e-06,incongruent
0102-PV1XF,0.16,-2.2760814434521706e-06,incongruent
0102-PV1XF,0.165,-2.075709567037289e-06,incongruent
0102-PV1XF,0.17,-1.6401229722814893e-06,incongruent
0102-PV1XF,0.175,-1.1821440999391423e-06,incongruent
0102-PV1XF,0.18,-8.136581917770651e-07,incongruent
0102-PV1XF,0.185,-4.1700841275707504e-07,incongruent
0102-PV1XF,0.19,1.5232974991516026e-07,incongruent
0102-PV1XF,0.195,8.390771316805052e-07,incongruent
0102-PV1XF,0.2,1.4465933943768327e-06,incongruent
0102-PV1XF,0.205,1.8526819406966003e-06,incongruent
0102-PV1XF,0.21,2.0756060421365826e-06,incongruent
0102-PV1XF,0.215,2.165797584538027e-06,incongruent
0102-PV1XF,0.22,2.1422152192901493e-06,incongruent
0102-PV1XF,0.225,2.0424083238121915e-06,incongruent
0102-PV1XF,0.23,1.931668454019375e-06,incongruent
0102-PV1XF,0.235,1.8118799290516155e-06,incongruent
0102-PV1XF,0.24,1.5910004173818833e-06,incongruent
0102-PV1XF,0.245,1.2105654098243675e-06,incongruent
0102-PV1XF,0.25,7.698212881849479e-07,incongruent
0102-PV1XF,0.255,4.474245110298719e-07,incongruent
0102-PV1XF,0.26,3.007054339684721e-07,incongruent
0102-PV1XF,0.265,2.076515197059406e-07,incongruent
0102-PV1XF,0.27,2.8797877940881903e-08,incongruent
0102-PV1XF,0.275,-2.2477463818250083e-07,incongruent
0102-PV1XF,0.28,-4.1762892513319046e-07,incongruent
