subject,time,evoked,condition
0103-XN1WL,-0.2,-3.797503958014804e-07,congruent
0103-XN1WL,-0.195,-3.067221637593257e-07,congruent
0103-XN1WL,-0.19,-1.944783929350529e-07,congruent
0103-XN1WL,-0.185,6.865488319699394e-08,congruent
0103-XN1WL,-0.18,4.158859122374397e-07,congruent
0103-XN1WL,-0.175,5.368397476636565e-07,congruent
0103-XN1WL,-0.17,2.4221906499697567e-07,congruent
0103-XN1WL,-0.165,-2.4155835569506196e-07,congruent
0103-XN1WL,-0.16,-5.064230084928746e-07,congruent
0103-XN1WL,-0.155,-4.0600810847341755e-07,congruent
0103-XN1WL,-0.15,-1.1374442489868817e-07,congruent
0103-XN1WL,-0.145,1.7528854998622188e-07,congruent
0103-XN1WL,-0.14,3.949465949125473e-07,congruent
0103-XN1WL,-0.135,4.864143894495002e-07,congruent
0103-XN1WL,-0.13,3.7038728198600814e-07,congruent
0103-XN1WL,-0.125,1.1149251117333934e-07,congruent
0103-XN1WL,-0.12,-6.204519417705282e-08,congruent
0103-XN1WL,-0.115,-1.9267187450492344e-09,congruent
0103-XN1WL,-0.11,2.2227511924322006e-07,congruent
0103-XN1WL,-0.105,5.057598014369274e-07,congruent
0103-XN1WL,-0.1,8.578196410862956e-07,congruent
0103-XN1WL,-0.095,1.2172884735261682e-06,congruent
0103-XN1WL,-0.09,1.302596044009925e-06,congruent
0103-XN1WL,-0.085,9.261624032396273e-07,congruent
0103-XN1WL,-0.08,3.7352473534946387e-07,congruent
0103-XN1WL,-0.075,1.6465391410930983e-07,congruent
0103-XN1WL,-0.07,3.8494974587558075e-07,congruent
0103-XN1WL,-0.065,5.582316852100432e-07,congruent
0103-XN1WL,-0.06,3.175783303204596e-07,congruent
0103-XN1WL,-0.055,-1.1129161810157624e-07,congruent
0103-XN1WL,-0.05,-3.586035585664009e-07,congruent
0103-XN1WL,-0.045,-5.633605121527374e-07,congruent
0103-XN1WL,-0.04,-1.1323057917246772e-06,congruent
0103-XN1WL,-0.035,-1.9101962946826885e-06,congruent
0103-XN1WL,-0.03,-2.1151054263435704e-06,congruent
0103-XN1WL,-0.025,-1.3192063902015338e-06,congruent
0103-XN1WL,-0.02,-1.2882522465930364e-07,congruent
0103-XN1WL,-0.015,4.633414569350277e-07,congruent
0103-XN1WL,-0.01,2.2209539924776944e-07,congruent
0103-XN1WL,-0.005,-2.1242691767597985e-07,congruent
0103-XN1WL,0.0,-2.5442723735070575e-07,congruent
0103-XN1WL,0.005,9.860640980794722e-09,congruent
0103-XN1WL,0.01,2.273494886690773e-07,congruent
0103-XN1WL,0.015,3.693743592142352e-07,congruent
0103-XN1WL,0.02,5.915322481716298e-07,congruent
0103-XN1WL,0.025,7.489560905873041e-07,congruent
0103-XN1WL,0.03,4.61977807379234e-07,congruent
0103-XN1WL,0.035,-3.202460074125153e-07,congruent
0103-XN1WL,0.04,-1.1377934899364056e-06,congruent
0103-XN1WL,0.045,-1.5310850700265224e-06,congruent
0103-XN1WL,0.05,-1.5348990567917309e-06,congruent
0103-XN1WL,0.055,-1.5161576561502534e-06,congruent
0103-XN1WL,0.06,-1.6698368767574059e-06,congruent
0103-XN1WL,0.065,-1.8771084045020313e-06,congruent
0103-XN1WL,0.07,-2.0029168259054417e-06,congruent
0103-XN1WL,0.075,-2.1075278305699804e-06,congruent
0103-XN1WL,0.08,-2.294247261727376e-06,congruent
0103-XN1WL,0.085,-2.4932180307825687e-06,congruent
0103-XN1WL,0.09,-2.528882982484323e-06,congruent
0103-XN1WL,0.095,-2.3480623325406884e-06,congruent
0103-XN1WL,0.1,-2.081235586561362e-06,congruent
0103-XN1WL,0.105,-1.8881412864143177e-06,congruent
0103-XN1WL,0.11,-1.8285122871814812e-06,congruent
0103-XN1WL,0.115,-1.8974849062840876e-06,congruent
0103-XN1WL,0.12,-2.0933218447761223e-06,congruent
0103-XN1WL,0.125,-2.3745151169915584e-06,congruent
0103-XN1WL,0.13,-2.5898431380577543e-06,congruent
0103-XN1WL,0.135,-2.5746732863071227e-06,congruent
0103-XN1WL,0.14,-2.376516991801653e-06,congruent
0103-XN1WL,0.145,-2.3046578671493593e-06,congruent
0103-XN1WL,0.15,-2.6549515557976964e-06,congruent
0103-XN1WL,0.155,-3.356711341006034e-06,congruent
0103-XN1WL,0.16,-3.946709425426685e-06,congruent
0103-XN1WL,0.165,-3.95646696234909e-06,congruent
0103-XN1WL,0.17,-3.299661077904128e-06,congruent
0103-XN1WL,0.175,-2.247846992268205e-06,congruent
0103-XN1WL,0.18,-1.0816666155396213e-06,congruent
0103-XN1WL,0.185,1.1336203029232752e-07,congruent
0103-XN1WL,0.19,1.2778271729198456e-06,congruent
0103-XN1WL,0.195,2.156302629235359e-06,congruent
0103-XN1WL,0.2,2.4346780635616945e-06,congruent
0103-XN1WL,0.205,2.1144867429521678e-06,congruent
0103-XN1WL,0.21,1.5607159953620088e-06,congruent
0103-XN1WL,0.215,1.074810936137933e-06,congruent
0103-XN1WL,0.22,5.617521999738148e-07,congruent
0103-XN1WL,0.225,-2.2114423882297036e-07,congruent
0103-XN1WL,0.23,-1.1750844177368203e-06,congruent
0103-XN1WL,0.235,-1.872591113748299e-06,congruent
0103-XN1WL,0.24,-2.1124089642288986e-06,congruent
0103-XN1WL,0.245,-2.185923408178524e-06,congruent
0103-XN1WL,0.25,-2.425221041875568e-06,congruent
0103-XN1WL,0.255,-2.6824083238419975e-06,congruent
0103-XN1WL,0.26,-2.531129584545609e-06,congruent
0103-XN1WL,0.265,-1.9257736393473932e-06,congruent
0103-XN1WL,0.27,-1.33627670557709e-06,congruent
0103-XN1WL,0.275,-1.1400091539555696e-06,congruent
0103-XN1WL,0.28,-1.145254096580718e-06,congruent
0103-XN1WL,0.285,-8.9073457268701e-07,congruent
0103-XN1WL,0.29,-2.3625836521421164e-07,congruent
0103-XN1WL,0.295,5.723528267240001e-07,congruent
0103-XN1WL,0.3,1.2974119398327548e-06,congruent
0103-XN1WL,0.305,1.8908258875052312e-06,congruent
0103-XN1WL,0.31,2.2992228794982197e-06,congruent
0103-XN1WL,0.315,2.3819089238275286e-06,congruent
0103-XN1WL,0.32,2.1308544727029046e-06,congruent
0103-XN1WL,0.325,1.7717045715149324e-06,congruent
0103-XN1WL,0.33,1.48872258786125e-06,congruent
0103-XN1WL,0.335,1.196760460944594e-06,congruent
0103-XN1WL,0.34,7.606410581674021e-07,congruent
0103-XN1WL,0.345,3.303461724328289e-07,congruent
0103-XN1WL,0.35,2.2579866645430101e-07,congruent
0103-XN1WL,0.355,4.883379760101099e-07,congruent
0103-XN1WL,0.36,7.739392956851524e-07,congruent
0103-XN1WL,0.365,7.885198069345425e-07,congruent
0103-XN1WL,0.37,6.603895477737444e-07,congruent
0103-XN1WL,0.375,7.370246651707686e-07,congruent
0103-XN1WL,0.38,1.1056494349952493e-06,congruent
0103-XN1WL,0.385,1.470143079177589e-06,congruent
0103-XN1WL,0.39,1.4987837101943601e-06,congruent
0103-XN1WL,0.395,1.1824047837001763e-06,congruent
0103-XN1WL,0.4,8.095908001818862e-07,congruent
0103-XN1WL,0.405,6.599595032934315e-07,congruent
0103-XN1WL,0.41,7.559464960093258e-07,congruent
0103-XN1WL,0.415,8.708407904753626e-07,congruent
0103-XN1WL,0.42,7.428171667266444e-07,congruent
0103-XN1WL,0.425,3.1473642219476365e-07,congruent
0103-XN1WL,0.43,-1.967236064819163e-07,congruent
0103-XN1WL,0.435,-4.535783004044139e-07,congruent
0103-XN1WL,0.44,-2.610268561298312e-07,congruent
0103-XN1WL,0.445,2.5187866742396083e-07,congruent
0103-XN1WL,0.45,6.953263063357415e-07,congruent
0103-XN1WL,0.455,7.325823207889448e-07,congruent
0103-XN1WL,0.46,4.1730227885414523e-07,congruent
0103-XN1WL,0.465,1.7122936236435704e-07,congruent
0103-XN1WL,0.47,2.691820513399184e-07,congruent
0103-XN1WL,0.475,3.9656017473237597e-07,congruent
0103-XN1WL,0.48,-8.367857609810056e-09,congruent
0103-XN1WL,0.485,-8.727368375457171e-07,congruent
0103-XN1WL,0.49,-1.2724739333722196e-06,congruent
0103-XN1WL,0.495,-4.816180843050669e-07,congruent
0103-XN1WL,0.5,9.181581360860751e-07,congruent
0103-XN1WL,0.505,1.5238268818986091e-06,congruent
0103-XN1WL,0.51,8.282109399492986e-07,congruent
0103-XN1WL,0.515,-9.3878002532101e-08,congruent
0103-XN1WL,0.52,1.892486279923916e-08,congruent
0103-XN1WL,0.525,9.706009012618177e-07,congruent
0103-XN1WL,0.53,1.46626702713941e-06,congruent
0103-XN1WL,0.535,9.39978415435459e-07,congruent
0103-XN1WL,0.54,2.47848912661033e-07,congruent
0103-XN1WL,0.545,3.227578090601524e-07,congruent
0103-XN1WL,0.55,8.422038610964465e-07,congruent
0103-XN1WL,0.555,8.202344466275506e-07,congruent
0103-XN1WL,0.56,1.3519595142650896e-07,congruent
0103-XN1WL,0.565,-2.742206618793964e-07,congruent
0103-XN1WL,0.57,2.3635550502103467e-07,congruent
0103-XN1WL,0.575,1.1079637061756182e-06,congruent
0103-XN1WL,0.58,1.3400500009239558e-06,congruent
0103-XN1WL,0.585,7.487592629929229e-07,congruent
0103-XN1WL,0.59,5.344012331681053e-08,congruent
0103-XN1WL,0.595,-1.0603018004172838e-07,congruent
0103-XN1WL,0.6,1.7089961618611213e-07,congruent
0103-XN1WL,0.605,3.7635079135370096e-07,congruent
0103-XN1WL,0.61,2.536277477810667e-07,congruent
0103-XN1WL,0.615,-2.0270819448277932e-08,congruent
0103-XN1WL,0.62,-1.3736580467998827e-07,congruent
0103-XN1WL,0.625,2.5067128950427857e-08,congruent
0103-XN1WL,0.63,3.3865603645801344e-07,congruent
0103-XN1WL,0.635,5.848925587861731e-07,congruent
0103-XN1WL,0.64,6.787184850055877e-07,congruent
0103-XN1WL,0.645,7.478347742393594e-07,congruent
0103-XN1WL,0.65,9.396498899022239e-07,congruent
0103-XN1WL,0.655,1.1439256443885366e-06,congruent
0103-XN1WL,0.66,1.0312544867780724e-06,congruent
0103-XN1WL,0.665,4.633916334966387e-07,congruent
0103-XN1WL,0.67,-2.1503685729816685e-07,congruent
0103-XN1WL,0.675,-4.573612910586704e-07,congruent
0103-XN1WL,0.68,-1.1520795305566555e-07,congruent
0103-XN1WL,0.685,3.7699567736472555e-07,congruent
0103-XN1WL,0.69,4.866837571848443e-07,congruent
0103-XN1WL,0.695,1.7134937025083946e-07,congruent
0103-XN1WL,0.7,-1.34619277024693e-07,congruent
0103-XN1WL,0.705,-8.89566446201703e-08,congruent
0103-XN1WL,0.71,1.6514501020090592e-07,congruent
0103-XN1WL,0.715,2.619096063456717e-07,congruent
0103-XN1WL,0.72,1.369995179382856e-07,congruent
0103-XN1WL,0.725,1.1160330652399653e-07,congruent
0103-XN1WL,0.73,4.3932149945417195e-07,congruent
0103-XN1WL,0.735,9.493685683476625e-07,congruent
0103-XN1WL,0.74,1.2577731862788547e-06,congruent
0103-XN1WL,0.745,1.2221379799276213e-06,congruent
0103-XN1WL,0.75,1.0236837335447688e-06,congruent
0103-XN1WL,0.755,8.462686869073348e-07,congruent
0103-XN1WL,0.76,6.830155110208258e-07,congruent
0103-XN1WL,0.765,5.254546236660064e-07,congruent
0103-XN1WL,0.77,5.338180148953654e-07,congruent
0103-XN1WL,0.775,8.150537852986108e-07,congruent
0103-XN1WL,0.78,1.132254171545695e-06,congruent
0103-XN1WL,0.785,1.1114489678114916e-06,congruent
0103-XN1WL,0.79,7.755858720111008e-07,congruent
0103-XN1WL,0.795,6.271163151712586e-07,congruent
0103-XN1WL,0.8,1.0269360393278043e-06,congruent
0103-XN1WL,0.805,1.668061630239847e-06,congruent
0103-XN1WL,0.81,1.906705026049816e-06,congruent
0103-XN1WL,0.815,1.553323304769922e-06,congruent
0103-XN1WL,0.82,1.0709681476208698e-06,congruent
0103-XN1WL,0.825,9.457847246593125e-07,congruent
0103-XN1WL,0.83,1.1266641186764107e-06,congruent
0103-XN1WL,0.835,1.2219906776444016e-06,congruent
0103-XN1WL,0.84,1.0508118295259109e-06,congruent
0103-XN1WL,0.845,7.326277731043256e-07,congruent
0103-XN1WL,0.85,3.319045904366457e-07,congruent
0103-XN1WL,0.855,-2.3974148821678347e-07,congruent
0103-XN1WL,0.86,-9.033167607478148e-07,congruent
0103-XN1WL,0.865,-1.2795734212713464e-06,congruent
0103-XN1WL,0.87,-1.095373818522259e-06,congruent
0103-XN1WL,0.875,-5.569257706195475e-07,congruent
0103-XN1WL,0.88,-9.683710510870749e-08,congruent
0103-XN1WL,0.885,1.6376000394156594e-07,congruent
0103-XN1WL,0.89,4.524399499521834e-07,congruent
0103-XN1WL,0.895,8.742514384079724e-07,congruent
0103-XN1WL,0.9,1.195843015369192e-06,congruent
0103-XN1WL,0.905,1.200908729008756e-06,congruent
0103-XN1WL,0.91,1.0092986042975218e-06,congruent
0103-XN1WL,0.915,8.468122026367223e-07,congruent
0103-XN1WL,0.92,6.655778815765615e-07,congruent
0103-XN1WL,0.925,2.534801111994438e-07,congruent
0103-XN1WL,0.93,-3.521513223689465e-07,congruent
0103-XN1WL,0.935,-8.32771563814068e-07,congruent
0103-XN1WL,0.94,-9.82435619362655e-07,congruent
0103-XN1WL,0.945,-9.200962211161131e-07,congruent
0103-XN1WL,0.95,-8.655686135260171e-07,congruent
0103-XN1WL,0.955,-9.027471151062075e-07,congruent
0103-XN1WL,0.96,-1.032213408993716e-06,congruent
0103-XN1WL,0.965,-1.2395290535127253e-06,congruent
0103-XN1WL,0.97,-1.3649013189558733e-06,congruent
0103-XN1WL,0.975,-1.1202471877412905e-06,congruent
0103-XN1WL,0.98,-4.7148648475803054e-07,congruent
0103-XN1WL,0.985,1.3102169845565344e-07,congruent
0103-XN1WL,0.99,1.7556879840055848e-07,congruent
0103-XN1WL,0.995,-2.967463470865643e-07,congruent
0103-XN1WL,1.0,-7.663321787210814e-07,congruent
