subject,time,evoked,condition
0103-XN1WL,-0.2,5.41515783483254e-07,incongruent
0103-XN1WL,-0.195,2.5226334203010637e-07,incongruent
0103-XN1WL,-0.19,1.6568314212658413e-07,incongruent
0103-XN1WL,-0.185,5.637444597716849e-07,incongruent
0103-XN1WL,-0.18,1.0928432079865377e-06,incongruent
0103-XN1WL,-0.175,1.2653385450053864e-06,incongruent
0103-XN1WL,-0.17,1.160177792573292e-06,incongruent
0103-XN1WL,-0.165,1.1755950418499621e-06,incongruent
0103-XN1WL,-0.16,1.2447400290005291e-06,incongruent
0103-XN1WL,-0.155,8.883838249442044e-07,incongruent
0103-XN1WL,-0.15,1.1947812878393867e-07,incongruent
0103-XN1WL,-0.145,-3.165916534988142e-07,incongruent
0103-XN1WL,-0.14,4.5815983298944936e-08,incongruent
0103-XN1WL,-0.135,6.228147426241756e-07,incongruent
0103-XN1WL,-0.13,5.673695513168413e-07,incongruent
0103-XN1WL,-0.125,-2.8754772659910064e-09,incongruent
0103-XN1WL,-0.12,-2.2161640988490249e-07,incongruent
0103-XN1WL,-0.115,2.0424962424255697e-07,incongruent
0103-XN1WL,-0.11,6.352698332389887e-07,incongruent
0103-XN1WL,-0.105,5.568058427131412e-07,incongruent
0103-XN1WL,-0.1,2.459705447798548e-07,incongruent
0103-XN1WL,-0.095,4.379214683202017e-08,incongruent
0103-XN1WL,-0.09,-3.300067968802133e-07,incongruent
0103-XN1WL,-0.085,-1.0848396542714392e-06,incongruent
0103-XN1WL,-0.08,-1.5083962140447569e-06,incongruent
0103-XN1WL,-0.075,-7.620218766304203e-07,incongruent
0103-XN1WL,-0.07,6.273417054922354e-07,incongruent
0103-XN1WL,-0.065,1.0803970255888744e-06,incongruent
0103-XN1WL,-0.06,3.3535664006385506e-08,incongruent
0103-XN1WL,-0.055,-1.1946365683254507e-06,incongruent
0103-XN1WL,-0.05,-1.199335621891916e-06,incongruent
0103-XN1WL,-0.045,-4.4301785131878555e-07,incongruent
0103-XN1WL,-0.04,-5.043118975327387e-07,incongruent
0103-XN1WL,-0.035,-1.7148039700191945e-06,incongruent
0103-XN1WL,-0.03,-2.6131907790470873e-06,incongruent
0103-XN1WL,-0.025,-1.960134462018218e-06,incongruent
0103-XN1WL,-0.02,-3.866088283350331e-07,incongruent
0103-XN1WL,-0.015,5.574670765230187e-07,incongruent
0103-XN1WL,-0.01,4.051551708491188e-07,incongruent
0103-XN1WL,-0.005,3.0050802913425804e-08,incongruent
0103-XN1WL,0.0,1.1658899563200182e-07,incongruent
0103-XN1WL,0.005,2.2423715410799747e-07,incongruent
0103-XN1WL,0.01,-3.398362364394031e-07,incongruent
0103-XN1WL,0.015,-1.3057012557397997e-06,incongruent
0103-XN1WL,0.02,-1.6452170313261267e-06,incongruent
0103-XN1WL,0.025,-8.762963342824426e-07,incongruent
0103-XN1WL,0.03,2.830927122339645e-07,incongruent
0103-XN1WL,0.035,6.928966981885808e-07,incongruent
0103-XN1WL,0.04,-6.287066928843464e-10,incongruent
0103-XN1WL,0.045,-1.0774032626231156e-06,incongruent
0103-XN1WL,0.05,-1.5628776280205044e-06,incongruent
0103-XN1WL,0.055,-1.2227169758707738e-06,incongruent
0103-XN1WL,0.06,-7.18728743985622e-07,incongruent
0103-XN1WL,0.065,-8.060973869255505e-07,incongruent
0103-XN1WL,0.07,-1.4860865522474865e-06,incongruent
0103-XN1WL,0.075,-2.0819006807547553e-06,incongruent
0103-XN1WL,0.08,-2.149899758169496e-06,incongruent
0103-XN1WL,0.085,-2.0642926905211457e-06,incongruent
0103-XN1WL,0.09,-2.510211398283446e-06,incongruent
0103-XN1WL,0.095,-3.521364838461782e-06,incongruent
0103-XN1WL,0.1,-4.3628517502149e-06,incongruent
0103-XN1WL,0.105,-4.436519913127548e-06,incongruent
0103-XN1WL,0.11,-3.986343032944831e-06,incongruent
0103-XN1WL,0.115,-3.6922308011857694e-06,incongruent
0103-XN1WL,0.12,-3.7545229987600876e-06,incongruent
0103-XN1WL,0.125,-3.713150622448445e-06,incongruent
0103-XN1WL,0.13,-3.167479771671099e-06,incongruent
0103-XN1WL,0.135,-2.326799193575053e-06,incongruent
0103-XN1WL,0.14,-1.7171727770440303e-06,incongruent
0103-XN1WL,0.145,-1.5768500961971265e-06,incongruent
0103-XN1WL,0.15,-1.7459545451514307e-06,incongruent
0103-XN1WL,0.155,-2.043887286781206e-06,incongruent
0103-XN1WL,0.16,-2.4733756112262116e-06,incongruent
0103-XN1WL,0.165,-2.972444106931252e-06,incongruent
0103-XN1WL,0.17,-3.1315855026940083e-06,incongruent
0103-XN1WL,0.175,-2.377640119417572e-06,incongruent
0103-XN1WL,0.18,-5.232778603801568e-07,incongruent
0103-XN1WL,0.185,1.8984695085229711e-06,incongruent
0103-XN1WL,0.19,3.9207855881499016e-06,incongruent
0103-XN1WL,0.195,4.800679688615129e-06,incongruent
0103-XN1WL,0.2,4.4327953741114345e-06,incongruent
0103-XN1WL,0.205,3.2169885247862733e-06,incongruent
0103-XN1WL,0.21,1.665382035840015e-06,incongruent
0103-XN1WL,0.215,2.2565525656713903e-07,incongruent
0103-XN1WL,0.22,-6.883477501398461e-07,incongruent
0103-XN1WL,0.225,-8.478140614830471e-07,incongruent
0103-XN1WL,0.23,-5.094029875241916e-07,incongruent
0103-XN1WL,0.235,-3.046780143733941e-07,incongruent
0103-XN1WL,0.24,-6.293742364680224e-07,incongruent
0103-XN1WL,0.245,-1.2560371658155718e-06,incongruent
0103-XN1WL,0.25,-1.7062567515791022e-06,incongruent
0103-XN1WL,0.255,-1.8687541534918011e-06,incongruent
0103-XN1WL,0.26,-1.9650069588437946e-06,incongruent
0103-XN1WL,0.265,-2.0108043451269197e-06,incongruent
0103-XN1WL,0.27,-1.730844955295866e-06,incongruent
0103-XN1WL,0.275,-1.089445697063575e-06,incongruent
0103-XN1WL,0.28,-4.7441935818201413e-07,incongruent
0103-XN1WL,0.285,-1.370858878631131e-07,incongruent
0103-XN1WL,0.29,2.0743477045197452e-07,incongruent
0103-XN1WL,0.295,8.540737450233265e-07,incongruent
0103-XN1WL,0.3,1.4528047738167913e-06,incongruent
0103-XN1WL,0.305,1.396857923514653e-06,incongruent
0103-XN1WL,0.31,7.862920556200816e-07,incongruent
0103-XN1WL,0.315,4.4382894127808515e-07,incongruent
