subject,time,evoked,condition
0104-7VZA0,-0.2,2.9425973002517574e-07,congruent
0104-7VZA0,-0.195,1.5510880861120914e-07,congruent
0104-7VZA0,-0.19,1.7041739307925548e-07,congruent
0104-7VZA0,-0.185,2.348496596348957e-07,congruent
0104-7VZA0,-0.18,2.834145419515512e-07,congruent
0104-7VZA0,-0.175,3.301153138598829e-07,congruent
0104-7VZA0,-0.17,3.5839382315783984e-07,congruent
0104-7VZA0,-0.165,3.2022417783223327e-07,congruent
0104-7VZA0,-0.16,2.593808573000236e-07,congruent
0104-7VZA0,-0.155,3.0113755990532787e-07,congruent
0104-7VZA0,-0.15,4.5986432636099587e-07,congruent
0104-7VZA0,-0.145,5.617410762034432e-07,congruent
0104-7VZA0,-0.14,4.5376485782683454e-07,congruent
0104-7VZA0,-0.135,2.2721212059735468e-07,congruent
0104-7VZA0,-0.13,1.1549069408439687e-07,congruent
0104-7VZA0,-0.125,1.9574549249071247e-07,congruent
0104-7VZA0,-0.12,3.1595320141803033e-07,congruent
0104-7VZA0,-0.115,3.3415895830041866e-07,congruent
0104-7VZA0,-0.11,2.9849373782381405e-07,congruent
0104-7VZA0,-0.105,3.010144338259113e-07,congruent
0104-7VZA0,-0.1,2.6564334134647034e-07,congruent
0104-7VZA0,-0.095,3.5260516859242376e-08,congruent
0104-7VZA0,-0.09,-3.4651312407344517e-07,congruent
0104-7VZA0,-0.085,-6.049121215331254e-07,congruent
0104-7VZA0,-0.08,-5.539777566464544e-07,congruent
0104-7VZA0,-0.075,-3.336595909615393e-07,congruent
0104-7VZA0,-0.07,-2.303457428154811e-07,congruent
0104-7VZA0,-0.065,-3.2926039540688305e-07,congruent
0104-7VZA0,-0.06,-4.703409019917002e-07,congruent
0104-7VZA0,-0.055,-5.222709903894816e-07,congruent
0104-7VZA0,-0.05,-5.446218238594017e-07,congruent
0104-7VZA0,-0.045,-6.304767783471132e-07,congruent
0104-7VZA0,-0.04,-7.192804456067466e-07,congruent
0104-7VZA0,-0.035,-6.824235665258975e-07,congruent
0104-7VZA0,-0.03,-5.24693295474388e-07,congruent
0104-7VZA0,-0.025,-3.6724598810426215e-07,congruent
0104-7VZA0,-0.02,-2.4868772839708894e-07,congruent
0104-7VZA0,-0.015,-7.961547163421461e-08,congruent
0104-7VZA0,-0.01,1.7198910570936082e-07,congruent
0104-7VZA0,-0.005,3.708915632733801e-07,congruent
0104-7VZA0,0.0,3.738004338782922e-07,congruent
0104-7VZA0,0.005,2.2881831904201466e-07,congruent
0104-7VZA0,0.01,1.194292317563401e-07,congruent
0104-7VZA0,0.015,1.3358138086889525e-07,congruent
0104-7VZA0,0.02,1.8119647119481614e-07,congruent
0104-7VZA0,0.025,1.4635736708619315e-07,congruent
0104-7VZA0,0.03,4.214851902300346e-08,congruent
0104-7VZA0,0.035,-1.4639132645161385e-08,congruent
0104-7VZA0,0.04,6.328225768032177e-08,congruent
0104-7VZA0,0.045,2.452032249539895e-07,congruent
0104-7VZA0,0.05,3.8927135820263743e-07,congruent
0104-7VZA0,0.055,3.4183044789861245e-07,congruent
0104-7VZA0,0.06,9.321741161145417e-08,congruent
0104-7VZA0,0.065,-1.492108608776512e-07,congruent
0104-7VZA0,0.07,-1.2928152710898695e-07,congruent
0104-7VZA0,0.075,1.715530522717437e-07,congruent
0104-7VZA0,0.08,4.84246037996524e-07,congruent
0104-7VZA0,0.085,5.486641790430423e-07,congruent
0104-7VZA0,0.09,3.9329463003279136e-07,congruent
0104-7VZA0,0.095,2.3594033795927597e-07,congruent
0104-7VZA0,0.1,1.7778714256704588e-07,congruent
0104-7VZA0,0.105,1.3579505685380563e-07,congruent
0104-7VZA0,0.11,6.251773868700757e-08,congruent
0104-7VZA0,0.115,6.189449816124768e-08,congruent
0104-7VZA0,0.12,2.1429165750051973e-07,congruent
0104-7VZA0,0.125,4.182406809972744e-07,congruent
0104-7VZA0,0.13,5.177390465684169e-07,congruent
0104-7VZA0,0.135,4.987139464766048e-07,congruent
0104-7VZA0,0.14,4.4236049755025584e-07,congruent
0104-7VZA0,0.145,3.509642049828944e-07,congruent
0104-7VZA0,0.15,1.6918094815915914e-07,congruent
0104-7VZA0,0.155,-3.1214157813128605e-08,congruent
0104-7VZA0,0.16,-4.758940430639236e-08,congruent
0104-7VZA0,0.165,2.1932604407682082e-07,congruent
0104-7VZA0,0.17,6.352547832229561e-07,congruent
0104-7VZA0,0.175,9.87421846484635e-07,congruent
0104-7VZA0,0.18,1.1767382639771968e-06,congruent
0104-7VZA0,0.185,1.2067976041724231e-06,congruent
0104-7VZA0,0.19,1.1063098484259522e-06,congruent
0104-7VZA0,0.195,9.699408606653882e-07,congruent
0104-7VZA0,0.2,9.72323637188458e-07,congruent
0104-7VZA0,0.205,1.1782103752223036e-06,congruent
0104-7VZA0,0.21,1.3829733811971722e-06,congruent
0104-7VZA0,0.215,1.31174676414056e-06,congruent
0104-7VZA0,0.22,9.893781123356506e-07,congruent
0104-7VZA0,0.225,7.419945229146508e-07,congruent
0104-7VZA0,0.23,7.789483736577516e-07,congruent
0104-7VZA0,0.235,9.378876980770925e-07,congruent
0104-7VZA0,0.24,9.601806547461325e-07,congruent
0104-7VZA0,0.245,8.762317349516753e-07,congruent
0104-7VZA0,0.25,9.269978047944274e-07,congruent
0104-7VZA0,0.255,1.1737051393136186e-06,congruent
0104-7VZA0,0.26,1.3999688474102186e-06,congruent
0104-7VZA0,0.265,1.4297459402268314e-06,congruent
0104-7VZA0,0.27,1.353839747159618e-06,congruent
0104-7VZA0,0.275,1.3459961441696038e-06,congruent
0104-7VZA0,0.28,1.3885921848645663e-06,congruent
0104-7VZA0,0.285,1.3182543520056096e-06,congruent
0104-7VZA0,0.29,1.0810752874442683e-06,congruent
0104-7VZA0,0.295,8.143237552953381e-07,congruent
0104-7VZA0,0.3,6.857553956583254e-07,congruent
