subject,time,evoked,condition
0104-7VZA0,-0.2,-8.198486581740167e-08,incongruent
0104-7VZA0,-0.195,-9.874874663147641e-10,incongruent
0104-7VZA0,-0.19,3.670158212178256e-07,incongruent
0104-7VZA0,-0.185,6.234940754458316e-07,incongruent
0104-7VZA0,-0.18,5.683491427098285e-07,incongruent
0104-7VZA0,-0.175,3.891999027260607e-07,incongruent
0104-7VZA0,-0.17,3.7493125018620285e-07,incongruent
0104-7VZA0,-0.165,5.497931816632601e-07,incongruent
0104-7VZA0,-0.16,6.689944379831613e-07,incongruent
0104-7VZA0,-0.155,5.514015012407348e-07,incongruent
0104-7VZA0,-0.15,3.2231850100296785e-07,incongruent
0104-7VZA0,-0.145,2.689329708481187e-07,incongruent
0104-7VZA0,-0.14,4.84525080095529e-07,incongruent
0104-7VZA0,-0.135,7.445430770995626e-07,incongruent
0104-7VZA0,-0.13,7.765545316707482e-07,incongruent
0104-7VZA0,-0.125,5.7840123324344e-07,incongruent
0104-7VZA0,-0.12,3.7080403887973614e-07,incongruent
0104-7VZA0,-0.115,2.840656250085469e-07,incongruent
0104-7VZA0,-0.11,2.424175856748953e-07,incongruent
0104-7VZA0,-0.105,1.8178127430608077e-07,incongruent
0104-7VZA0,-0.1,2.079508566990713e-07,incongruent
0104-7VZA0,-0.095,3.893271246052204e-07,incongruent
0104-7VZA0,-0.09,5.057479805604374e-07,incongruent
0104-7VZA0,-0.085,2.3010173817904782e-07,incongruent
0104-7VZA0,-0.08,-4.0896112806388475e-07,incongruent
0104-7VZA0,-0.075,-9.379376095762905e-07,incongruent
0104-7VZA0,-0.07,-9.468783734627211e-07,incongruent
0104-7VZA0,-0.065,-5.749222987516034e-07,incongruent
0104-7VZA0,-0.06,-3.359069525719877e-07,incongruent
0104-7VZA0,-0.055,-5.016235196786444e-07,incongruent
0104-7VZA0,-0.05,-8.306717599399645e-07,incongruent
0104-7VZA0,-0.045,-9.453402218797843e-07,incongruent
0104-7VZA0,-0.04,-8.080831153815198e-07,incongruent
0104-7VZA0,-0.035,-6.890727184958389e-07,incongruent
0104-7VZA0,-0.03,-7.471965497672366e-07,incongruent
0104-7VZA0,-0.025,-8.30231091220089e-07,incongruent
0104-7VZA0,-0.02,-7.223251334173768e-07,incongruent
0104-7VZA0,-0.015,-4.3955692243553625e-07,incongruent
0104-7VZA0,-0.01,-1.6244130807784473e-07,incongruent
0104-7VZA0,-0.005,3.8154168793921155e-08,incongruent
0104-7VZA0,0.0,2.453159912316409e-07,incongruent
0104-7VZA0,0.005,4.6944678670688356e-07,incongruent
0104-7VZA0,0.01,5.45958935604897e-07,incongruent
0104-7VZA0,0.015,3.6227722771954256e-07,incongruent
0104-7VZA0,0.02,7.998124588366483e-08,incongruent
0104-7VZA0,0.025,-2.1742129989149494e-08,incongruent
0104-7VZA0,0.03,1.027569552853477e-07,incongruent
0104-7VZA0,0.035,2.189156938840019e-07,incongruent
0104-7VZA0,0.04,1.5737019887733038e-07,incongruent
0104-7VZA0,0.045,6.882812003093666e-08,incongruent
0104-7VZA0,0.05,2.035077917989495e-07,incongruent
0104-7VZA0,0.055,5.163475645337366e-07,incongruent
0104-7VZA0,0.06,6.698184951522957e-07,incongruent
0104-7VZA0,0.065,4.603500613437726e-07,incongruent
0104-7VZA0,0.07,9.679987667674264e-08,incongruent
0104-7VZA0,0.075,-4.698705720688984e-08,incongruent
0104-7VZA0,0.08,1.4224113244268577e-07,incongruent
0104-7VZA0,0.085,4.726936744642543e-07,incongruent
0104-7VZA0,0.09,7.705625606968696e-07,incongruent
0104-7VZA0,0.095,1.0415566677106354e-06,incongruent
0104-7VZA0,0.1,1.2701095336408644e-06,incongruent
0104-7VZA0,0.105,1.2667970650197167e-06,incongruent
0104-7VZA0,0.11,9.059158308756301e-07,incongruent
0104-7VZA0,0.115,4.182953371748064e-07,incongruent
0104-7VZA0,0.12,2.1158823785896316e-07,incongruent
0104-7VZA0,0.125,3.7691929036639695e-07,incongruent
0104-7VZA0,0.13,5.747211253356255e-07,incongruent
0104-7VZA0,0.135,4.976656454212261e-07,incongruent
0104-7VZA0,0.14,2.6092687551831083e-07,incongruent
0104-7VZA0,0.145,1.7299357575783232e-07,incongruent
0104-7VZA0,0.15,2.7056526957973387e-07,incongruent
0104-7VZA0,0.155,3.23439962939582e-07,incongruent
0104-7VZA0,0.16,2.605083528003273e-07,incongruent
0104-7VZA0,0.165,3.1000336961897503e-07,incongruent
0104-7VZA0,0.17,6.323904874990309e-07,incongruent
0104-7VZA0,0.175,1.0479758751027862e-06,incongruent
0104-7VZA0,0.18,1.3079957216826533e-06,incongruent
0104-7VZA0,0.185,1.4743714183189023e-06,incongruent
0104-7VZA0,0.19,1.7864076961297264e-06,incongruent
0104-7VZA0,0.195,2.2167866641036286e-06,incongruent
0104-7VZA0,0.2,2.4206154394244088e-06,incongruent
0104-7VZA0,0.205,2.1881440211554985e-06,incongruent
0104-7VZA0,0.21,1.7416839105060313e-06,incongruent
0104-7VZA0,0.215,1.4492619446920196e-06,incongruent
0104-7VZA0,0.22,1.3903485149297837e-06,incongruent
0104-7VZA0,0.225,1.3682225999235687e-06,incongruent
0104-7VZA0,0.23,1.259033462460517e-06,incongruent
0104-7VZA0,0.235,1.1520430917152838e-06,incongruent
0104-7VZA0,0.24,1.143112105240681e-06,incongruent
0104-7VZA0,0.245,1.1842763248703839e-06,incongruent
0104-7VZA0,0.25,1.221327782091458e-06,incongruent
0104-7VZA0,0.255,1.3496928851892882e-06,incongruent
0104-7VZA0,0.26,1.6922489570563276e-06,incongruent
0104-7VZA0,0.265,2.1668616080435274e-06,incongruent
0104-7VZA0,0.27,2.5127201999234965e-06,incongruent
0104-7VZA0,0.275,2.5597101575284547e-06,incongruent
0104-7VZA0,0.28,2.3732827393923465e-06,incongruent
0104-7VZA0,0.285,2.1115547326569e-06,incongruent
0104-7VZA0,0.29,1.8400185078930445e-06,incongruent
0104-7VZA0,0.295,1.5551670777010261e-06,incongruent
0104-7VZA0,0.3,1.3215264312135809e-06,incongruent
0104-7VZA0,0.305,1.2691380022415616e-06,incongruent
0104-7VZA0,0.31,1.4521787413812261e-06,incongruent
0104-7VZA0,0.315,1.792288887337721e-06,incongruent
0104-7VZA0,0.32,2.1860776760304615e-06,incongruent
0104-7VZA0,0.325,2.5791815365038484e-06,incongruent
0104-7VZA0,0.33,2.884255242051299e-06,incongruent
0104-7VZA0,0.335,2.934001065643837e-06,incongruent
0104-7VZA0,0.34,2.6467091853969935e-06,incongruent
0104-7VZA0,0.345,2.2147007010085377e-06,incongruent
0104-7VZA0,0.35,1.9790165398191507e-06,incongruent
0104-7VZA0,0.355,2.055163960308385e-06,incongruent
0104-7VZA0,0.36,2.1954426791577973e-06,incongruent
0104-7VZA0,0.365,2.116755914628501e-06,incongruent
0104-7VZA0,0.37,1.8741154910921866e-06,incongruent
0104-7VZA0,0.375,1.7698618857254084e-06,incongruent
0104-7VZA0,0.38,1.9289679336193887e-06,incongruent
0104-7VZA0,0.385,2.1417948334964377e-06,incongruent
0104-7VZA0,0.39,2.168495933538713e-06,incongruent
0104-7VZA0,0.395,2.0359233610178218e-06,incongruent
0104-7VZA0,0.4,1.9254492502738372e-06,incongruent
0104-7VZA0,0.405,1.8871632298665262e-06,incongruent
0104-7VZA0,0.41,1.8464631371459726e-06,incongruent
0104-7VZA0,0.415,1.834126732115364e-06,incongruent
0104-7VZA0,0.42,1.9950388814043404e-06,incongruent
0104-7VZA0,0.425,2.3209523215194693e-06,incongruent
0104-7VZA0,0.43,2.5448301514671645e-06,incongruent
0104-7VZA0,0.435,2.427973251813159e-06,incongruent
0104-7VZA0,0.44,2.0492557386645856e-06,incongruent
0104-7VZA0,0.445,1.6841722664367172e-06,incongruent
0104-7VZA0,0.45,1.475839959646913e-06,incongruent
0104-7VZA0,0.455,1.3789750622542029e-06,incongruent
0104-7VZA0,0.46,1.389493005377266e-06,incongruent
0104-7VZA0,0.465,1.6174257654746607e-06,incongruent
0104-7VZA0,0.47,2.055450852489782e-06,incongruent
0104-7VZA0,0.475,2.4267578983170666e-06,incongruent
0104-7VZA0,0.48,2.4163941648986413e-06,incongruent
0104-7VZA0,0.485,2.005739304017952e-06,incongruent
0104-7VZA0,0.49,1.473197626941636e-06,incongruent
0104-7VZA0,0.495,1.1064976565510708e-06,incongruent
0104-7VZA0,0.5,1.004845906310537e-06,incongruent
0104-7VZA0,0.505,1.1122083813981753e-06,incongruent
0104-7VZA0,0.51,1.3044019196870628e-06,incongruent
0104-7VZA0,0.515,1.4256925007322054e-06,incongruent
0104-7VZA0,0.52,1.3612736857008953e-06,incongruent
0104-7VZA0,0.525,1.1498267355318671e-06,incongruent
0104-7VZA0,0.53,9.704935621535756e-07,incongruent
0104-7VZA0,0.535,9.67268659433119e-07,incongruent
0104-7VZA0,0.54,1.128944437527287e-06,incongruent
0104-7VZA0,0.545,1.3499563361020253e-06,incongruent
