subject,time,evoked,condition
0104-SZEQ2,-0.2,-3.945777905262838e-07,congruent
0104-SZEQ2,-0.195,-4.394224875207226e-07,congruent
0104-SZEQ2,-0.19,-3.5214149508916705e-07,congruent
0104-SZEQ2,-0.185,-2.3450953275027814e-07,congruent
0104-SZEQ2,-0.18,-1.7272538671619143e-07,congruent
0104-SZEQ2,-0.175,-1.3286239598941256e-07,congruent
0104-SZEQ2,-0.17,-5.320490963910725e-08,congruent
0104-SZEQ2,-0.165,2.856627189070588e-08,congruent
0104-SZEQ2,-0.16,1.3166439680215658e-08,congruent
0104-SZEQ2,-0.155,-1.1497312428294706e-07,congruent
0104-SZEQ2,-0.15,-2.5317526397882843e-07,congruent
0104-SZEQ2,-0.145,-3.0599077009033034e-07,congruent
0104-SZEQ2,-0.14,-2.9046341874108366e-07,congruent
0104-SZEQ2,-0.135,-2.875378070285246e-07,congruent
0104-SZEQ2,-0.13,-3.255362976023892e-07,congruent
0104-SZEQ2,-0.125,-3.512739937958294e-07,congruent
0104-SZEQ2,-0.12,-3.0206603154825653e-07,congruent
0104-SZEQ2,-0.115,-1.6810744710400984e-07,congruent
0104-SZEQ2,-0.11,1.1853486175555631e-08,congruent
0104-SZEQ2,-0.105,1.7745376239116564e-07,congruent
0104-SZEQ2,-0.1,2.6328518435544517e-07,congruent
0104-SZEQ2,-0.095,2.23057525917619e-07,congruent
0104-SZEQ2,-0.09,7.668272385416477e-08,congruent
0104-SZEQ2,-0.085,-7.757523985514192e-08,congruent
0104-SZEQ2,-0.08,-1.3831703017568624e-07,congruent
0104-SZEQ2,-0.075,-9.602918920178951e-08,congruent
0104-SZEQ2,-0.07,-3.2496300502509335e-08,congruent
0104-SZEQ2,-0.065,-1.1436771998553251e-08,congruent
0104-SZEQ2,-0.06,6.213748360772295e-09,congruent
0104-SZEQ2,-0.055,1.0385082182403377e-07,congruent
0104-SZEQ2,-0.05,2.7487936634733127e-07,congruent
0104-SZEQ2,-0.045,3.9271523043715317e-07,congruent
0104-SZEQ2,-0.04,3.43556679133182e-07,congruent
0104-SZEQ2,-0.035,1.7296820777155765e-07,congruent
0104-SZEQ2,-0.03,6.55649557730491e-08,congruent
0104-SZEQ2,-0.025,1.5617879727576297e-07,congruent
0104-SZEQ2,-0.02,3.851634061377291e-07,congruent
0104-SZEQ2,-0.015,5.55804758736663e-07,congruent
0104-SZEQ2,-0.01,5.396743557850795e-07,congruent
0104-SZEQ2,-0.005,4.067747710915086e-07,congruent
0104-SZEQ2,0.0,3.370121912878751e-07,congruent
0104-SZEQ2,0.005,4.1629677362962535e-07,congruent
0104-SZEQ2,0.01,5.43550573051775e-07,congruent
0104-SZEQ2,0.015,5.493385048983953e-07,congruent
0104-SZEQ2,0.02,3.8878387357076234e-07,congruent
0104-SZEQ2,0.025,1.9348288221878904e-07,congruent
0104-SZEQ2,0.03,1.2602637600889631e-07,congruent
0104-SZEQ2,0.035,2.0661784940449027e-07,congruent
0104-SZEQ2,0.04,3.0092188955391994e-07,congruent
0104-SZEQ2,0.045,2.717339874550647e-07,congruent
0104-SZEQ2,0.05,1.165837112544811e-07,congruent
0104-SZEQ2,0.055,-5.6935911774039263e-08,congruent
0104-SZEQ2,0.06,-1.6705604184723822e-07,congruent
0104-SZEQ2,0.065,-2.298778045523304e-07,congruent
0104-SZEQ2,0.07,-2.948231604077145e-07,congruent
0104-SZEQ2,0.075,-3.5069334564364597e-07,congruent
0104-SZEQ2,0.08,-3.459480136388823e-07,congruent
0104-SZEQ2,0.085,-2.8580996757453544e-07,congruent
0104-SZEQ2,0.09,-2.4390222089735566e-07,congruent
0104-SZEQ2,0.095,-2.432363977310971e-07,congruent
0104-SZEQ2,0.1,-1.765048825570168e-07,congruent
0104-SZEQ2,0.105,8.210393979139107e-08,congruent
0104-SZEQ2,0.11,4.832329335936923e-07,congruent
0104-SZEQ2,0.115,7.934780420662209e-07,congruent
0104-SZEQ2,0.12,8.243598380841233e-07,congruent
0104-SZEQ2,0.125,6.41947866627997e-07,congruent
0104-SZEQ2,0.13,4.964854106996036e-07,congruent
0104-SZEQ2,0.135,5.335691932968897e-07,congruent
0104-SZEQ2,0.14,6.125641644664143e-07,congruent
0104-SZEQ2,0.145,4.4137458098568354e-07,congruent
0104-SZEQ2,0.15,-1.0458275046632114e-07,congruent
0104-SZEQ2,0.155,-8.189338243573103e-07,congruent
0104-SZEQ2,0.16,-1.3489822844941061e-06,congruent
0104-SZEQ2,0.165,-1.5398921427124658e-06,congruent
0104-SZEQ2,0.17,-1.5576082038686223e-06,congruent
0104-SZEQ2,0.175,-1.6383478900594087e-06,congruent
0104-SZEQ2,0.18,-1.7619650704285876e-06,congruent
0104-SZEQ2,0.185,-1.6661113128150346e-06,congruent
0104-SZEQ2,0.19,-1.195879990007711e-06,congruent
0104-SZEQ2,0.195,-5.374089162818517e-07,congruent
0104-SZEQ2,0.2,-2.2211850381712346e-08,congruent
0104-SZEQ2,0.205,2.2883458542857506e-07,congruent
0104-SZEQ2,0.21,3.603912499114264e-07,congruent
0104-SZEQ2,0.215,5.184440500290145e-07,congruent
0104-SZEQ2,0.22,6.79504235173255e-07,congruent
0104-SZEQ2,0.225,7.727708383200716e-07,congruent
0104-SZEQ2,0.23,8.329785117929309e-07,congruent
0104-SZEQ2,0.235,9.270175922072353e-07,congruent
0104-SZEQ2,0.24,1.0065781294307959e-06,congruent
0104-SZEQ2,0.245,9.573335365993618e-07,congruent
0104-SZEQ2,0.25,7.736231302552922e-07,congruent
0104-SZEQ2,0.255,5.767639009547512e-07,congruent
0104-SZEQ2,0.26,4.569226850563089e-07,congruent
0104-SZEQ2,0.265,3.890333772675379e-07,congruent
0104-SZEQ2,0.27,3.271883403495908e-07,congruent
0104-SZEQ2,0.275,2.9168301835960595e-07,congruent
0104-SZEQ2,0.28,3.147737119644985e-07,congruent
0104-SZEQ2,0.285,3.689103651227419e-07,congruent
0104-SZEQ2,0.29,4.0200976169626184e-07,congruent
0104-SZEQ2,0.295,3.9236126723516053e-07,congruent
0104-SZEQ2,0.3,3.2983989448049144e-07,congruent
0104-SZEQ2,0.305,1.848605787589686e-07,congruent
0104-SZEQ2,0.31,-4.291161617872262e-08,congruent
0104-SZEQ2,0.315,-2.7946057997197065e-07,congruent
0104-SZEQ2,0.32,-4.446199339754133e-07,congruent
0104-SZEQ2,0.325,-5.359027337373392e-07,congruent
0104-SZEQ2,0.33,-5.830877784032857e-07,congruent
0104-SZEQ2,0.335,-5.571333784977579e-07,congruent
0104-SZEQ2,0.34,-4.162020790976933e-07,congruent
0104-SZEQ2,0.345,-2.2326330930149266e-07,congruent
0104-SZEQ2,0.35,-1.0793278219447482e-07,congruent
0104-SZEQ2,0.355,-8.353434592107237e-08,congruent
0104-SZEQ2,0.36,-1.1024227565926685e-08,congruent
0104-SZEQ2,0.365,1.9897429135820437e-07,congruent
0104-SZEQ2,0.37,4.440778124608623e-07,congruent
0104-SZEQ2,0.375,5.74747603541698e-07,congruent
0104-SZEQ2,0.38,6.002696019092791e-07,congruent
0104-SZEQ2,0.385,6.354010462715335e-07,congruent
0104-SZEQ2,0.39,6.863027555629609e-07,congruent
0104-SZEQ2,0.395,6.388402198110975e-07,congruent
0104-SZEQ2,0.4,4.6824423278664597e-07,congruent
0104-SZEQ2,0.405,3.1526221605872895e-07,congruent
0104-SZEQ2,0.41,2.841803025254989e-07,congruent
0104-SZEQ2,0.415,2.8008267728105795e-07,congruent
0104-SZEQ2,0.42,1.5491714520978272e-07,congruent
0104-SZEQ2,0.425,-5.910791033569193e-08,congruent
0104-SZEQ2,0.43,-1.920228926714305e-07,congruent
0104-SZEQ2,0.435,-1.7941761476337058e-07,congruent
0104-SZEQ2,0.44,-1.3182865777149527e-07,congruent
0104-SZEQ2,0.445,-1.4478586283511142e-07,congruent
0104-SZEQ2,0.45,-1.687852313917806e-07,congruent
0104-SZEQ2,0.455,-1.3302780952874654e-07,congruent
0104-SZEQ2,0.46,-9.551434311945447e-08,congruent
0104-SZEQ2,0.465,-1.5990054528126506e-07,congruent
0104-SZEQ2,0.47,-2.9321563152872787e-07,congruent
0104-SZEQ2,0.475,-3.4936030035848523e-07,congruent
