subject,time,evoked,condition
0104-SZEQ2,-0.2,-3.0422539150124003e-07,incongruent
0104-SZEQ2,-0.195,-2.1147910230217883e-07,incongruent
0104-SZEQ2,-0.19,-1.1607154940118896e-07,incongruent
0104-SZEQ2,-0.185,-6.030511751989782e-08,incongruent
0104-SZEQ2,-0.18,-3.8609956866560166e-08,incongruent
0104-SZEQ2,-0.175,-5.1673667471156816e-08,incongruent
0104-SZEQ2,-0.17,-1.3184357162410177e-07,incongruent
0104-SZEQ2,-0.165,-2.727209810040908e-07,incongruent
0104-SZEQ2,-0.16,-3.676931898093325e-07,incongruent
0104-SZEQ2,-0.155,-2.9667217729797156e-07,incongruent
0104-SZEQ2,-0.15,-8.22019553295836e-08,incongruent
0104-SZEQ2,-0.145,1.0478139758436115e-07,incongruent
0104-SZEQ2,-0.14,1.2853540225505992e-07,incongruent
0104-SZEQ2,-0.135,3.315223645351342e-08,incongruent
0104-SZEQ2,-0.13,-4.059913526049489e-08,incongruent
0104-SZEQ2,-0.125,-3.49528658246991e-08,incongruent
0104-SZEQ2,-0.12,-4.190808557370927e-09,incongruent
0104-SZEQ2,-0.115,1.839672427641354e-08,incongruent
0104-SZEQ2,-0.11,8.168766848976195e-08,incongruent
0104-SZEQ2,-0.105,2.012117645764173e-07,incongruent
0104-SZEQ2,-0.1,2.7373353993509947e-07,incongruent
0104-SZEQ2,-0.095,2.05374474706102e-07,incongruent
0104-SZEQ2,-0.09,7.809973523122762e-08,incongruent
0104-SZEQ2,-0.085,6.840347708686932e-08,incongruent
0104-SZEQ2,-0.08,1.9188691402676276e-07,incongruent
0104-SZEQ2,-0.075,2.518912524925506e-07,incongruent
0104-SZEQ2,-0.07,1.1198797190200889e-07,incongruent
0104-SZEQ2,-0.065,-8.896617902853439e-08,incongruent
0104-SZEQ2,-0.06,-1.1332359517045221e-07,incongruent
0104-SZEQ2,-0.055,3.9310896594174634e-08,incongruent
0104-SZEQ2,-0.05,1.3058308303918092e-07,incongruent
0104-SZEQ2,-0.045,2.5225431266821097e-08,incongruent
0104-SZEQ2,-0.04,-1.2354070978426345e-07,incongruent
0104-SZEQ2,-0.035,-1.0599741106849598e-07,incongruent
0104-SZEQ2,-0.03,5.153703403690258e-08,incongruent
0104-SZEQ2,-0.025,1.5857037282387882e-07,incongruent
0104-SZEQ2,-0.02,1.4161629548315196e-07,incongruent
0104-SZEQ2,-0.015,9.589654311597624e-08,incongruent
0104-SZEQ2,-0.01,8.094524046326167e-08,incongruent
0104-SZEQ2,-0.005,3.618770283284068e-08,incongruent
0104-SZEQ2,0.0,-6.394778201967269e-08,incongruent
0104-SZEQ2,0.005,-1.246139563577594e-07,incongruent
0104-SZEQ2,0.01,-8.83575999401376e-08,incongruent
0104-SZEQ2,0.015,-5.5485669472569775e-08,incongruent
0104-SZEQ2,0.02,-1.1980382225392803e-07,incongruent
0104-SZEQ2,0.025,-1.688338761277545e-07,incongruent
0104-SZEQ2,0.03,-1.701873453389158e-08,incongruent
0104-SZEQ2,0.035,2.8842356737275125e-07,incongruent
0104-SZEQ2,0.04,4.64456069289472e-07,incongruent
0104-SZEQ2,0.045,3.469408893023764e-07,incongruent
0104-SZEQ2,0.05,1.1901850680122915e-07,incongruent
0104-SZEQ2,0.055,8.832062617638787e-08,incongruent
0104-SZEQ2,0.06,3.071492813730072e-07,incongruent
0104-SZEQ2,0.065,5.1421444757785e-07,incongruent
0104-SZEQ2,0.07,4.2995286117002726e-07,incongruent
0104-SZEQ2,0.075,3.1033178484544014e-08,incongruent
0104-SZEQ2,0.08,-4.738477312054544e-07,incongruent
0104-SZEQ2,0.085,-8.625503832494198e-07,incongruent
0104-SZEQ2,0.09,-1.0568279158203577e-06,incongruent
0104-SZEQ2,0.095,-1.1008744104617471e-06,incongruent
0104-SZEQ2,0.1,-1.0379882266349273e-06,incongruent
0104-SZEQ2,0.105,-8.508652672564095e-07,incongruent
0104-SZEQ2,0.11,-5.43247644101304e-07,incongruent
0104-SZEQ2,0.115,-2.403401286696362e-07,incongruent
0104-SZEQ2,0.12,-1.240760711854772e-07,incongruent
0104-SZEQ2,0.125,-2.2557439986345982e-07,incongruent
0104-SZEQ2,0.13,-3.6350274589330815e-07,incongruent
0104-SZEQ2,0.135,-3.7474801463516215e-07,incongruent
0104-SZEQ2,0.14,-3.6597056291230257e-07,incongruent
0104-SZEQ2,0.145,-6.18299184848454e-07,incongruent
0104-SZEQ2,0.15,-1.226055416464203e-06,incongruent
0104-SZEQ2,0.155,-1.932621625274798e-06,incongruent
0104-SZEQ2,0.16,-2.3890474539836623e-06,incongruent
0104-SZEQ2,0.165,-2.498819786008634e-06,incongruent
0104-SZEQ2,0.17,-2.429338946980756e-06,incongruent
0104-SZEQ2,0.175,-2.3419477216526933e-06,incongruent
0104-SZEQ2,0.18,-2.2331698866365684e-06,incongruent
0104-SZEQ2,0.185,-2.036971160973841e-06,incongruent
0104-SZEQ2,0.19,-1.7574695428707043e-06,incongruent
0104-SZEQ2,0.195,-1.4270600817305306e-06,incongruent
0104-SZEQ2,0.2,-1.0144886891692155e-06,incongruent
0104-SZEQ2,0.205,-4.800544275886341e-07,incongruent
0104-SZEQ2,0.21,7.916561990701841e-08,incongruent
0104-SZEQ2,0.215,4.40811269868735e-07,incongruent
0104-SZEQ2,0.22,4.828491446264849e-07,incongruent
0104-SZEQ2,0.225,3.4761045466918465e-07,incongruent
0104-SZEQ2,0.23,3.019287820843342e-07,incongruent
0104-SZEQ2,0.235,4.363891937428714e-07,incongruent
0104-SZEQ2,0.24,5.846155659880709e-07,incongruent
0104-SZEQ2,0.245,5.675321061162446e-07,incongruent
0104-SZEQ2,0.25,4.249771235639159e-07,incongruent
0104-SZEQ2,0.255,3.0862830194139645e-07,incongruent
0104-SZEQ2,0.26,2.0447852518928252e-07,incongruent
0104-SZEQ2,0.265,-6.936075004578855e-08,incongruent
0104-SZEQ2,0.27,-5.480191469504151e-07,incongruent
0104-SZEQ2,0.275,-9.564990921537487e-07,incongruent
0104-SZEQ2,0.28,-1.0105008329594952e-06,incongruent
0104-SZEQ2,0.285,-7.99099865594812e-07,incongruent
0104-SZEQ2,0.29,-6.816081528053752e-07,incongruent
0104-SZEQ2,0.295,-8.020879958429983e-07,incongruent
0104-SZEQ2,0.3,-9.036257972733334e-07,incongruent
0104-SZEQ2,0.305,-7.168963803271382e-07,incongruent
0104-SZEQ2,0.31,-3.882381322753657e-07,incongruent
0104-SZEQ2,0.315,-3.2760792818573835e-07,incongruent
0104-SZEQ2,0.32,-6.748238934791652e-07,incongruent
0104-SZEQ2,0.325,-1.1130206135489863e-06,incongruent
0104-SZEQ2,0.33,-1.267221726684133e-06,incongruent
0104-SZEQ2,0.335,-1.1433365443465927e-06,incongruent
0104-SZEQ2,0.34,-1.04313919727741e-06,incongruent
0104-SZEQ2,0.345,-1.1168111891945201e-06,incongruent
0104-SZEQ2,0.35,-1.1691647251497785e-06,incongruent
0104-SZEQ2,0.355,-9.514260301715691e-07,incongruent
0104-SZEQ2,0.36,-5.306212819136217e-07,incongruent
0104-SZEQ2,0.365,-2.460285566246421e-07,incongruent
0104-SZEQ2,0.37,-3.1107755441682716e-07,incongruent
0104-SZEQ2,0.375,-5.665498878171163e-07,incongruent
0104-SZEQ2,0.38,-6.879528252876191e-07,incongruent
0104-SZEQ2,0.385,-5.704730708121799e-07,incongruent
0104-SZEQ2,0.39,-4.1322728582448313e-07,incongruent
0104-SZEQ2,0.395,-4.302319965065446e-07,incongruent
0104-SZEQ2,0.4,-5.923097907436766e-07,incongruent
0104-SZEQ2,0.405,-7.050055132686521e-07,incongruent
0104-SZEQ2,0.41,-6.598410700039393e-07,incongruent
0104-SZEQ2,0.415,-5.17176375588915e-07,incongruent
0104-SZEQ2,0.42,-3.81539152092795e-07,incongruent
0104-SZEQ2,0.425,-3.042774560196629e-07,incongruent
0104-SZEQ2,0.43,-2.987438451100558e-07,incongruent
0104-SZEQ2,0.435,-3.3934992180696327e-07,incongruent
0104-SZEQ2,0.44,-3.237918755821105e-07,incongruent
0104-SZEQ2,0.445,-1.4350485252496522e-07,incongruent
0104-SZEQ2,0.45,1.4522167888746336e-07,incongruent
0104-SZEQ2,0.455,3.127663206136325e-07,incongruent
0104-SZEQ2,0.46,2.1152417271506103e-07,incongruent
0104-SZEQ2,0.465,-2.965248556040358e-08,incongruent
0104-SZEQ2,0.47,-1.6928209762364333e-07,incongruent
0104-SZEQ2,0.475,-1.5333321471833425e-07,incongruent
0104-SZEQ2,0.48,-1.2796195739487217e-07,incongruent
0104-SZEQ2,0.485,-1.7701735986922472e-07,incongruent
0104-SZEQ2,0.49,-2.101333277337163e-07,incongruent
0104-SZEQ2,0.495,-1.4629852465143994e-07,incongruent
0104-SZEQ2,0.5,-5.842862673324092e-08,incongruent
0104-SZEQ2,0.505,-4.6269336268292594e-08,incongruent
0104-SZEQ2,0.51,-8.224972357186049e-08,incongruent
0104-SZEQ2,0.515,-9.720463353621775e-08,incongruent
0104-SZEQ2,0.52,-1.3476400680713835e-07,incongruent
0104-SZEQ2,0.525,-2.7375937275206137e-07,incongruent
0104-SZEQ2,0.53,-4.4424456474444836e-07,incongruent
0104-SZEQ2,0.535,-4.843112910221427e-07,incongruent
0104-SZEQ2,0.54,-4.0469783021490807e-07,incongruent
0104-SZEQ2,0.545,-4.410950275244898e-07,incongruent
0104-SZEQ2,0.55,-7.455478472434812e-07,incongruent
0104-SZEQ2,0.555,-1.1292378015145144e-06,incongruent
0104-SZEQ2,0.56,-1.2365514541486094e-06,incongruent
0104-SZEQ2,0.565,-9.550432867473298e-07,incongruent
0104-SZEQ2,0.57,-5.480331462533183e-07,incongruent
0104-SZEQ2,0.575,-3.6317997365747397e-07,incongruent
0104-SZEQ2,0.58,-4.861831028658606e-07,incongruent
0104-SZEQ2,0.585,-7.086061160778739e-07,incongruent
0104-SZEQ2,0.59,-7.888588576301725e-07,incongruent
0104-SZEQ2,0.595,-6.889762580109964e-07,incongruent
0104-SZEQ2,0.6,-5.620832971002233e-07,incongruent
0104-SZEQ2,0.605,-5.48844806461778e-07,incongruent
0104-SZEQ2,0.61,-6.20712525485796e-07,incongruent
0104-SZEQ2,0.615,-6.341969304856275e-07,incongruent
0104-SZEQ2,0.62,-5.11497140036112e-07,incongruent
0104-SZEQ2,0.625,-3.37294998853077e-07,incongruent
0104-SZEQ2,0.63,-2.677842064391136e-07,incongruent
0104-SZEQ2,0.635,-3.662759958716667e-07,incongruent
0104-SZEQ2,0.64,-5.536307691465328e-07,incongruent
0104-SZEQ2,0.645,-6.99264548203697e-07,incongruent
0104-SZEQ2,0.65,-7.268457811196013e-07,incongruent
0104-SZEQ2,0.655,-6.548603875470778e-07,incongruent
0104-SZEQ2,0.66,-5.78187984529737e-07,incongruent
0104-SZEQ2,0.665,-6.048233291728343e-07,incongruent
0104-SZEQ2,0.67,-7.674872469170598e-07,incongruent
0104-SZEQ2,0.675,-9.809240816258515e-07,incongruent
0104-SZEQ2,0.68,-1.1174120598492504e-06,incongruent
0104-SZEQ2,0.685,-1.137041678814666e-06,incongruent
0104-SZEQ2,0.69,-1.1059830967168522e-06,incongruent
0104-SZEQ2,0.695,-1.0735180537845811e-06,incongruent
0104-SZEQ2,0.7,-9.961631796900416e-07,incongruent
0104-SZEQ2,0.705,-8.294320075683673e-07,incongruent
0104-SZEQ2,0.71,-6.431955845417895e-07,incongruent
0104-SZEQ2,0.715,-5.593507155582171e-07,incongruent
0104-SZEQ2,0.72,-5.893478303978614e-07,incongruent
0104-SZEQ2,0.725,-6.185858239811964e-07,incongruent
0104-SZEQ2,0.73,-5.665929868118453e-07,incongruent
0104-SZEQ2,0.735,-4.81068780328946e-07,incongruent
0104-SZEQ2,0.74,-4.296177657916144e-07,incongruent
0104-SZEQ2,0.745,-3.824433055589725e-07,incongruent
0104-SZEQ2,0.75,-2.830234283287755e-07,incongruent
0104-SZEQ2,0.755,-1.9541728654111243e-07,incongruent
0104-SZEQ2,0.76,-2.590071402545855e-07,incongruent
0104-SZEQ2,0.765,-4.800971761359144e-07,incongruent
0104-SZEQ2,0.77,-6.689138846554738e-07,incongruent
0104-SZEQ2,0.775,-6.411299127681977e-07,incongruent
0104-SZEQ2,0.78,-4.136738239157376e-07,incongruent
0104-SZEQ2,0.785,-1.5220128665092571e-07,incongruent
0104-SZEQ2,0.79,2.0896021157354225e-08,incongruent
0104-SZEQ2,0.795,9.086601441835882e-08,incongruent
0104-SZEQ2,0.8,7.666626833487964e-08,incongruent
0104-SZEQ2,0.805,1.0096452014544969e-08,incongruent
0104-SZEQ2,0.81,-2.2232061748029083e-08,incongruent
0104-SZEQ2,0.815,5.250749999698389e-08,incongruent
0104-SZEQ2,0.82,1.4369536439094148e-07,incongruent
0104-SZEQ2,0.825,4.367166649370286e-08,incongruent
0104-SZEQ2,0.83,-2.764436540326318e-07,incongruent
0104-SZEQ2,0.835,-5.280487568993365e-07,incongruent
0104-SZEQ2,0.84,-4.2190415513507965e-07,incongruent
0104-SZEQ2,0.845,-6.631632110210815e-08,incongruent
0104-SZEQ2,0.85,1.3323246636787653e-07,incongruent
0104-SZEQ2,0.855,-1.7096002209741058e-09,incongruent
0104-SZEQ2,0.86,-1.9195120046523272e-07,incongruent
0104-SZEQ2,0.865,-1.0093453430258988e-07,incongruent
0104-SZEQ2,0.87,1.9641986666770646e-07,incongruent
0104-SZEQ2,0.875,3.4016906635978805e-07,incongruent
0104-SZEQ2,0.88,2.1058355909261351e-07,incongruent
0104-SZEQ2,0.885,8.912954953422496e-08,incongruent
0104-SZEQ2,0.89,2.3601821218342585e-07,incongruent
0104-SZEQ2,0.895,4.970555251085679e-07,incongruent
0104-SZEQ2,0.9,4.882139863673915e-07,incongruent
0104-SZEQ2,0.905,9.58917136040701e-08,incongruent
0104-SZEQ2,0.91,-3.775327987492623e-07,incongruent
0104-SZEQ2,0.915,-5.697101003012199e-07,incongruent
0104-SZEQ2,0.92,-4.2775669957398685e-07,incongruent
0104-SZEQ2,0.925,-1.8026139397700827e-07,incongruent
0104-SZEQ2,0.93,-4.392077604442566e-08,incongruent
0104-SZEQ2,0.935,-5.031781491974391e-08,incongruent
0104-SZEQ2,0.94,-1.1502459449150055e-07,incongruent
0104-SZEQ2,0.945,-1.6733181509505406e-07,incongruent
0104-SZEQ2,0.95,-1.7901193982295072e-07,incongruent
0104-SZEQ2,0.955,-1.3985900606345074e-07,incongruent
0104-SZEQ2,0.96,-6.872783758586169e-08,incongruent
0104-SZEQ2,0.965,-3.074893595531963e-08,incongruent
0104-SZEQ2,0.97,-9.517101461897312e-08,incongruent
0104-SZEQ2,0.975,-2.7108935348332437e-07,incongruent
0104-SZEQ2,0.98,-5.176236854675017e-07,incongruent
0104-SZEQ2,0.985,-8.031554168045722e-07,incongruent
0104-SZEQ2,0.99,-1.1143968697809386e-06,incongruent
0104-SZEQ2,0.995,-1.3914613085370807e-06,incongruent
0104-SZEQ2,1.0,-1.5171999223800656e-06,incongruent
