subject,time,evoked,condition
0106-TZFW3,-0.2,1.0630579757733116e-06,congruent
0106-TZFW3,-0.195,9.542070921423585e-07,congruent
0106-TZFW3,-0.19,7.260183303216571e-07,congruent
0106-TZFW3,-0.185,6.053719226868005e-07,congruent
0106-TZFW3,-0.18,6.997117539806382e-07,congruent
0106-TZFW3,-0.175,8.761529709787392e-07,congruent
0106-TZFW3,-0.17,9.500662427015598e-07,congruent
0106-TZFW3,-0.165,8.971269469646472e-07,congruent
0106-TZFW3,-0.16,8.284444629688194e-07,congruent
0106-TZFW3,-0.155,8.211505537500166e-07,congruent
0106-TZFW3,-0.15,8.39813517127321e-07,congruent
0106-TZFW3,-0.145,7.986038387116694e-07,congruent
0106-TZFW3,-0.14,6.51501276202984e-07,congruent
0106-TZFW3,-0.135,4.305075184421148e-07,congruent
0106-TZFW3,-0.13,2.276876531068116e-07,congruent
0106-TZFW3,-0.125,1.2188657113855237e-07,congruent
0106-TZFW3,-0.12,9.479684142001863e-08,congruent
0106-TZFW3,-0.115,4.284581742733764e-08,congruent
0106-TZFW3,-0.11,-8.58206063666576e-08,congruent
0106-TZFW3,-0.105,-1.9403285646826936e-07,congruent
0106-TZFW3,-0.1,-1.4133473142016208e-07,congruent
0106-TZFW3,-0.095,4.161038979996596e-08,congruent
0106-TZFW3,-0.09,1.2393842330489084e-07,congruent
0106-TZFW3,-0.085,-7.985723934685135e-08,congruent
0106-TZFW3,-0.08,-4.7721580604013e-07,congruent
0106-TZFW3,-0.075,-7.853185329690015e-07,congruent
0106-TZFW3,-0.07,-8.466726991294566e-07,congruent
0106-TZFW3,-0.065,-7.888658178747585e-07,congruent
0106-TZFW3,-0.06,-8.404147580958863e-07,congruent
0106-TZFW3,-0.055,-1.0464795409732321e-06,congruent
0106-TZFW3,-0.05,-1.2281968045789144e-06,congruent
0106-TZFW3,-0.045,-1.205774815910413e-06,congruent
0106-TZFW3,-0.04,-9.996838751691487e-07,congruent
0106-TZFW3,-0.035,-7.924606668904747e-07,congruent
0106-TZFW3,-0.03,-7.284811337118671e-07,congruent
0106-TZFW3,-0.025,-7.793837761822281e-07,congruent
0106-TZFW3,-0.02,-7.85235606052069e-07,congruent
0106-TZFW3,-0.015,-6.00537886811902e-07,congruent
0106-TZFW3,-0.01,-2.1318058358483975e-07,congruent
0106-TZFW3,-0.005,2.407092430980398e-07,congruent
0106-TZFW3,0.0,5.83738410572031e-07,congruent
0106-TZFW3,0.005,7.500636315716668e-07,congruent
0106-TZFW3,0.01,8.446462658988102e-07,congruent
0106-TZFW3,0.015,1.0380194724105308e-06,congruent
0106-TZFW3,0.02,1.3920700383744177e-06,congruent
0106-TZFW3,0.025,1.793850916946863e-06,congruent
0106-TZFW3,0.03,2.053065022256201e-06,congruent
0106-TZFW3,0.035,2.0440243357923516e-06,congruent
0106-TZFW3,0.04,1.7685102318634267e-06,congruent
0106-TZFW3,0.045,1.3371586535990392e-06,congruent
0106-TZFW3,0.05,9.202709127349579e-07,congruent
0106-TZFW3,0.055,6.726014123613849e-07,congruent
0106-TZFW3,0.06,6.366575992449197e-07,congruent
0106-TZFW3,0.065,7.04912406971102e-07,congruent
0106-TZFW3,0.07,7.088217624830812e-07,congruent
0106-TZFW3,0.075,5.702892293813651e-07,congruent
0106-TZFW3,0.08,3.633292875840381e-07,congruent
0106-TZFW3,0.085,2.2450693130722843e-07,congruent
0106-TZFW3,0.09,2.1291938193856844e-07,congruent
