subject,time,evoked,condition
0106-TZFW3,-0.2,2.0984129352546672e-07,incongruent
0106-TZFW3,-0.195,-4.9009049297388065e-08,incongruent
0106-TZFW3,-0.19,-5.830130589906489e-09,incongruent
0106-TZFW3,-0.185,3.7896089321347195e-07,incongruent
0106-TZFW3,-0.18,8.651974346229401e-07,incongruent
0106-TZFW3,-0.175,1.0939220108280188e-06,incongruent
0106-TZFW3,-0.17,8.905498031747859e-07,incongruent
0106-TZFW3,-0.165,4.473702094407942e-07,incongruent
0106-TZFW3,-0.16,1.6881413914735318e-07,incongruent
0106-TZFW3,-0.155,2.8529189578227185e-07,incongruent
0106-TZFW3,-0.15,6.343365623899049e-07,incongruent
0106-TZFW3,-0.145,8.596173321671076e-07,incongruent
0106-TZFW3,-0.14,7.977351921356565e-07,incongruent
0106-TZFW3,-0.135,5.935071104735506e-07,incongruent
0106-TZFW3,-0.13,4.4112553805384657e-07,incongruent
0106-TZFW3,-0.125,3.252289088023172e-07,incongruent
0106-TZFW3,-0.12,1.1044046415843474e-07,incongruent
0106-TZFW3,-0.115,-1.819811028485792e-07,incongruent
0106-TZFW3,-0.11,-3.3700973521986775e-07,incongruent
0106-TZFW3,-0.105,-2.018842666344813e-07,incongruent
0106-TZFW3,-0.1,1.1534763954384162e-07,incongruent
0106-TZFW3,-0.095,3.458528098992471e-07,incongruent
0106-TZFW3,-0.09,3.0542950527158635e-07,incongruent
0106-TZFW3,-0.085,1.9375334983840435e-08,incongruent
0106-TZFW3,-0.08,-3.3393012515659887e-07,incongruent
0106-TZFW3,-0.075,-5.505523335918578e-07,incongruent
0106-TZFW3,-0.07,-5.307177434255104e-07,incongruent
0106-TZFW3,-0.065,-3.607082150422154e-07,incongruent
0106-TZFW3,-0.06,-2.455396310808208e-07,incongruent
0106-TZFW3,-0.055,-3.034708109858414e-07,incongruent
0106-TZFW3,-0.05,-4.415173210678667e-07,incongruent
0106-TZFW3,-0.045,-4.907460705771735e-07,incongruent
0106-TZFW3,-0.04,-4.463323610382116e-07,incongruent
0106-TZFW3,-0.035,-4.6802334180303777e-07,incongruent
0106-TZFW3,-0.03,-6.303521069046627e-07,incongruent
0106-TZFW3,-0.025,-7.907716062985388e-07,incongruent
0106-TZFW3,-0.02,-7.688124999090227e-07,incongruent
