subject,time,evoked,condition
0107-FN3G3,-0.2,-1.0505876264115292e-06,congruent
0107-FN3G3,-0.195,-6.032689575864772e-07,congruent
0107-FN3G3,-0.19,-3.8384749872013737e-07,congruent
0107-FN3G3,-0.185,-3.762000628043295e-07,congruent
0107-FN3G3,-0.18,-3.730351431111398e-07,congruent
0107-FN3G3,-0.175,-2.596326004016548e-07,congruent
0107-FN3G3,-0.17,-1.1416446551474856e-07,congruent
0107-FN3G3,-0.165,-8.239862022115791e-08,congruent
0107-FN3G3,-0.16,-2.371201228872949e-07,congruent
0107-FN3G3,-0.155,-5.394557728594126e-07,congruent
0107-FN3G3,-0.15,-8.666585813204935e-07,congruent
0107-FN3G3,-0.145,-1.0851134452591624e-06,congruent
0107-FN3G3,-0.14,-1.1517724038978027e-06,congruent
0107-FN3G3,-0.135,-1.1418415256166453e-06,congruent
0107-FN3G3,-0.13,-1.1394727701269022e-06,congruent
0107-FN3G3,-0.125,-1.1197029782490188e-06,congruent
0107-FN3G3,-0.12,-9.909303106400767e-07,congruent
0107-FN3G3,-0.115,-7.347474814523205e-07,congruent
0107-FN3G3,-0.11,-4.3012174900704375e-07,congruent
0107-FN3G3,-0.105,-1.3514397242584419e-07,congruent
0107-FN3G3,-0.1,1.731752824212346e-07,congruent
0107-FN3G3,-0.095,4.978560574667917e-07,congruent
0107-FN3G3,-0.09,7.396467183824751e-07,congruent
0107-FN3G3,-0.085,7.885491658583927e-07,congruent
0107-FN3G3,-0.08,6.66631844989555e-07,congruent
0107-FN3G3,-0.075,5.119376141223773e-07,congruent
0107-FN3G3,-0.07,4.22215034280955e-07,congruent
0107-FN3G3,-0.065,3.721236972520224e-07,congruent
0107-FN3G3,-0.06,2.900981006897027e-07,congruent
0107-FN3G3,-0.055,1.6488076560009563e-07,congruent
0107-FN3G3,-0.05,6.072188022767086e-08,congruent
0107-FN3G3,-0.045,5.3103781633800426e-08,congruent
0107-FN3G3,-0.04,1.6432715289635812e-07,congruent
0107-FN3G3,-0.035,3.4782799692076795e-07,congruent
0107-FN3G3,-0.03,5.311476773212942e-07,congruent
0107-FN3G3,-0.025,6.852193028734947e-07,congruent
0107-FN3G3,-0.02,8.48855395220106e-07,congruent
0107-FN3G3,-0.015,1.0671467000486543e-06,congruent
0107-FN3G3,-0.01,1.312907532541938e-06,congruent
0107-FN3G3,-0.005,1.5053311979430208e-06,congruent
0107-FN3G3,0.0,1.611513098676641e-06,congruent
0107-FN3G3,0.005,1.6935767504376832e-06,congruent
0107-FN3G3,0.01,1.8451314592976813e-06,congruent
0107-FN3G3,0.015,2.101872592539281e-06,congruent
0107-FN3G3,0.02,2.4042065034797812e-06,congruent
0107-FN3G3,0.025,2.604196346095362e-06,congruent
0107-FN3G3,0.03,2.521222293060581e-06,congruent
0107-FN3G3,0.035,2.0768270651961034e-06,congruent
0107-FN3G3,0.04,1.4163228820671404e-06,congruent
0107-FN3G3,0.045,8.330314508285506e-07,congruent
0107-FN3G3,0.05,4.991515560580091e-07,congruent
0107-FN3G3,0.055,3.037936337809977e-07,congruent
0107-FN3G3,0.06,2.8683927754415745e-08,congruent
0107-FN3G3,0.065,-3.4870463721827905e-07,congruent
