subject,time,evoked,condition
0107-FN3G3,-0.2,3.463636998652296e-07,incongruent
0107-FN3G3,-0.195,4.115856059710379e-07,incongruent
0107-FN3G3,-0.19,2.908506952081024e-07,incongruent
0107-FN3G3,-0.185,4.820349627506301e-08,incongruent
0107-FN3G3,-0.18,-2.1572160349821493e-07,incongruent
0107-FN3G3,-0.175,-3.737262000714732e-07,incongruent
0107-FN3G3,-0.17,-3.28670104780235e-07,incongruent
0107-FN3G3,-0.165,-1.2368670492396257e-07,incongruent
0107-FN3G3,-0.16,4.444389381265864e-08,incongruent
0107-FN3G3,-0.155,-2.3935389793078048e-08,incongruent
0107-FN3G3,-0.15,-3.6955335230836325e-07,incongruent
0107-FN3G3,-0.145,-8.621011660997469e-07,incongruent
0107-FN3G3,-0.14,-1.305909933436906e-06,incongruent
0107-FN3G3,-0.135,-1.540041319537752e-06,incongruent
0107-FN3G3,-0.13,-1.497692353080206e-06,incongruent
0107-FN3G3,-0.125,-1.2324673685582572e-06,incongruent
0107-FN3G3,-0.12,-8.809923913192344e-07,incongruent
0107-FN3G3,-0.115,-5.745577205881259e-07,incongruent
0107-FN3G3,-0.11,-3.5311726832289787e-07,incongruent
0107-FN3G3,-0.105,-1.5930249998308729e-07,incongruent
0107-FN3G3,-0.1,6.437456437625063e-08,incongruent
0107-FN3G3,-0.095,2.448934606415485e-07,incongruent
0107-FN3G3,-0.09,1.849297177462087e-07,incongruent
0107-FN3G3,-0.085,-2.1498433696333307e-07,incongruent
0107-FN3G3,-0.08,-7.171916931961383e-07,incongruent
0107-FN3G3,-0.075,-8.366921241867737e-07,incongruent
0107-FN3G3,-0.07,-3.248195867115597e-07,incongruent
0107-FN3G3,-0.065,4.536811876421073e-07,incongruent
0107-FN3G3,-0.06,8.023417220782887e-07,incongruent
0107-FN3G3,-0.055,4.3675015708113223e-07,incongruent
0107-FN3G3,-0.05,-1.98182708354786e-07,incongruent
0107-FN3G3,-0.045,-4.761686898812e-07,incongruent
0107-FN3G3,-0.04,-3.1735814473889825e-07,incongruent
0107-FN3G3,-0.035,-1.4981298747241587e-07,incongruent
0107-FN3G3,-0.03,-1.9821522776369857e-07,incongruent
0107-FN3G3,-0.025,-1.1039271163992736e-07,incongruent
0107-FN3G3,-0.02,5.552868696624255e-07,incongruent
0107-FN3G3,-0.015,1.660543776958734e-06,incongruent
0107-FN3G3,-0.01,2.5548039691161515e-06,incongruent
0107-FN3G3,-0.005,2.781840609188313e-06,incongruent
0107-FN3G3,0.0,2.5044001869627895e-06,incongruent
0107-FN3G3,0.005,2.2003055313661916e-06,incongruent
0107-FN3G3,0.01,2.1414984672482575e-06,incongruent
0107-FN3G3,0.015,2.2746163489468717e-06,incongruent
0107-FN3G3,0.02,2.4468014290951582e-06,incongruent
0107-FN3G3,0.025,2.5418797889361913e-06,incongruent
0107-FN3G3,0.03,2.442495962963355e-06,incongruent
