subject,time,evoked,condition
0108-U5RMG,-0.2,-2.2204413305556955e-07,congruent
0108-U5RMG,-0.195,-2.523488111628503e-07,congruent
0108-U5RMG,-0.19,-2.5760924507127385e-07,congruent
0108-U5RMG,-0.185,-1.8809237950328886e-07,congruent
0108-U5RMG,-0.18,-6.965685193448059e-08,congruent
0108-U5RMG,-0.175,9.981402084671545e-09,congruent
0108-U5RMG,-0.17,2.2749704928515125e-08,congruent
0108-U5RMG,-0.165,3.74298497571243e-08,congruent
0108-U5RMG,-0.16,1.089516261282368e-07,congruent
0108-U5RMG,-0.155,1.8705032684016906e-07,congruent
0108-U5RMG,-0.15,1.8111562801931023e-07,congruent
0108-U5RMG,-0.145,8.010754402941514e-08,congruent
0108-U5RMG,-0.14,-3.9375290619709474e-08,congruent
0108-U5RMG,-0.135,-1.0682438258054021e-07,congruent
0108-U5RMG,-0.13,-1.1889599058623378e-07,congruent
0108-U5RMG,-0.125,-1.1023590402069759e-07,congruent
0108-U5RMG,-0.12,-1.049955404900219e-07,congruent
0108-U5RMG,-0.115,-1.0839497880039945e-07,congruent
0108-U5RMG,-0.11,-1.1771880224187396e-07,congruent
0108-U5RMG,-0.105,-1.260035290774236e-07,congruent
0108-U5RMG,-0.1,-1.2457288426210597e-07,congruent
0108-U5RMG,-0.095,-1.0291611316695327e-07,congruent
0108-U5RMG,-0.09,-4.39484630353015e-08,congruent
0108-U5RMG,-0.085,5.643154798845798e-08,congruent
0108-U5RMG,-0.08,1.449711269495998e-07,congruent
0108-U5RMG,-0.075,1.1922769592018946e-07,congruent
0108-U5RMG,-0.07,-6.520298246740709e-08,congruent
0108-U5RMG,-0.065,-2.9993528590283185e-07,congruent
0108-U5RMG,-0.06,-4.0312845674003346e-07,congruent
0108-U5RMG,-0.055,-3.1684541051976394e-07,congruent
0108-U5RMG,-0.05,-1.7210543062778163e-07,congruent
0108-U5RMG,-0.045,-1.1746816973414956e-07,congruent
0108-U5RMG,-0.04,-1.4111736640029515e-07,congruent
0108-U5RMG,-0.035,-1.2589545661850927e-07,congruent
0108-U5RMG,-0.03,-3.455868332622233e-08,congruent
0108-U5RMG,-0.025,6.087981202974463e-08,congruent
0108-U5RMG,-0.02,1.3739271533145195e-07,congruent
0108-U5RMG,-0.015,2.9056907783796596e-07,congruent
0108-U5RMG,-0.01,5.758445103897708e-07,congruent
0108-U5RMG,-0.005,8.532155427643039e-07,congruent
0108-U5RMG,0.0,9.039724286117301e-07,congruent
0108-U5RMG,0.005,7.055102209319861e-07,congruent
0108-U5RMG,0.01,4.963556226268623e-07,congruent
0108-U5RMG,0.015,5.182305589912281e-07,congruent
0108-U5RMG,0.02,7.416460270192834e-07,congruent
0108-U5RMG,0.025,9.040648414795777e-07,congruent
0108-U5RMG,0.03,8.144507619924993e-07,congruent
0108-U5RMG,0.035,5.680967146554932e-07,congruent
0108-U5RMG,0.04,4.241721048148972e-07,congruent
0108-U5RMG,0.045,4.928542565812691e-07,congruent
0108-U5RMG,0.05,5.962882306478662e-07,congruent
0108-U5RMG,0.055,4.744111790047079e-07,congruent
0108-U5RMG,0.06,1.1384524181833415e-07,congruent
0108-U5RMG,0.065,-1.9657685190936916e-07,congruent
0108-U5RMG,0.07,-1.83424561491224e-07,congruent
0108-U5RMG,0.075,8.116451397200971e-08,congruent
0108-U5RMG,0.08,2.5102219982506024e-07,congruent
0108-U5RMG,0.085,1.0926078186792236e-07,congruent
0108-U5RMG,0.09,-1.9238843413971298e-07,congruent
0108-U5RMG,0.095,-3.528921612586992e-07,congruent
0108-U5RMG,0.1,-3.117473898026385e-07,congruent
0108-U5RMG,0.105,-3.022602281376406e-07,congruent
0108-U5RMG,0.11,-5.139146404762313e-07,congruent
0108-U5RMG,0.115,-8.252466577791576e-07,congruent
0108-U5RMG,0.12,-9.518445017625284e-07,congruent
0108-U5RMG,0.125,-7.971892295551183e-07,congruent
0108-U5RMG,0.13,-5.493405524828509e-07,congruent
0108-U5RMG,0.135,-4.3106536595495863e-07,congruent
0108-U5RMG,0.14,-4.500869112763947e-07,congruent
0108-U5RMG,0.145,-4.493623967928065e-07,congruent
0108-U5RMG,0.15,-3.427786284890716e-07,congruent
0108-U5RMG,0.155,-2.0965994193277506e-07,congruent
0108-U5RMG,0.16,-1.4687416531340024e-07,congruent
0108-U5RMG,0.165,-1.0311893327696911e-07,congruent
0108-U5RMG,0.17,7.472359172833441e-08,congruent
0108-U5RMG,0.175,4.4425587164270794e-07,congruent
0108-U5RMG,0.18,8.821127577315622e-07,congruent
0108-U5RMG,0.185,1.2242516750621583e-06,congruent
0108-U5RMG,0.19,1.45133946445916e-06,congruent
0108-U5RMG,0.195,1.675797074747024e-06,congruent
0108-U5RMG,0.2,1.946294651735204e-06,congruent
0108-U5RMG,0.205,2.142300425193216e-06,congruent
0108-U5RMG,0.21,2.1126237248405057e-06,congruent
0108-U5RMG,0.215,1.8765195667203058e-06,congruent
0108-U5RMG,0.22,1.6062847338455167e-06,congruent
0108-U5RMG,0.225,1.4114177075818383e-06,congruent
0108-U5RMG,0.23,1.2250024478038726e-06,congruent
0108-U5RMG,0.235,9.463547846529693e-07,congruent
0108-U5RMG,0.24,6.228762679084862e-07,congruent
0108-U5RMG,0.245,4.06251896730242e-07,congruent
0108-U5RMG,0.25,3.5170835085961315e-07,congruent
0108-U5RMG,0.255,3.5686466704155027e-07,congruent
0108-U5RMG,0.26,3.237041938881515e-07,congruent
0108-U5RMG,0.265,3.0785672416535023e-07,congruent
0108-U5RMG,0.27,4.4647862361344047e-07,congruent
0108-U5RMG,0.275,7.741297554180906e-07,congruent
0108-U5RMG,0.28,1.1708507041948044e-06,congruent
0108-U5RMG,0.285,1.4871638837360813e-06,congruent
0108-U5RMG,0.29,1.675294061622453e-06,congruent
0108-U5RMG,0.295,1.7916035668641173e-06,congruent
0108-U5RMG,0.3,1.9063910440155661e-06,congruent
0108-U5RMG,0.305,2.025623849572602e-06,congruent
0108-U5RMG,0.31,2.084819473277051e-06,congruent
0108-U5RMG,0.315,2.0152365778299896e-06,congruent
0108-U5RMG,0.32,1.8313051396666597e-06,congruent
