subject,time,evoked,condition
0108-U5RMG,-0.2,-1.5100426412704673e-07,incongruent
0108-U5RMG,-0.195,-1.0278766778035372e-07,incongruent
0108-U5RMG,-0.19,2.1540495697353244e-07,incongruent
0108-U5RMG,-0.185,6.71564012919465e-07,incongruent
0108-U5RMG,-0.18,9.670995342978024e-07,incongruent
0108-U5RMG,-0.175,9.708222600623894e-07,incongruent
0108-U5RMG,-0.17,8.301125391599255e-07,incongruent
0108-U5RMG,-0.165,7.208121763837103e-07,incongruent
0108-U5RMG,-0.16,6.231527078698886e-07,incongruent
0108-U5RMG,-0.155,4.4675545134413744e-07,incongruent
0108-U5RMG,-0.15,2.599590391606226e-07,incongruent
0108-U5RMG,-0.145,2.1277492339606894e-07,incongruent
0108-U5RMG,-0.14,2.637292526452035e-07,incongruent
0108-U5RMG,-0.135,1.834442348688887e-07,incongruent
0108-U5RMG,-0.13,-1.1274656123628237e-07,incongruent
0108-U5RMG,-0.125,-4.075453785668652e-07,incongruent
0108-U5RMG,-0.12,-4.688267296403163e-07,incongruent
0108-U5RMG,-0.115,-3.6586053686727514e-07,incongruent
0108-U5RMG,-0.11,-3.406339656664304e-07,incongruent
0108-U5RMG,-0.105,-4.381736498127166e-07,incongruent
0108-U5RMG,-0.1,-4.562001074994371e-07,incongruent
0108-U5RMG,-0.095,-2.6933000842566404e-07,incongruent
0108-U5RMG,-0.09,-2.7603665710450783e-08,incongruent
0108-U5RMG,-0.085,3.963886655620451e-08,incongruent
0108-U5RMG,-0.08,-1.243084821038948e-07,incongruent
0108-U5RMG,-0.075,-4.30123139378261e-07,incongruent
0108-U5RMG,-0.07,-7.977957053973465e-07,incongruent
0108-U5RMG,-0.065,-1.152670529902019e-06,incongruent
0108-U5RMG,-0.06,-1.3358141209637187e-06,incongruent
0108-U5RMG,-0.055,-1.1826184134334476e-06,incongruent
0108-U5RMG,-0.05,-7.304190574190853e-07,incongruent
0108-U5RMG,-0.045,-2.5048328287011274e-07,incongruent
0108-U5RMG,-0.04,-1.1397801206759612e-08,incongruent
0108-U5RMG,-0.035,-4.118357902279548e-08,incongruent
0108-U5RMG,-0.03,-1.4927431326261797e-07,incongruent
0108-U5RMG,-0.025,-1.2691253791503083e-07,incongruent
0108-U5RMG,-0.02,9.691809777459844e-08,incongruent
0108-U5RMG,-0.015,4.3649775388900367e-07,incongruent
0108-U5RMG,-0.01,7.342273968067267e-07,incongruent
0108-U5RMG,-0.005,8.866210142574209e-07,incongruent
0108-U5RMG,0.0,9.141793547161317e-07,incongruent
0108-U5RMG,0.005,8.929930439245791e-07,incongruent
0108-U5RMG,0.01,8.279111088891197e-07,incongruent
0108-U5RMG,0.015,6.401523150244396e-07,incongruent
0108-U5RMG,0.02,3.11098575005625e-07,incongruent
0108-U5RMG,0.025,-8.421527045584816e-09,incongruent
0108-U5RMG,0.03,-1.0337543358418833e-07,incongruent
0108-U5RMG,0.035,8.468890852358142e-08,incongruent
0108-U5RMG,0.04,3.8621940689104106e-07,incongruent
0108-U5RMG,0.045,5.756492347675326e-07,incongruent
0108-U5RMG,0.05,5.894832809935618e-07,incongruent
0108-U5RMG,0.055,5.544023191737559e-07,incongruent
0108-U5RMG,0.06,6.126025106291285e-07,incongruent
0108-U5RMG,0.065,7.439439099132403e-07,incongruent
0108-U5RMG,0.07,7.887622064567377e-07,incongruent
0108-U5RMG,0.075,6.592905155430923e-07,incongruent
0108-U5RMG,0.08,4.878027070583781e-07,incongruent
0108-U5RMG,0.085,4.836563635403511e-07,incongruent
0108-U5RMG,0.09,6.467327037528789e-07,incongruent
0108-U5RMG,0.095,7.166485939373125e-07,incongruent
0108-U5RMG,0.1,4.511695037474054e-07,incongruent
0108-U5RMG,0.105,-1.0622521390380507e-07,incongruent
