subject,time,evoked,condition
0109-GZN0K,-0.2,6.578323088970878e-08,congruent
0109-GZN0K,-0.195,1.2686627895173224e-08,congruent
0109-GZN0K,-0.19,5.038575374307486e-08,congruent
0109-GZN0K,-0.185,1.880387442014033e-07,congruent
0109-GZN0K,-0.18,2.669602788927672e-07,congruent
0109-GZN0K,-0.175,1.832288276683099e-07,congruent
0109-GZN0K,-0.17,3.815920342790513e-08,congruent
0109-GZN0K,-0.165,-1.1351969704097709e-08,congruent
0109-GZN0K,-0.16,1.9424604097688326e-08,congruent
0109-GZN0K,-0.155,-2.67416332531827e-08,congruent
0109-GZN0K,-0.15,-2.0420470678443114e-07,congruent
0109-GZN0K,-0.145,-3.58284833966766e-07,congruent
0109-GZN0K,-0.14,-3.132666079728546e-07,congruent
0109-GZN0K,-0.135,-1.0130156200007257e-07,congruent
0109-GZN0K,-0.13,7.349890721175695e-08,congruent
0109-GZN0K,-0.125,8.031061308187768e-08,congruent
0109-GZN0K,-0.12,-3.341149334014094e-09,congruent
0109-GZN0K,-0.115,-1.5240186310656615e-08,congruent
0109-GZN0K,-0.11,9.424563443953513e-08,congruent
0109-GZN0K,-0.105,2.2910007785121363e-07,congruent
0109-GZN0K,-0.1,2.82435944962059e-07,congruent
0109-GZN0K,-0.095,2.524464853659798e-07,congruent
0109-GZN0K,-0.09,2.1656152457740007e-07,congruent
0109-GZN0K,-0.085,2.3027733563987062e-07,congruent
0109-GZN0K,-0.08,2.726677570142779e-07,congruent
0109-GZN0K,-0.075,2.773266767353603e-07,congruent
0109-GZN0K,-0.07,1.954229756040295e-07,congruent
0109-GZN0K,-0.065,3.296311907981093e-08,congruent
0109-GZN0K,-0.06,-1.5484070971203313e-07,congruent
0109-GZN0K,-0.055,-3.003997505884231e-07,congruent
0109-GZN0K,-0.05,-3.6045049798617847e-07,congruent
0109-GZN0K,-0.045,-3.201241734784631e-07,congruent
0109-GZN0K,-0.04,-1.822035765424142e-07,congruent
0109-GZN0K,-0.035,1.4350550795521768e-08,congruent
0109-GZN0K,-0.03,1.6504111080724556e-07,congruent
0109-GZN0K,-0.025,1.4678712787838911e-07,congruent
0109-GZN0K,-0.02,-5.518220455214924e-08,congruent
0109-GZN0K,-0.015,-2.859533617363153e-07,congruent
0109-GZN0K,-0.01,-3.533764068509078e-07,congruent
0109-GZN0K,-0.005,-2.3536673224704126e-07,congruent
0109-GZN0K,0.0,-1.0647309285895096e-07,congruent
0109-GZN0K,0.005,-1.282548259843354e-07,congruent
0109-GZN0K,0.01,-2.6094905399306976e-07,congruent
0109-GZN0K,0.015,-3.2208285515793286e-07,congruent
0109-GZN0K,0.02,-2.019659926160663e-07,congruent
0109-GZN0K,0.025,3.482880183790138e-08,congruent
0109-GZN0K,0.03,2.359975874882494e-07,congruent
0109-GZN0K,0.035,2.9158345961812946e-07,congruent
0109-GZN0K,0.04,1.8549222844849247e-07,congruent
0109-GZN0K,0.045,-7.274983335665855e-09,congruent
0109-GZN0K,0.05,-1.4951259553603547e-07,congruent
0109-GZN0K,0.055,-1.335150611975869e-07,congruent
0109-GZN0K,0.06,-1.0439038461096776e-09,congruent
0109-GZN0K,0.065,6.51486567199634e-08,congruent
0109-GZN0K,0.07,-6.391974320903496e-08,congruent
0109-GZN0K,0.075,-2.9433426702209627e-07,congruent
0109-GZN0K,0.08,-4.0971472412991343e-07,congruent
0109-GZN0K,0.085,-3.4994355303311665e-07,congruent
0109-GZN0K,0.09,-3.111859753161443e-07,congruent
0109-GZN0K,0.095,-5.06785640540153e-07,congruent
0109-GZN0K,0.1,-8.797571081763916e-07,congruent
0109-GZN0K,0.105,-1.1468602174378057e-06,congruent
0109-GZN0K,0.11,-1.1294057529168687e-06,congruent
0109-GZN0K,0.115,-9.542306007158105e-07,congruent
0109-GZN0K,0.12,-8.820645036687707e-07,congruent
0109-GZN0K,0.125,-9.937773042229693e-07,congruent
0109-GZN0K,0.13,-1.1322971043939601e-06,congruent
0109-GZN0K,0.135,-1.1272816809122712e-06,congruent
0109-GZN0K,0.14,-9.83022457097816e-07,congruent
0109-GZN0K,0.145,-8.183276008085696e-07,congruent
0109-GZN0K,0.15,-7.073784972024369e-07,congruent
0109-GZN0K,0.155,-6.432224974391797e-07,congruent
0109-GZN0K,0.16,-5.997423794983048e-07,congruent
0109-GZN0K,0.165,-5.486108796104136e-07,congruent
0109-GZN0K,0.17,-4.439143314198413e-07,congruent
0109-GZN0K,0.175,-2.714962137190155e-07,congruent
0109-GZN0K,0.18,-1.1812214521075624e-07,congruent
0109-GZN0K,0.185,-1.065742304298022e-07,congruent
0109-GZN0K,0.19,-2.3060468778138747e-07,congruent
0109-GZN0K,0.195,-3.4667227571536555e-07,congruent
0109-GZN0K,0.2,-3.779158461085014e-07,congruent
0109-GZN0K,0.205,-4.3674182605766207e-07,congruent
0109-GZN0K,0.21,-6.555885087419747e-07,congruent
0109-GZN0K,0.215,-9.588659562765048e-07,congruent
0109-GZN0K,0.22,-1.1284104121265378e-06,congruent
0109-GZN0K,0.225,-1.0888409293446427e-06,congruent
0109-GZN0K,0.23,-1.0073454647143855e-06,congruent
0109-GZN0K,0.235,-1.0640852928426105e-06,congruent
0109-GZN0K,0.24,-1.2342417930161384e-06,congruent
0109-GZN0K,0.245,-1.367216357607728e-06,congruent
0109-GZN0K,0.25,-1.4044324727095166e-06,congruent
0109-GZN0K,0.255,-1.4164037463322916e-06,congruent
0109-GZN0K,0.26,-1.4581550676489139e-06,congruent
0109-GZN0K,0.265,-1.49391988401435e-06,congruent
0109-GZN0K,0.27,-1.4738202522721713e-06,congruent
0109-GZN0K,0.275,-1.4026039495350982e-06,congruent
0109-GZN0K,0.28,-1.3091467685541094e-06,congruent
0109-GZN0K,0.285,-1.2116842993378915e-06,congruent
0109-GZN0K,0.29,-1.1311897864601761e-06,congruent
0109-GZN0K,0.295,-1.0836239324437441e-06,congruent
0109-GZN0K,0.3,-1.042432483949974e-06,congruent
