subject,time,evoked,condition
0109-GZN0K,-0.2,-2.2834599704135674e-07,incongruent
0109-GZN0K,-0.195,5.243999333666756e-08,incongruent
0109-GZN0K,-0.19,2.8788746026255736e-07,incongruent
0109-GZN0K,-0.185,2.559751415207036e-07,incongruent
0109-GZN0K,-0.18,5.085285713010704e-08,incongruent
0109-GZN0K,-0.175,-4.0410403433512106e-08,incongruent
0109-GZN0K,-0.17,1.0132218456139927e-07,incongruent
0109-GZN0K,-0.165,2.903544473640674e-07,incongruent
0109-GZN0K,-0.16,2.749957237942341e-07,incongruent
0109-GZN0K,-0.155,3.192528224897498e-08,incongruent
0109-GZN0K,-0.15,-2.2784928946088509e-07,incongruent
0109-GZN0K,-0.145,-2.9724650436949077e-07,incongruent
0109-GZN0K,-0.14,-1.527449338292216e-07,incongruent
0109-GZN0K,-0.135,8.172068527057183e-08,incongruent
0109-GZN0K,-0.13,2.5275334091627114e-07,incongruent
0109-GZN0K,-0.125,2.4831028443221715e-07,incongruent
0109-GZN0K,-0.12,5.252820921830396e-08,incongruent
0109-GZN0K,-0.115,-2.0859331912511067e-07,incongruent
0109-GZN0K,-0.11,-3.2893007518056315e-07,incongruent
0109-GZN0K,-0.105,-2.0700625579102776e-07,incongruent
0109-GZN0K,-0.1,2.895638669750942e-08,incongruent
0109-GZN0K,-0.095,1.4209988479307757e-07,incongruent
0109-GZN0K,-0.09,4.591521345168961e-08,incongruent
0109-GZN0K,-0.085,-1.1416411360967458e-07,incongruent
0109-GZN0K,-0.08,-1.7443494341697658e-07,incongruent
0109-GZN0K,-0.075,-1.6450498129006552e-07,incongruent
0109-GZN0K,-0.07,-2.2876562372222265e-07,incongruent
0109-GZN0K,-0.065,-3.8276285436640745e-07,incongruent
0109-GZN0K,-0.06,-4.581957098426624e-07,incongruent
0109-GZN0K,-0.055,-3.149174935220739e-07,incongruent
0109-GZN0K,-0.05,-2.763882079513767e-08,incongruent
0109-GZN0K,-0.045,1.8359525135414387e-07,incongruent
0109-GZN0K,-0.04,1.7575430492959054e-07,incongruent
0109-GZN0K,-0.035,-5.146517754730954e-09,incongruent
0109-GZN0K,-0.03,-1.9893077385926685e-07,incongruent
0109-GZN0K,-0.025,-2.488127429972357e-07,incongruent
0109-GZN0K,-0.02,-8.119401726296499e-08,incongruent
