subject,time,evoked,condition
0110-1IS78,-0.2,-2.2647057650708635e-07,congruent
0110-1IS78,-0.195,-2.3413041219776068e-07,congruent
0110-1IS78,-0.19,-3.3259139449406883e-07,congruent
0110-1IS78,-0.185,-5.930060373214331e-07,congruent
0110-1IS78,-0.18,-7.917612632277227e-07,congruent
0110-1IS78,-0.175,-6.957849520592686e-07,congruent
0110-1IS78,-0.17,-4.2517839694370106e-07,congruent
0110-1IS78,-0.165,-3.268610768017917e-07,congruent
0110-1IS78,-0.16,-5.276561914628829e-07,congruent
0110-1IS78,-0.155,-8.105634907888543e-07,congruent
0110-1IS78,-0.15,-9.381200010154862e-07,congruent
0110-1IS78,-0.145,-9.262294504823047e-07,congruent
0110-1IS78,-0.14,-9.205748495378469e-07,congruent
0110-1IS78,-0.135,-9.294075208725407e-07,congruent
0110-1IS78,-0.13,-8.044715538588322e-07,congruent
0110-1IS78,-0.125,-4.6538299118122725e-07,congruent
0110-1IS78,-0.12,-3.667370256938344e-08,congruent
0110-1IS78,-0.115,2.592904996061652e-07,congruent
0110-1IS78,-0.11,3.0216945430175357e-07,congruent
0110-1IS78,-0.105,1.5667176014824492e-07,congruent
0110-1IS78,-0.1,-7.361177988850532e-09,congruent
0110-1IS78,-0.095,-7.123031057418146e-08,congruent
0110-1IS78,-0.09,-5.621071020721212e-08,congruent
0110-1IS78,-0.085,-5.4250896963600126e-08,congruent
0110-1IS78,-0.08,-7.724656468238476e-08,congruent
0110-1IS78,-0.075,-1.9737137350343584e-08,congruent
0110-1IS78,-0.07,1.8197223557101608e-07,congruent
0110-1IS78,-0.065,3.9282619790237477e-07,congruent
0110-1IS78,-0.06,3.681409595090929e-07,congruent
0110-1IS78,-0.055,2.7021900990229045e-08,congruent
0110-1IS78,-0.05,-4.114610705084e-07,congruent
0110-1IS78,-0.045,-6.164820451803385e-07,congruent
0110-1IS78,-0.04,-4.453050953242043e-07,congruent
0110-1IS78,-0.035,-1.806511169274834e-08,congruent
0110-1IS78,-0.03,4.6608680520894425e-07,congruent
0110-1IS78,-0.025,9.09077001562682e-07,congruent
0110-1IS78,-0.02,1.306013198304378e-06,congruent
0110-1IS78,-0.015,1.6331400835657165e-06,congruent
0110-1IS78,-0.01,1.8341147535813994e-06,congruent
0110-1IS78,-0.005,1.919469119158434e-06,congruent
0110-1IS78,0.0,2.0062199503067095e-06,congruent
0110-1IS78,0.005,2.2030429502431222e-06,congruent
0110-1IS78,0.01,2.4645772536000488e-06,congruent
0110-1IS78,0.015,2.6213701888520646e-06,congruent
0110-1IS78,0.02,2.5870587802719617e-06,congruent
0110-1IS78,0.025,2.4954882209920913e-06,congruent
0110-1IS78,0.03,2.57784762038257e-06,congruent
0110-1IS78,0.035,2.8927524198806995e-06,congruent
0110-1IS78,0.04,3.2302794346803025e-06,congruent
0110-1IS78,0.045,3.3416437579581727e-06,congruent
0110-1IS78,0.05,3.241507545285574e-06,congruent
0110-1IS78,0.055,3.1910777187763973e-06,congruent
0110-1IS78,0.06,3.350433744075547e-06,congruent
0110-1IS78,0.065,3.5514089504155057e-06,congruent
0110-1IS78,0.07,3.531833039930473e-06,congruent
0110-1IS78,0.075,3.362660300584583e-06,congruent
0110-1IS78,0.08,3.4718978971686024e-06,congruent
0110-1IS78,0.085,4.143850178595311e-06,congruent
0110-1IS78,0.09,5.106519449038656e-06,congruent
0110-1IS78,0.095,5.7746737096475205e-06,congruent
0110-1IS78,0.1,5.878146007675679e-06,congruent
0110-1IS78,0.105,5.6485143121809004e-06,congruent
0110-1IS78,0.11,5.3371088507021715e-06,congruent
0110-1IS78,0.115,4.7840048582531865e-06,congruent
0110-1IS78,0.12,3.6945812965224894e-06,congruent
0110-1IS78,0.125,2.2207556135135847e-06,congruent
0110-1IS78,0.13,9.705187641253333e-07,congruent
0110-1IS78,0.135,3.634177525951332e-07,congruent
0110-1IS78,0.14,2.0938007870859317e-07,congruent
0110-1IS78,0.145,4.6775396373312177e-08,congruent
0110-1IS78,0.15,-2.823323483995083e-07,congruent
0110-1IS78,0.155,-5.998596130149192e-07,congruent
0110-1IS78,0.16,-7.817025143626968e-07,congruent
0110-1IS78,0.165,-8.85155408858234e-07,congruent
0110-1IS78,0.17,-8.834250388222557e-07,congruent
0110-1IS78,0.175,-5.816184268273923e-07,congruent
0110-1IS78,0.18,7.366306668161549e-08,congruent
0110-1IS78,0.185,8.142752957898479e-07,congruent
0110-1IS78,0.19,1.3735385967500484e-06,congruent
0110-1IS78,0.195,1.8608988375435338e-06,congruent
0110-1IS78,0.2,2.5820467429383426e-06,congruent
0110-1IS78,0.205,3.524170531478688e-06,congruent
0110-1IS78,0.21,4.2637618995682055e-06,congruent
0110-1IS78,0.215,4.446219350976899e-06,congruent
0110-1IS78,0.22,4.186183846560477e-06,congruent
0110-1IS78,0.225,3.88115302660916e-06,congruent
0110-1IS78,0.23,3.743266014126235e-06,congruent
0110-1IS78,0.235,3.6574615184771943e-06,congruent
0110-1IS78,0.24,3.447574697651561e-06,congruent
0110-1IS78,0.245,3.1377513294334905e-06,congruent
0110-1IS78,0.25,2.925635640184618e-06,congruent
0110-1IS78,0.255,2.963245597502772e-06,congruent
0110-1IS78,0.26,3.2064301721049585e-06,congruent
0110-1IS78,0.265,3.461279850047547e-06,congruent
0110-1IS78,0.27,3.566292812702371e-06,congruent
0110-1IS78,0.275,3.538810686663993e-06,congruent
0110-1IS78,0.28,3.530565584688971e-06,congruent
0110-1IS78,0.285,3.6370913095606363e-06,congruent
0110-1IS78,0.29,3.7817301622933352e-06,congruent
0110-1IS78,0.295,3.822345597927817e-06,congruent
0110-1IS78,0.3,3.735569141413471e-06,congruent
0110-1IS78,0.305,3.626004846731349e-06,congruent
0110-1IS78,0.31,3.576794249641419e-06,congruent
0110-1IS78,0.315,3.567864621845768e-06,congruent
0110-1IS78,0.32,3.5477052723402608e-06,congruent
0110-1IS78,0.325,3.5070939533729044e-06,congruent
0110-1IS78,0.33,3.4577748422571204e-06,congruent
0110-1IS78,0.335,3.393697422649319e-06,congruent
0110-1IS78,0.34,3.3280489426099726e-06,congruent
0110-1IS78,0.345,3.325770730926857e-06,congruent
0110-1IS78,0.35,3.4413633679694927e-06,congruent
0110-1IS78,0.355,3.6407370557668786e-06,congruent
0110-1IS78,0.36,3.832156166142847e-06,congruent
0110-1IS78,0.365,3.974002634919912e-06,congruent
0110-1IS78,0.37,4.0938267675081485e-06,congruent
0110-1IS78,0.375,4.204075206376736e-06,congruent
0110-1IS78,0.38,4.25115158014349e-06,congruent
0110-1IS78,0.385,4.178492953558099e-06,congruent
0110-1IS78,0.39,4.002533714163355e-06,congruent
0110-1IS78,0.395,3.7921301492643315e-06,congruent
0110-1IS78,0.4,3.5936343729418176e-06,congruent
0110-1IS78,0.405,3.3983344407727085e-06,congruent
0110-1IS78,0.41,3.179776400672077e-06,congruent
0110-1IS78,0.415,2.930103262612084e-06,congruent
0110-1IS78,0.42,2.6792514970955106e-06,congruent
0110-1IS78,0.425,2.492668776323077e-06,congruent
0110-1IS78,0.43,2.4350924686350473e-06,congruent
0110-1IS78,0.435,2.498495527555513e-06,congruent
0110-1IS78,0.44,2.5686063776124285e-06,congruent
0110-1IS78,0.445,2.5075453614538524e-06,congruent
0110-1IS78,0.45,2.296323723428438e-06,congruent
0110-1IS78,0.455,2.0648984299093094e-06,congruent
0110-1IS78,0.46,1.964045963090903e-06,congruent
0110-1IS78,0.465,2.010516750213893e-06,congruent
0110-1IS78,0.47,2.083289433234315e-06,congruent
0110-1IS78,0.475,2.0480938157177847e-06,congruent
0110-1IS78,0.48,1.8745310000281247e-06,congruent
0110-1IS78,0.485,1.666392507743935e-06,congruent
0110-1IS78,0.49,1.595232316252105e-06,congruent
0110-1IS78,0.495,1.759648241286641e-06,congruent
0110-1IS78,0.5,2.0581228777575864e-06,congruent
0110-1IS78,0.505,2.2314088991093775e-06,congruent
0110-1IS78,0.51,2.101356478813631e-06,congruent
0110-1IS78,0.515,1.7665170193562165e-06,congruent
0110-1IS78,0.52,1.4844792630297063e-06,congruent
0110-1IS78,0.525,1.358005276145955e-06,congruent
0110-1IS78,0.53,1.2586410750468737e-06,congruent
0110-1IS78,0.535,1.0938704813317762e-06,congruent
0110-1IS78,0.54,1.0000989438889073e-06,congruent
0110-1IS78,0.545,1.1264548448763814e-06,congruent
0110-1IS78,0.55,1.3120388538163347e-06,congruent
0110-1IS78,0.555,1.2133875919809123e-06,congruent
0110-1IS78,0.56,7.967268761070475e-07,congruent
0110-1IS78,0.565,4.931672456368082e-07,congruent
0110-1IS78,0.57,7.181428757701353e-07,congruent
0110-1IS78,0.575,1.333202782744122e-06,congruent
0110-1IS78,0.58,1.7866354496356719e-06,congruent
0110-1IS78,0.585,1.7645927641641626e-06,congruent
0110-1IS78,0.59,1.5011116165688107e-06,congruent
0110-1IS78,0.595,1.4013131395930833e-06,congruent
0110-1IS78,0.6,1.5221879545351539e-06,congruent
0110-1IS78,0.605,1.5634673854473968e-06,congruent
0110-1IS78,0.61,1.2919572810125533e-06,congruent
0110-1IS78,0.615,8.083769993026226e-07,congruent
0110-1IS78,0.62,3.788257173612093e-07,congruent
0110-1IS78,0.625,1.3792579806642744e-07,congruent
0110-1IS78,0.63,2.90124192064647e-08,congruent
0110-1IS78,0.635,-3.74072142016898e-08,congruent
0110-1IS78,0.64,-7.921611883006007e-08,congruent
0110-1IS78,0.645,-8.375797681843289e-08,congruent
0110-1IS78,0.65,-5.545805594318098e-08,congruent
0110-1IS78,0.655,1.5734331543661146e-08,congruent
0110-1IS78,0.66,1.820305275494231e-07,congruent
0110-1IS78,0.665,4.6148309605017885e-07,congruent
0110-1IS78,0.67,7.482378046663676e-07,congruent
0110-1IS78,0.675,8.805461492523524e-07,congruent
0110-1IS78,0.68,8.210292548231552e-07,congruent
0110-1IS78,0.685,7.208045641856324e-07,congruent
0110-1IS78,0.69,7.370713845746855e-07,congruent
0110-1IS78,0.695,8.25616400726846e-07,congruent
0110-1IS78,0.7,7.854436537215972e-07,congruent
0110-1IS78,0.705,5.005800350445543e-07,congruent
0110-1IS78,0.71,6.660482746494213e-08,congruent
0110-1IS78,0.715,-3.248176775105486e-07,congruent
0110-1IS78,0.72,-5.398163152203004e-07,congruent
0110-1IS78,0.725,-5.30685000483015e-07,congruent
0110-1IS78,0.73,-3.1731030440370995e-07,congruent
0110-1IS78,0.735,-2.8109198257525916e-08,congruent
0110-1IS78,0.74,1.3247740406788076e-07,congruent
0110-1IS78,0.745,8.282665624716031e-08,congruent
0110-1IS78,0.75,4.025402839884528e-09,congruent
0110-1IS78,0.755,1.4900870949509559e-07,congruent
0110-1IS78,0.76,5.040113588857936e-07,congruent
0110-1IS78,0.765,7.852034889478306e-07,congruent
0110-1IS78,0.77,8.18338882499733e-07,congruent
0110-1IS78,0.775,7.680552674562391e-07,congruent
0110-1IS78,0.78,8.767499189005056e-07,congruent
0110-1IS78,0.785,1.0876087217162879e-06,congruent
0110-1IS78,0.79,1.1221708223891435e-06,congruent
0110-1IS78,0.795,8.9624977487452e-07,congruent
0110-1IS78,0.8,6.463078118602462e-07,congruent
0110-1IS78,0.805,5.809310925150901e-07,congruent
0110-1IS78,0.81,5.841188534555646e-07,congruent
0110-1IS78,0.815,4.330210513751386e-07,congruent
0110-1IS78,0.82,2.0665417160896473e-07,congruent
0110-1IS78,0.825,2.4848887959008924e-07,congruent
0110-1IS78,0.83,6.81070045833478e-07,congruent
0110-1IS78,0.835,1.1485725207424182e-06,congruent
0110-1IS78,0.84,1.1908329983251393e-06,congruent
0110-1IS78,0.845,7.775143389009872e-07,congruent
0110-1IS78,0.85,3.2412560009276054e-07,congruent
0110-1IS78,0.855,2.0281804400419203e-07,congruent
0110-1IS78,0.86,3.9912042318595395e-07,congruent
0110-1IS78,0.865,7.032795278419274e-07,congruent
0110-1IS78,0.87,1.0459974187460132e-06,congruent
0110-1IS78,0.875,1.485609416239376e-06,congruent
0110-1IS78,0.88,1.951732530995139e-06,congruent
0110-1IS78,0.885,2.2170339740638298e-06,congruent
0110-1IS78,0.89,2.1895857603566396e-06,congruent
0110-1IS78,0.895,2.072578681176208e-06,congruent
0110-1IS78,0.9,2.120387516680712e-06,congruent
0110-1IS78,0.905,2.3202926362218875e-06,congruent
0110-1IS78,0.91,2.453493900162982e-06,congruent
0110-1IS78,0.915,2.44648945676232e-06,congruent
0110-1IS78,0.92,2.501324869794832e-06,congruent
0110-1IS78,0.925,2.822128101430193e-06,congruent
0110-1IS78,0.93,3.335348596050027e-06,congruent
0110-1IS78,0.935,3.774266003917166e-06,congruent
0110-1IS78,0.94,3.977294860543962e-06,congruent
0110-1IS78,0.945,4.004998496900362e-06,congruent
0110-1IS78,0.95,3.977005273394056e-06,congruent
0110-1IS78,0.955,3.907472832485109e-06,congruent
0110-1IS78,0.96,3.7389104726039855e-06,congruent
0110-1IS78,0.965,3.4915907601088523e-06,congruent
0110-1IS78,0.97,3.3168953392198073e-06,congruent
0110-1IS78,0.975,3.399006103225572e-06,congruent
0110-1IS78,0.98,3.8057705304315757e-06,congruent
0110-1IS78,0.985,4.407762959977443e-06,congruent
0110-1IS78,0.99,4.9361838897686635e-06,congruent
0110-1IS78,0.995,5.163573932956258e-06,congruent
0110-1IS78,1.0,5.069062190551428e-06,congruent
