subject,time,evoked,condition
0110-1IS78,-0.2,-6.695686115587909e-07,incongruent
0110-1IS78,-0.195,-6.744744471945456e-07,incongruent
0110-1IS78,-0.19,-5.485533241247813e-07,incongruent
0110-1IS78,-0.185,-3.1156675466635924e-07,incongruent
0110-1IS78,-0.18,-1.46132678098717e-07,incongruent
0110-1IS78,-0.175,-1.5107689538249984e-07,incongruent
0110-1IS78,-0.17,-2.269655975466015e-07,incongruent
0110-1IS78,-0.165,-2.1885112730415899e-07,incongruent
0110-1IS78,-0.16,-6.797089358312181e-08,incongruent
0110-1IS78,-0.155,1.8909487964587302e-07,incongruent
0110-1IS78,-0.15,4.4898432119855817e-07,incongruent
0110-1IS78,-0.145,4.93575089337542e-07,incongruent
0110-1IS78,-0.14,7.391245492705702e-08,incongruent
0110-1IS78,-0.135,-7.716119865573298e-07,incongruent
0110-1IS78,-0.13,-1.550374808382497e-06,incongruent
0110-1IS78,-0.125,-1.7101371976744626e-06,incongruent
0110-1IS78,-0.12,-1.244170050263726e-06,incongruent
0110-1IS78,-0.115,-7.107832133344618e-07,incongruent
0110-1IS78,-0.11,-5.634324258984415e-07,incongruent
0110-1IS78,-0.105,-6.452765929706848e-07,incongruent
0110-1IS78,-0.1,-5.115404182590216e-07,incongruent
0110-1IS78,-0.095,-8.527920387366246e-08,incongruent
0110-1IS78,-0.09,2.996550110152656e-07,incongruent
0110-1IS78,-0.085,4.856905539219298e-07,incongruent
0110-1IS78,-0.08,7.585366292102177e-07,incongruent
0110-1IS78,-0.075,1.3509333903044516e-06,incongruent
0110-1IS78,-0.07,1.92735225406159e-06,incongruent
0110-1IS78,-0.065,1.8765988548504912e-06,incongruent
0110-1IS78,-0.06,1.0675615145016609e-06,incongruent
0110-1IS78,-0.055,4.2576483434583424e-08,incongruent
0110-1IS78,-0.05,-5.763437109842448e-07,incongruent
0110-1IS78,-0.045,-6.664121841891935e-07,incongruent
0110-1IS78,-0.04,-5.269882957028225e-07,incongruent
0110-1IS78,-0.035,-4.1816665143566205e-07,incongruent
0110-1IS78,-0.03,-3.5344744060820815e-07,incongruent
0110-1IS78,-0.025,-2.3463780127895323e-07,incongruent
0110-1IS78,-0.02,1.6963762353702227e-08,incongruent
0110-1IS78,-0.015,4.459959296191494e-07,incongruent
0110-1IS78,-0.01,1.0026648630175224e-06,incongruent
0110-1IS78,-0.005,1.4738616667053108e-06,incongruent
0110-1IS78,0.0,1.6298047684044995e-06,incongruent
0110-1IS78,0.005,1.518947025332148e-06,incongruent
0110-1IS78,0.01,1.4819103615078248e-06,incongruent
0110-1IS78,0.015,1.7682495458143833e-06,incongruent
0110-1IS78,0.02,2.2355950964118056e-06,incongruent
0110-1IS78,0.025,2.563832498986934e-06,incongruent
0110-1IS78,0.03,2.731544011428903e-06,incongruent
0110-1IS78,0.035,3.0767407278889638e-06,incongruent
0110-1IS78,0.04,3.7953962725018655e-06,incongruent
0110-1IS78,0.045,4.546453778027112e-06,incongruent
0110-1IS78,0.05,4.729508739728649e-06,incongruent
0110-1IS78,0.055,4.131100528895264e-06,incongruent
0110-1IS78,0.06,3.170453562729853e-06,incongruent
0110-1IS78,0.065,2.478216396893512e-06,incongruent
0110-1IS78,0.07,2.3374782590705575e-06,incongruent
0110-1IS78,0.075,2.5889877198129633e-06,incongruent
0110-1IS78,0.08,2.9801468019731247e-06,incongruent
0110-1IS78,0.085,3.4705055556249066e-06,incongruent
0110-1IS78,0.09,4.1683888911229284e-06,incongruent
0110-1IS78,0.095,5.060081794999559e-06,incongruent
0110-1IS78,0.1,5.875756262895324e-06,incongruent
0110-1IS78,0.105,6.218421067438125e-06,incongruent
0110-1IS78,0.11,5.8096715539713605e-06,incongruent
0110-1IS78,0.115,4.665338045050484e-06,incongruent
0110-1IS78,0.12,3.0652421528723367e-06,incongruent
0110-1IS78,0.125,1.3788619444606625e-06,incongruent
0110-1IS78,0.13,-7.090879997266862e-08,incongruent
0110-1IS78,0.135,-1.0105432200434443e-06,incongruent
0110-1IS78,0.14,-1.2443799840305848e-06,incongruent
0110-1IS78,0.145,-8.449604402942395e-07,incongruent
0110-1IS78,0.15,-2.8975086048814165e-07,incongruent
0110-1IS78,0.155,-1.7846729414544685e-07,incongruent
0110-1IS78,0.16,-6.557666983207109e-07,incongruent
0110-1IS78,0.165,-1.2100806906102041e-06,incongruent
0110-1IS78,0.17,-1.2026293864564233e-06,incongruent
0110-1IS78,0.175,-5.650454474106157e-07,incongruent
0110-1IS78,0.18,2.1678174149474268e-07,incongruent
0110-1IS78,0.185,7.922536973260742e-07,incongruent
0110-1IS78,0.19,1.3456818639987643e-06,incongruent
0110-1IS78,0.195,2.1823983957261447e-06,incongruent
0110-1IS78,0.2,3.166441069642663e-06,incongruent
0110-1IS78,0.205,3.8318105720347725e-06,incongruent
0110-1IS78,0.21,3.963623395800395e-06,incongruent
0110-1IS78,0.215,3.8229733668607835e-06,incongruent
0110-1IS78,0.22,3.7796796813026325e-06,incongruent
0110-1IS78,0.225,3.937613862046485e-06,incongruent
0110-1IS78,0.23,4.193428762847835e-06,incongruent
0110-1IS78,0.235,4.474191966060514e-06,incongruent
0110-1IS78,0.24,4.755767214142251e-06,incongruent
0110-1IS78,0.245,4.96175399322193e-06,incongruent
0110-1IS78,0.25,5.001395459735334e-06,incongruent
0110-1IS78,0.255,4.858492304652151e-06,incongruent
0110-1IS78,0.26,4.557194992019436e-06,incongruent
0110-1IS78,0.265,4.116730631415534e-06,incongruent
0110-1IS78,0.27,3.641113542929623e-06,incongruent
0110-1IS78,0.275,3.340032445400448e-06,incongruent
0110-1IS78,0.28,3.294245401600922e-06,incongruent
0110-1IS78,0.285,3.2813939401916747e-06,incongruent
0110-1IS78,0.29,3.024574915486169e-06,incongruent
0110-1IS78,0.295,2.600663727363864e-06,incongruent
0110-1IS78,0.3,2.358723688269047e-06,incongruent
0110-1IS78,0.305,2.3997922214877562e-06,incongruent
0110-1IS78,0.31,2.425222669288234e-06,incongruent
0110-1IS78,0.315,2.2771457205556557e-06,incongruent
0110-1IS78,0.32,2.3047962885438714e-06,incongruent
0110-1IS78,0.325,2.8475334817118144e-06,incongruent
0110-1IS78,0.33,3.535721994419674e-06,incongruent
0110-1IS78,0.335,3.572851403527793e-06,incongruent
0110-1IS78,0.34,2.7776330292567024e-06,incongruent
0110-1IS78,0.345,1.907246742575992e-06,incongruent
0110-1IS78,0.35,1.699960574513177e-06,incongruent
0110-1IS78,0.355,1.9381433225621215e-06,incongruent
0110-1IS78,0.36,1.8652508262576762e-06,incongruent
0110-1IS78,0.365,1.3355390344999117e-06,incongruent
0110-1IS78,0.37,1.0035385819252315e-06,incongruent
0110-1IS78,0.375,1.2868578694345142e-06,incongruent
0110-1IS78,0.38,1.6761198926477563e-06,incongruent
0110-1IS78,0.385,1.440040589053502e-06,incongruent
0110-1IS78,0.39,7.111686001651349e-07,incongruent
0110-1IS78,0.395,3.552992861960977e-07,incongruent
0110-1IS78,0.4,8.007960834280697e-07,incongruent
0110-1IS78,0.405,1.4977361783545835e-06,incongruent
0110-1IS78,0.41,1.7166840986390594e-06,incongruent
0110-1IS78,0.415,1.4720813524831486e-06,incongruent
0110-1IS78,0.42,1.2943198859110984e-06,incongruent
0110-1IS78,0.425,1.3428446337308176e-06,incongruent
0110-1IS78,0.43,1.243818800644629e-06,incongruent
0110-1IS78,0.435,8.196559666647318e-07,incongruent
0110-1IS78,0.44,4.813776382220274e-07,incongruent
0110-1IS78,0.445,6.325008370985149e-07,incongruent
0110-1IS78,0.45,1.0209715205599731e-06,incongruent
0110-1IS78,0.455,1.0657430035061929e-06,incongruent
0110-1IS78,0.46,6.905861264810844e-07,incongruent
0110-1IS78,0.465,4.4796380296394575e-07,incongruent
0110-1IS78,0.47,7.738080729696175e-07,incongruent
0110-1IS78,0.475,1.4429414949893613e-06,incongruent
0110-1IS78,0.48,1.913482962489718e-06,incongruent
0110-1IS78,0.485,1.99915272544629e-06,incongruent
0110-1IS78,0.49,1.977509337640895e-06,incongruent
0110-1IS78,0.495,2.1346150791902784e-06,incongruent
0110-1IS78,0.5,2.4210425495727373e-06,incongruent
0110-1IS78,0.505,2.5611260137778263e-06,incongruent
0110-1IS78,0.51,2.350767667612908e-06,incongruent
0110-1IS78,0.515,1.824572475555374e-06,incongruent
0110-1IS78,0.52,1.2218668857421456e-06,incongruent
0110-1IS78,0.525,7.931587750512023e-07,incongruent
0110-1IS78,0.53,5.838372178055523e-07,incongruent
0110-1IS78,0.535,4.3404744950906295e-07,incongruent
0110-1IS78,0.54,2.473881675751598e-07,incongruent
0110-1IS78,0.545,1.9944785843086588e-07,incongruent
0110-1IS78,0.55,5.442112473227743e-07,incongruent
0110-1IS78,0.555,1.234973288162456e-06,incongruent
0110-1IS78,0.56,1.9008544735790398e-06,incongruent
0110-1IS78,0.565,2.2786401532467673e-06,incongruent
0110-1IS78,0.57,2.49900459200495e-06,incongruent
0110-1IS78,0.575,2.797490368283286e-06,incongruent
0110-1IS78,0.58,3.0807732236154285e-06,incongruent
0110-1IS78,0.585,2.9987818696994237e-06,incongruent
0110-1IS78,0.59,2.4254364952312366e-06,incongruent
0110-1IS78,0.595,1.6604785213115694e-06,incongruent
0110-1IS78,0.6,1.0848422971987211e-06,incongruent
0110-1IS78,0.605,7.730603454043274e-07,incongruent
0110-1IS78,0.61,5.666808453385656e-07,incongruent
0110-1IS78,0.615,4.341493035244243e-07,incongruent
0110-1IS78,0.62,5.351792916209121e-07,incongruent
0110-1IS78,0.625,9.101918756576885e-07,incongruent
0110-1IS78,0.63,1.298983509608997e-06,incongruent
0110-1IS78,0.635,1.4332440061783568e-06,incongruent
0110-1IS78,0.64,1.422840028416317e-06,incongruent
0110-1IS78,0.645,1.6641742083618477e-06,incongruent
0110-1IS78,0.65,2.310246180942711e-06,incongruent
0110-1IS78,0.655,2.9882909290079814e-06,incongruent
0110-1IS78,0.66,3.2130558799939804e-06,incongruent
0110-1IS78,0.665,3.0196641727434676e-06,incongruent
0110-1IS78,0.67,2.9671534200488553e-06,incongruent
0110-1IS78,0.675,3.431697334724464e-06,incongruent
0110-1IS78,0.68,4.058743591683804e-06,incongruent
0110-1IS78,0.685,4.147013299171328e-06,incongruent
0110-1IS78,0.69,3.5215898882177146e-06,incongruent
0110-1IS78,0.695,2.77074519909862e-06,incongruent
0110-1IS78,0.7,2.5181280389886775e-06,incongruent
0110-1IS78,0.705,2.6523716578880207e-06,incongruent
0110-1IS78,0.71,2.5332448799893917e-06,incongruent
0110-1IS78,0.715,1.9215828119850264e-06,incongruent
0110-1IS78,0.72,1.4177101659680694e-06,incongruent
0110-1IS78,0.725,1.7927995156232386e-06,incongruent
0110-1IS78,0.73,3.014204960394332e-06,incongruent
0110-1IS78,0.735,4.187794748184663e-06,incongruent
0110-1IS78,0.74,4.515782709247613e-06,incongruent
0110-1IS78,0.745,4.111324052961237e-06,incongruent
0110-1IS78,0.75,3.731989212570286e-06,incongruent
0110-1IS78,0.755,3.845844586718179e-06,incongruent
0110-1IS78,0.76,4.188114055537709e-06,incongruent
0110-1IS78,0.765,4.21973146696407e-06,incongruent
0110-1IS78,0.77,3.7775003566761477e-06,incongruent
0110-1IS78,0.775,3.1327554966368377e-06,incongruent
0110-1IS78,0.78,2.5745471670170992e-06,incongruent
0110-1IS78,0.785,2.18429546616147e-06,incongruent
0110-1IS78,0.79,1.973136928972e-06,incongruent
0110-1IS78,0.795,1.9991224247877234e-06,incongruent
0110-1IS78,0.8,2.254068982508613e-06,incongruent
0110-1IS78,0.805,2.5885600920365797e-06,incongruent
0110-1IS78,0.81,2.87636321884283e-06,incongruent
0110-1IS78,0.815,3.163115857283233e-06,incongruent
0110-1IS78,0.82,3.5092053826754173e-06,incongruent
0110-1IS78,0.825,3.73784500658832e-06,incongruent
