subject,time,evoked,condition
0112-ZGZE5,-0.2,-9.278992275656647e-08,congruent
0112-ZGZE5,-0.195,-1.671927935759243e-07,congruent
0112-ZGZE5,-0.19,-2.3755778750174567e-07,congruent
0112-ZGZE5,-0.185,-2.1739429044271306e-07,congruent
0112-ZGZE5,-0.18,-1.64121635309857e-07,congruent
0112-ZGZE5,-0.175,-1.585898703383343e-07,congruent
0112-ZGZE5,-0.17,-1.5078801142376076e-07,congruent
0112-ZGZE5,-0.165,-4.112439993859764e-08,congruent
0112-ZGZE5,-0.16,1.1575459418796117e-07,congruent
0112-ZGZE5,-0.155,1.2754829579556874e-07,congruent
0112-ZGZE5,-0.15,-7.598143616856969e-08,congruent
0112-ZGZE5,-0.145,-2.993977072335771e-07,congruent
0112-ZGZE5,-0.14,-2.8468226210834354e-07,congruent
0112-ZGZE5,-0.135,-2.0081198859829233e-08,congruent
0112-ZGZE5,-0.13,2.3538640929711792e-07,congruent
0112-ZGZE5,-0.125,2.408594775495621e-07,congruent
0112-ZGZE5,-0.12,2.2638019277329916e-08,congruent
0112-ZGZE5,-0.115,-2.0256798197463462e-07,congruent
0112-ZGZE5,-0.11,-2.963593091125524e-07,congruent
0112-ZGZE5,-0.105,-3.198510722593876e-07,congruent
0112-ZGZE5,-0.1,-3.8633622287222335e-07,congruent
0112-ZGZE5,-0.095,-4.695246232347052e-07,congruent
0112-ZGZE5,-0.09,-4.3714691567386855e-07,congruent
0112-ZGZE5,-0.085,-2.471257466098515e-07,congruent
0112-ZGZE5,-0.08,-1.8100957117808437e-08,congruent
0112-ZGZE5,-0.075,1.298848644798496e-07,congruent
0112-ZGZE5,-0.07,2.3575325879548852e-07,congruent
0112-ZGZE5,-0.065,4.1446472396889034e-07,congruent
0112-ZGZE5,-0.06,6.45902260900322e-07,congruent
0112-ZGZE5,-0.055,7.558390068052456e-07,congruent
0112-ZGZE5,-0.05,6.293513813976828e-07,congruent
0112-ZGZE5,-0.045,3.5448713949895486e-07,congruent
0112-ZGZE5,-0.04,1.0454772200189893e-07,congruent
0112-ZGZE5,-0.035,-5.6646084487284525e-08,congruent
0112-ZGZE5,-0.03,-1.7325089547451803e-07,congruent
0112-ZGZE5,-0.025,-2.4612809326567634e-07,congruent
0112-ZGZE5,-0.02,-1.9909385199266294e-07,congruent
0112-ZGZE5,-0.015,-9.231050074231571e-09,congruent
0112-ZGZE5,-0.01,2.182469257109433e-07,congruent
0112-ZGZE5,-0.005,3.5683340379455005e-07,congruent
0112-ZGZE5,0.0,3.835666409443968e-07,congruent
0112-ZGZE5,0.005,3.6088784887122524e-07,congruent
0112-ZGZE5,0.01,3.500981818334953e-07,congruent
0112-ZGZE5,0.015,3.8552020232271936e-07,congruent
0112-ZGZE5,0.02,4.861673021561644e-07,congruent
0112-ZGZE5,0.025,6.160670397143327e-07,congruent
0112-ZGZE5,0.03,6.639800505104908e-07,congruent
0112-ZGZE5,0.035,5.480575234277375e-07,congruent
0112-ZGZE5,0.04,3.416512812350213e-07,congruent
0112-ZGZE5,0.045,2.233387789710176e-07,congruent
0112-ZGZE5,0.05,2.748078954994349e-07,congruent
0112-ZGZE5,0.055,3.872518154722593e-07,congruent
0112-ZGZE5,0.06,3.9443355667314497e-07,congruent
0112-ZGZE5,0.065,2.4957188267820883e-07,congruent
0112-ZGZE5,0.07,3.938730693512337e-08,congruent
0112-ZGZE5,0.075,-1.2205098235028566e-07,congruent
0112-ZGZE5,0.08,-1.6662207205140759e-07,congruent
0112-ZGZE5,0.085,-8.646355127727361e-08,congruent
0112-ZGZE5,0.09,6.539872742029217e-08,congruent
0112-ZGZE5,0.095,2.044300224698073e-07,congruent
0112-ZGZE5,0.1,2.904045742104941e-07,congruent
0112-ZGZE5,0.105,3.720350946826132e-07,congruent
0112-ZGZE5,0.11,5.237244773973184e-07,congruent
0112-ZGZE5,0.115,7.523279435838186e-07,congruent
0112-ZGZE5,0.12,1.0056402002767833e-06,congruent
0112-ZGZE5,0.125,1.2352998540207406e-06,congruent
