subject,time,evoked,condition
0112-ZGZE5,-0.2,-4.772327215302063e-07,incongruent
0112-ZGZE5,-0.195,-1.1063321792898402e-07,incongruent
0112-ZGZE5,-0.19,1.3479776455205958e-07,incongruent
0112-ZGZE5,-0.185,2.515404818028537e-08,incongruent
0112-ZGZE5,-0.18,-1.9175422342500212e-07,incongruent
0112-ZGZE5,-0.175,-1.2828225718197827e-07,incongruent
0112-ZGZE5,-0.17,2.0850594577555998e-07,incongruent
0112-ZGZE5,-0.165,4.1218169346438325e-07,incongruent
0112-ZGZE5,-0.16,2.0204181924728172e-07,incongruent
0112-ZGZE5,-0.155,-2.3609019059550802e-07,incongruent
0112-ZGZE5,-0.15,-4.943617130786409e-07,incongruent
0112-ZGZE5,-0.145,-3.8803664152864964e-07,incongruent
0112-ZGZE5,-0.14,-6.348377644542199e-08,incongruent
0112-ZGZE5,-0.135,2.4027152481257627e-07,incongruent
0112-ZGZE5,-0.13,3.9600879225649907e-07,incongruent
0112-ZGZE5,-0.125,3.651897682492504e-07,incongruent
0112-ZGZE5,-0.12,1.2981746373260408e-07,incongruent
0112-ZGZE5,-0.115,-2.514156313428682e-07,incongruent
0112-ZGZE5,-0.11,-5.888162185376544e-07,incongruent
0112-ZGZE5,-0.105,-6.747783181665122e-07,incongruent
0112-ZGZE5,-0.1,-4.807462761639365e-07,incongruent
0112-ZGZE5,-0.095,-1.8384161207448726e-07,incongruent
0112-ZGZE5,-0.09,2.3495029274161678e-08,incongruent
0112-ZGZE5,-0.085,1.0222061080664863e-07,incongruent
0112-ZGZE5,-0.08,1.2850672408867427e-07,incongruent
0112-ZGZE5,-0.075,1.4878438046573116e-07,incongruent
0112-ZGZE5,-0.07,1.5142917866422345e-07,incongruent
0112-ZGZE5,-0.065,1.603315114122406e-07,incongruent
0112-ZGZE5,-0.06,2.477736646049492e-07,incongruent
0112-ZGZE5,-0.055,4.116237092552545e-07,incongruent
0112-ZGZE5,-0.05,5.207287154033933e-07,incongruent
0112-ZGZE5,-0.045,4.6210166895943015e-07,incongruent
0112-ZGZE5,-0.04,2.820363986369032e-07,incongruent
0112-ZGZE5,-0.035,9.493264252795086e-08,incongruent
0112-ZGZE5,-0.03,-9.180711127559453e-08,incongruent
0112-ZGZE5,-0.025,-3.442280389367085e-07,incongruent
0112-ZGZE5,-0.02,-5.8368312255733e-07,incongruent
0112-ZGZE5,-0.015,-5.588522419022053e-07,incongruent
0112-ZGZE5,-0.01,-1.4059855730818654e-07,incongruent
0112-ZGZE5,-0.005,4.280883420076661e-07,incongruent
0112-ZGZE5,0.0,7.126204764252144e-07,incongruent
0112-ZGZE5,0.005,5.3713378878658e-07,incongruent
0112-ZGZE5,0.01,1.6884008687398862e-07,incongruent
0112-ZGZE5,0.015,1.8336205316285784e-08,incongruent
0112-ZGZE5,0.02,2.084138684353379e-07,incongruent
0112-ZGZE5,0.025,5.102251167672482e-07,incongruent
0112-ZGZE5,0.03,6.616873796024172e-07,incongruent
0112-ZGZE5,0.035,6.458790775137982e-07,incongruent
0112-ZGZE5,0.04,6.15882495667463e-07,incongruent
0112-ZGZE5,0.045,6.256865812880865e-07,incongruent
0112-ZGZE5,0.05,5.538195481476707e-07,incongruent
0112-ZGZE5,0.055,3.211287149278365e-07,incongruent
0112-ZGZE5,0.06,7.58922236731239e-08,incongruent
0112-ZGZE5,0.065,5.094193638274082e-08,incongruent
0112-ZGZE5,0.07,2.7559210830104135e-07,incongruent
0112-ZGZE5,0.075,5.214335987999209e-07,incongruent
0112-ZGZE5,0.08,5.600090595794512e-07,incongruent
0112-ZGZE5,0.085,3.899180531828147e-07,incongruent
0112-ZGZE5,0.09,1.8967968043458877e-07,incongruent
0112-ZGZE5,0.095,1.3082720442383706e-07,incongruent
0112-ZGZE5,0.1,2.900939014955747e-07,incongruent
0112-ZGZE5,0.105,6.641306290604475e-07,incongruent
0112-ZGZE5,0.11,1.1476609079727924e-06,incongruent
0112-ZGZE5,0.115,1.5306085472534782e-06,incongruent
0112-ZGZE5,0.12,1.638110876984915e-06,incongruent
0112-ZGZE5,0.125,1.492526341813061e-06,incongruent
0112-ZGZE5,0.13,1.2475619052943104e-06,incongruent
0112-ZGZE5,0.135,9.475087539464755e-07,incongruent
0112-ZGZE5,0.14,4.79844876955945e-07,incongruent
0112-ZGZE5,0.145,-1.937121564796554e-07,incongruent
0112-ZGZE5,0.15,-8.654841319879544e-07,incongruent
0112-ZGZE5,0.155,-1.2703724776994999e-06,incongruent
0112-ZGZE5,0.16,-1.3927864224312458e-06,incongruent
0112-ZGZE5,0.165,-1.4678688139680812e-06,incongruent
0112-ZGZE5,0.17,-1.6726611043772592e-06,incongruent
0112-ZGZE5,0.175,-1.9333438107383955e-06,incongruent
0112-ZGZE5,0.18,-2.060724373567954e-06,incongruent
0112-ZGZE5,0.185,-1.9769863088761656e-06,incongruent
0112-ZGZE5,0.19,-1.75308673168182e-06,incongruent
0112-ZGZE5,0.195,-1.4929060991044262e-06,incongruent
0112-ZGZE5,0.2,-1.237208999299085e-06,incongruent
0112-ZGZE5,0.205,-9.546601078780354e-07,incongruent
0112-ZGZE5,0.21,-5.920943610602161e-07,incongruent
0112-ZGZE5,0.215,-1.6380769684717384e-07,incongruent
0112-ZGZE5,0.22,1.8616299193449113e-07,incongruent
0112-ZGZE5,0.225,2.849866648375708e-07,incongruent
0112-ZGZE5,0.23,1.3841769820525242e-07,incongruent
0112-ZGZE5,0.235,-2.216858844008674e-08,incongruent
0112-ZGZE5,0.24,1.9058349325387237e-08,incongruent
0112-ZGZE5,0.245,2.133476674131715e-07,incongruent
0112-ZGZE5,0.25,3.25671120039974e-07,incongruent
0112-ZGZE5,0.255,2.3583091732527736e-07,incongruent
0112-ZGZE5,0.26,6.405235570254717e-08,incongruent
0112-ZGZE5,0.265,-1.83511007891548e-08,incongruent
0112-ZGZE5,0.27,6.017742497970582e-09,incongruent
0112-ZGZE5,0.275,5.0273138419291083e-08,incongruent
0112-ZGZE5,0.28,9.386113290677634e-08,incongruent
0112-ZGZE5,0.285,2.0328731430605827e-07,incongruent
0112-ZGZE5,0.29,4.071667460575464e-07,incongruent
0112-ZGZE5,0.295,6.241004758265038e-07,incongruent
0112-ZGZE5,0.3,7.53819548370049e-07,incongruent
0112-ZGZE5,0.305,7.959916694681624e-07,incongruent
0112-ZGZE5,0.31,8.528832683798065e-07,incongruent
0112-ZGZE5,0.315,1.020341830854302e-06,incongruent
0112-ZGZE5,0.32,1.2721884124648256e-06,incongruent
0112-ZGZE5,0.325,1.450596724495372e-06,incongruent
0112-ZGZE5,0.33,1.3890040646271564e-06,incongruent
0112-ZGZE5,0.335,1.080543233774154e-06,incongruent
0112-ZGZE5,0.34,7.187533301940589e-07,incongruent
0112-ZGZE5,0.345,5.485294407062985e-07,incongruent
0112-ZGZE5,0.35,6.61788300124916e-07,incongruent
0112-ZGZE5,0.355,9.47522852266811e-07,incongruent
0112-ZGZE5,0.36,1.228258964908728e-06,incongruent
