subject,time,evoked,condition
0114-9GG89,-0.2,4.1455186101369005e-07,congruent
0114-9GG89,-0.195,4.3858057869531916e-07,congruent
0114-9GG89,-0.19,2.867056426443579e-07,congruent
0114-9GG89,-0.185,2.9064274482117405e-07,congruent
0114-9GG89,-0.18,4.5310203168612343e-07,congruent
0114-9GG89,-0.175,4.810919775966826e-07,congruent
0114-9GG89,-0.17,2.520933296332283e-07,congruent
0114-9GG89,-0.165,-2.0608484628049655e-08,congruent
0114-9GG89,-0.16,-1.2278444704460418e-07,congruent
0114-9GG89,-0.155,-1.0561066689119886e-07,congruent
0114-9GG89,-0.15,-1.0703973105182048e-07,congruent
0114-9GG89,-0.145,-9.38679238786749e-08,congruent
0114-9GG89,-0.14,4.3163660438289303e-08,congruent
0114-9GG89,-0.135,2.435610983849773e-07,congruent
0114-9GG89,-0.13,3.208688572537887e-07,congruent
0114-9GG89,-0.125,2.223692137411806e-07,congruent
0114-9GG89,-0.12,7.914662465215992e-08,congruent
0114-9GG89,-0.115,-1.182708856131384e-08,congruent
0114-9GG89,-0.11,-9.309964393675734e-08,congruent
0114-9GG89,-0.105,-1.949190462225173e-07,congruent
0114-9GG89,-0.1,-2.259773603721057e-07,congruent
0114-9GG89,-0.095,-1.1755860806792824e-07,congruent
0114-9GG89,-0.09,2.3547364334802504e-08,congruent
0114-9GG89,-0.085,3.996837402771142e-08,congruent
0114-9GG89,-0.08,-4.7119511845745266e-08,congruent
0114-9GG89,-0.075,-6.586669046290636e-08,congruent
0114-9GG89,-0.07,4.1999376442670025e-08,congruent
0114-9GG89,-0.065,1.0726642769749893e-07,congruent
0114-9GG89,-0.06,-6.188678489983227e-08,congruent
0114-9GG89,-0.055,-4.2737308059312e-07,congruent
0114-9GG89,-0.05,-7.442980591628158e-07,congruent
0114-9GG89,-0.045,-8.139424248613272e-07,congruent
0114-9GG89,-0.04,-6.572344652993756e-07,congruent
0114-9GG89,-0.035,-4.4492062470264515e-07,congruent
0114-9GG89,-0.03,-3.04859783081059e-07,congruent
0114-9GG89,-0.025,-2.3082028276674917e-07,congruent
0114-9GG89,-0.02,-1.4844388476398299e-07,congruent
0114-9GG89,-0.015,-1.4086679261283025e-08,congruent
0114-9GG89,-0.01,1.7338682302858457e-07,congruent
0114-9GG89,-0.005,4.184184159127842e-07,congruent
0114-9GG89,0.0,7.236808756247061e-07,congruent
0114-9GG89,0.005,1.0252681761162654e-06,congruent
0114-9GG89,0.01,1.1923286923804278e-06,congruent
0114-9GG89,0.015,1.1495804190478864e-06,congruent
0114-9GG89,0.02,9.77427168615504e-07,congruent
0114-9GG89,0.025,8.356941428360961e-07,congruent
0114-9GG89,0.03,7.920808168108249e-07,congruent
0114-9GG89,0.035,7.738798836567356e-07,congruent
0114-9GG89,0.04,6.964400836110063e-07,congruent
0114-9GG89,0.045,5.794065699564294e-07,congruent
0114-9GG89,0.05,5.045660745661757e-07,congruent
0114-9GG89,0.055,5.045862854973579e-07,congruent
0114-9GG89,0.06,5.445908102921136e-07,congruent
