subject,time,evoked,condition
0114-9GG89,-0.2,-2.646212157108533e-07,incongruent
0114-9GG89,-0.195,-6.942397483793291e-08,incongruent
0114-9GG89,-0.19,1.1653956011238264e-07,incongruent
0114-9GG89,-0.185,1.9693604074306733e-07,incongruent
0114-9GG89,-0.18,2.3676968838656906e-07,incongruent
0114-9GG89,-0.175,4.135468170203858e-07,incongruent
0114-9GG89,-0.17,6.940299674824111e-07,incongruent
0114-9GG89,-0.165,7.285980582889514e-07,incongruent
0114-9GG89,-0.16,2.6824346023014386e-07,incongruent
0114-9GG89,-0.155,-4.1507625482199815e-07,incongruent
0114-9GG89,-0.15,-7.578675886274114e-07,incongruent
0114-9GG89,-0.145,-5.384850936538993e-07,incongruent
0114-9GG89,-0.14,-7.766771616583243e-08,incongruent
0114-9GG89,-0.135,2.0670211673895294e-07,incongruent
0114-9GG89,-0.13,2.2161993736105915e-07,incongruent
0114-9GG89,-0.125,1.1370125854525499e-07,incongruent
0114-9GG89,-0.12,-1.2314882512072349e-08,incongruent
0114-9GG89,-0.115,-1.170707355918621e-07,incongruent
0114-9GG89,-0.11,-1.2704008700895573e-07,incongruent
0114-9GG89,-0.105,-3.359207047305712e-08,incongruent
0114-9GG89,-0.1,-2.3383719751322862e-08,incongruent
0114-9GG89,-0.095,-2.895162595260381e-07,incongruent
0114-9GG89,-0.09,-6.920548700843938e-07,incongruent
0114-9GG89,-0.085,-8.265969274160001e-07,incongruent
0114-9GG89,-0.08,-5.021777733723809e-07,incongruent
0114-9GG89,-0.075,2.1322735861044675e-09,incongruent
0114-9GG89,-0.07,2.574918568152673e-07,incongruent
0114-9GG89,-0.065,1.5814342806696368e-07,incongruent
0114-9GG89,-0.06,-5.1988095078404125e-08,incongruent
0114-9GG89,-0.055,-1.4098997655861067e-07,incongruent
0114-9GG89,-0.05,-1.0900100711556926e-07,incongruent
0114-9GG89,-0.045,-6.572792772720345e-08,incongruent
0114-9GG89,-0.04,-6.332764744623211e-08,incongruent
0114-9GG89,-0.035,-1.0315720291758962e-07,incongruent
0114-9GG89,-0.03,-1.9021922278041121e-07,incongruent
0114-9GG89,-0.025,-2.792227122195247e-07,incongruent
0114-9GG89,-0.02,-2.3208508617885288e-07,incongruent
0114-9GG89,-0.015,4.740309981219118e-08,incongruent
0114-9GG89,-0.01,4.6098217324353884e-07,incongruent
0114-9GG89,-0.005,8.138352495786557e-07,incongruent
0114-9GG89,0.0,1.0459330670226948e-06,incongruent
0114-9GG89,0.005,1.2373121710210092e-06,incongruent
0114-9GG89,0.01,1.3718221091435134e-06,incongruent
0114-9GG89,0.015,1.2736627797904545e-06,incongruent
0114-9GG89,0.02,8.782522715001856e-07,incongruent
0114-9GG89,0.025,4.301417545633226e-07,incongruent
0114-9GG89,0.03,2.4464593729860986e-07,incongruent
0114-9GG89,0.035,3.39659261375808e-07,incongruent
0114-9GG89,0.04,4.903965498733592e-07,incongruent
0114-9GG89,0.045,5.845151439438527e-07,incongruent
0114-9GG89,0.05,6.891842503412682e-07,incongruent
0114-9GG89,0.055,7.640951029105878e-07,incongruent
0114-9GG89,0.06,5.961625816879187e-07,incongruent
0114-9GG89,0.065,1.6317959481565447e-07,incongruent
0114-9GG89,0.07,-1.910251137516836e-07,incongruent
0114-9GG89,0.075,-1.8080950195295238e-07,incongruent
0114-9GG89,0.08,-1.770285539009651e-09,incongruent
0114-9GG89,0.085,-4.570237186431376e-08,incongruent
0114-9GG89,0.09,-2.900305305015199e-07,incongruent
0114-9GG89,0.095,-3.25505774142258e-07,incongruent
0114-9GG89,0.1,-1.2534404856276785e-09,incongruent
0114-9GG89,0.105,3.246765258713266e-07,incongruent
0114-9GG89,0.11,3.1153640021755555e-07,incongruent
0114-9GG89,0.115,8.742277144769325e-08,incongruent
0114-9GG89,0.12,-9.212926995727229e-08,incongruent
0114-9GG89,0.125,-3.554452364668958e-07,incongruent
0114-9GG89,0.13,-9.850037285701377e-07,incongruent
0114-9GG89,0.135,-1.781952216007221e-06,incongruent
0114-9GG89,0.14,-2.096736493847288e-06,incongruent
0114-9GG89,0.145,-1.6292700901854133e-06,incongruent
0114-9GG89,0.15,-8.525909441892783e-07,incongruent
0114-9GG89,0.155,-4.1741482423832035e-07,incongruent
0114-9GG89,0.16,-3.6112470801701697e-07,incongruent
0114-9GG89,0.165,-1.787375560640043e-07,incongruent
0114-9GG89,0.17,4.2363136506999946e-07,incongruent
0114-9GG89,0.175,1.1587664378462146e-06,incongruent
0114-9GG89,0.18,1.5719723161875885e-06,incongruent
0114-9GG89,0.185,1.5607758550082286e-06,incongruent
0114-9GG89,0.19,1.359055844884203e-06,incongruent
0114-9GG89,0.195,1.1734315160094318e-06,incongruent
0114-9GG89,0.2,1.0161487737652783e-06,incongruent
0114-9GG89,0.205,8.513834167294461e-07,incongruent
0114-9GG89,0.21,7.464442716348439e-07,incongruent
