subject,time,evoked,condition
0117-KXKZ2,-0.2,-1.5204364691365632e-07,congruent
0117-KXKZ2,-0.195,-1.528932295732305e-07,congruent
0117-KXKZ2,-0.19,-7.509463189193104e-08,congruent
0117-KXKZ2,-0.185,6.271778804421789e-08,congruent
0117-KXKZ2,-0.18,9.12077072038449e-08,congruent
0117-KXKZ2,-0.175,-1.5477634377527746e-07,congruent
0117-KXKZ2,-0.17,-5.632926013549619e-07,congruent
0117-KXKZ2,-0.165,-7.733424318051445e-07,congruent
0117-KXKZ2,-0.16,-5.827814579527675e-07,congruent
0117-KXKZ2,-0.155,-2.2479888956304982e-07,congruent
0117-KXKZ2,-0.15,-9.786264751498444e-08,congruent
0117-KXKZ2,-0.145,-2.742890061784048e-07,congruent
0117-KXKZ2,-0.14,-4.5085889582157894e-07,congruent
0117-KXKZ2,-0.135,-4.076884161599125e-07,congruent
0117-KXKZ2,-0.13,-2.9966196546664073e-07,congruent
0117-KXKZ2,-0.125,-3.554502913416882e-07,congruent
0117-KXKZ2,-0.12,-4.637723833506915e-07,congruent
0117-KXKZ2,-0.115,-3.069658535529673e-07,congruent
0117-KXKZ2,-0.11,1.5339790348101805e-07,congruent
0117-KXKZ2,-0.105,5.811989434287658e-07,congruent
0117-KXKZ2,-0.1,7.074875609985531e-07,congruent
0117-KXKZ2,-0.095,6.33878915157856e-07,congruent
0117-KXKZ2,-0.09,5.678242723636921e-07,congruent
0117-KXKZ2,-0.085,4.6083900689751805e-07,congruent
0117-KXKZ2,-0.08,1.4957328468688518e-07,congruent
0117-KXKZ2,-0.075,-2.5033488230288423e-07,congruent
0117-KXKZ2,-0.07,-3.6739844720381735e-07,congruent
0117-KXKZ2,-0.065,-2.8937634006365605e-08,congruent
0117-KXKZ2,-0.06,4.903674028941217e-07,congruent
0117-KXKZ2,-0.055,7.563225379074736e-07,congruent
0117-KXKZ2,-0.05,5.791891874183676e-07,congruent
0117-KXKZ2,-0.045,7.946928219926438e-08,congruent
0117-KXKZ2,-0.04,-4.688386524340979e-07,congruent
0117-KXKZ2,-0.035,-7.535574398385799e-07,congruent
0117-KXKZ2,-0.03,-5.596534984394867e-07,congruent
0117-KXKZ2,-0.025,2.124497988994474e-09,congruent
0117-KXKZ2,-0.02,4.780788867055273e-07,congruent
0117-KXKZ2,-0.015,5.029123822334299e-07,congruent
0117-KXKZ2,-0.01,2.611798708489269e-07,congruent
0117-KXKZ2,-0.005,3.1363879333066627e-07,congruent
0117-KXKZ2,0.0,8.928850297213148e-07,congruent
0117-KXKZ2,0.005,1.5671602710783819e-06,congruent
0117-KXKZ2,0.01,1.7517575927649337e-06,congruent
0117-KXKZ2,0.015,1.4140702724663468e-06,congruent
0117-KXKZ2,0.02,1.0486206956777818e-06,congruent
0117-KXKZ2,0.025,1.016300007608112e-06,congruent
0117-KXKZ2,0.03,1.1548136806193448e-06,congruent
0117-KXKZ2,0.035,1.1341661435009452e-06,congruent
0117-KXKZ2,0.04,9.862905664125231e-07,congruent
0117-KXKZ2,0.045,1.0454512148964025e-06,congruent
0117-KXKZ2,0.05,1.4023668213960933e-06,congruent
0117-KXKZ2,0.055,1.6741151611248423e-06,congruent
0117-KXKZ2,0.06,1.437116056390763e-06,congruent
0117-KXKZ2,0.065,7.772478010336253e-07,congruent
0117-KXKZ2,0.07,2.192990904341844e-07,congruent
