subject,time,evoked,condition
0117-KXKZ2,-0.2,8.228263346235716e-07,incongruent
0117-KXKZ2,-0.195,1.1214488901733007e-06,incongruent
0117-KXKZ2,-0.19,7.488908359838798e-07,incongruent
0117-KXKZ2,-0.185,-2.2473122001670283e-07,incongruent
0117-KXKZ2,-0.18,-1.0666157856503587e-06,incongruent
0117-KXKZ2,-0.175,-1.1195350029248051e-06,incongruent
0117-KXKZ2,-0.17,-5.376418378608975e-07,incongruent
0117-KXKZ2,-0.165,-6.39571022150594e-08,incongruent
0117-KXKZ2,-0.16,-1.1019141659253448e-07,incongruent
0117-KXKZ2,-0.155,-3.631151523887299e-07,incongruent
0117-KXKZ2,-0.15,-3.9529153550774056e-07,incongruent
0117-KXKZ2,-0.145,-3.3483924789474173e-07,incongruent
0117-KXKZ2,-0.14,-6.341912661890416e-07,incongruent
0117-KXKZ2,-0.135,-1.3375740461720337e-06,incongruent
0117-KXKZ2,-0.13,-1.9019146989769287e-06,incongruent
0117-KXKZ2,-0.125,-1.8348160850175698e-06,incongruent
0117-KXKZ2,-0.12,-1.2277353032885583e-06,incongruent
0117-KXKZ2,-0.115,-5.196321037464238e-07,incongruent
0117-KXKZ2,-0.11,6.35108693454817e-08,incongruent
0117-KXKZ2,-0.105,6.16914516293306e-07,incongruent
0117-KXKZ2,-0.1,1.1871291902469108e-06,incongruent
0117-KXKZ2,-0.095,1.5460285540465753e-06,incongruent
0117-KXKZ2,-0.09,1.428318451349334e-06,incongruent
0117-KXKZ2,-0.085,8.860090510534024e-07,incongruent
0117-KXKZ2,-0.08,3.203342553300355e-07,incongruent
0117-KXKZ2,-0.075,1.1749696251123236e-07,incongruent
0117-KXKZ2,-0.07,2.7600354653206045e-07,incongruent
0117-KXKZ2,-0.065,4.164254264212775e-07,incongruent
0117-KXKZ2,-0.06,1.8539008703956802e-07,incongruent
0117-KXKZ2,-0.055,-3.4397591405954445e-07,incongruent
0117-KXKZ2,-0.05,-7.455010104959074e-07,incongruent
0117-KXKZ2,-0.045,-7.333095588370043e-07,incongruent
0117-KXKZ2,-0.04,-4.813361008563712e-07,incongruent
0117-KXKZ2,-0.035,-3.5735676463920016e-07,incongruent
0117-KXKZ2,-0.03,-4.101160324086288e-07,incongruent
0117-KXKZ2,-0.025,-3.0281571367071755e-07,incongruent
0117-KXKZ2,-0.02,2.0108538715540172e-07,incongruent
0117-KXKZ2,-0.015,8.746757017646822e-07,incongruent
0117-KXKZ2,-0.01,1.2988294916425087e-06,incongruent
0117-KXKZ2,-0.005,1.39979810277826e-06,incongruent
0117-KXKZ2,0.0,1.5350771931315236e-06,incongruent
0117-KXKZ2,0.005,2.0146434131754184e-06,incongruent
0117-KXKZ2,0.01,2.677358299694763e-06,incongruent
0117-KXKZ2,0.015,3.046362450211379e-06,incongruent
0117-KXKZ2,0.02,2.872988788012951e-06,incongruent
0117-KXKZ2,0.025,2.4189124113871026e-06,incongruent
0117-KXKZ2,0.03,2.157587587406243e-06,incongruent
0117-KXKZ2,0.035,2.248139742179637e-06,incongruent
0117-KXKZ2,0.04,2.4351202357037603e-06,incongruent
0117-KXKZ2,0.045,2.4719338441910592e-06,incongruent
0117-KXKZ2,0.05,2.46412954295547e-06,incongruent
0117-KXKZ2,0.055,2.6449390127542718e-06,incongruent
0117-KXKZ2,0.06,2.886767636239623e-06,incongruent
0117-KXKZ2,0.065,2.7326189069002517e-06,incongruent
0117-KXKZ2,0.07,2.003263308334563e-06,incongruent
0117-KXKZ2,0.075,1.1198838692556726e-06,incongruent
0117-KXKZ2,0.08,5.869182433557345e-07,incongruent
0117-KXKZ2,0.085,3.2185621563695727e-07,incongruent
0117-KXKZ2,0.09,-1.586575189044533e-07,incongruent
0117-KXKZ2,0.095,-9.042421001440213e-07,incongruent
0117-KXKZ2,0.1,-1.3103124847907715e-06,incongruent
0117-KXKZ2,0.105,-9.214199860455665e-07,incongruent
0117-KXKZ2,0.11,-1.3987321702999173e-07,incongruent
0117-KXKZ2,0.115,2.102244091324137e-07,incongruent
0117-KXKZ2,0.12,-1.280112237748134e-07,incongruent
0117-KXKZ2,0.125,-6.541055098104793e-07,incongruent
0117-KXKZ2,0.13,-8.930738683864924e-07,incongruent
0117-KXKZ2,0.135,-9.915027295247052e-07,incongruent
0117-KXKZ2,0.14,-1.4067025595882007e-06,incongruent
0117-KXKZ2,0.145,-2.269378115231685e-06,incongruent
0117-KXKZ2,0.15,-3.234547456460328e-06,incongruent
0117-KXKZ2,0.155,-3.7778380328149244e-06,incongruent
0117-KXKZ2,0.16,-3.4786204162440276e-06,incongruent
0117-KXKZ2,0.165,-2.2377345126192124e-06,incongruent
0117-KXKZ2,0.17,-4.6397380507851183e-07,incongruent
0117-KXKZ2,0.175,1.0721566086586037e-06,incongruent
0117-KXKZ2,0.18,1.895417715250542e-06,incongruent
0117-KXKZ2,0.185,2.306419263725366e-06,incongruent
0117-KXKZ2,0.19,2.9419192851011253e-06,incongruent
0117-KXKZ2,0.195,3.8296158533910924e-06,incongruent
0117-KXKZ2,0.2,4.26974411565682e-06,incongruent
0117-KXKZ2,0.205,3.819139525216145e-06,incongruent
0117-KXKZ2,0.21,3.025486413923351e-06,incongruent
0117-KXKZ2,0.215,2.8135227001267013e-06,incongruent
0117-KXKZ2,0.22,3.3020388684384385e-06,incongruent
