subject,time,evoked,condition
0122-BJDQI,-0.2,6.110435476166261e-07,congruent
0122-BJDQI,-0.195,3.574440809834208e-07,congruent
0122-BJDQI,-0.19,5.568463128728842e-08,congruent
0122-BJDQI,-0.185,-1.1586599287108503e-07,congruent
0122-BJDQI,-0.18,-4.23240181006777e-08,congruent
0122-BJDQI,-0.175,1.6028983601446703e-07,congruent
0122-BJDQI,-0.17,1.8863942352147422e-07,congruent
0122-BJDQI,-0.165,-7.252783408066731e-08,congruent
0122-BJDQI,-0.16,-2.971321831707754e-07,congruent
0122-BJDQI,-0.155,-6.586055276196335e-08,congruent
0122-BJDQI,-0.15,5.376927720067794e-07,congruent
0122-BJDQI,-0.145,9.271820634530127e-07,congruent
0122-BJDQI,-0.14,7.144514934915838e-07,congruent
0122-BJDQI,-0.135,1.9577611071794012e-07,congruent
0122-BJDQI,-0.13,-3.4196013919525314e-08,congruent
0122-BJDQI,-0.125,1.9218753263610911e-07,congruent
0122-BJDQI,-0.12,4.948879619391552e-07,congruent
0122-BJDQI,-0.115,4.900647676137361e-07,congruent
0122-BJDQI,-0.11,2.0865645435319928e-07,congruent
0122-BJDQI,-0.105,-6.566865596851102e-08,congruent
0122-BJDQI,-0.1,-1.6199765338903684e-07,congruent
0122-BJDQI,-0.095,-1.1877508484072184e-07,congruent
0122-BJDQI,-0.09,-5.86125459620041e-08,congruent
0122-BJDQI,-0.085,-9.345670240753381e-08,congruent
0122-BJDQI,-0.08,-2.6400479114787464e-07,congruent
0122-BJDQI,-0.075,-4.507808173082171e-07,congruent
0122-BJDQI,-0.07,-4.1945385531993146e-07,congruent
0122-BJDQI,-0.065,-1.0042874749304592e-07,congruent
0122-BJDQI,-0.06,2.119703795859843e-07,congruent
0122-BJDQI,-0.055,1.1053137258462542e-07,congruent
0122-BJDQI,-0.05,-4.372002856045674e-07,congruent
0122-BJDQI,-0.045,-9.832642895943873e-07,congruent
0122-BJDQI,-0.04,-1.065018921681627e-06,congruent
0122-BJDQI,-0.035,-7.103709558476113e-07,congruent
0122-BJDQI,-0.03,-3.7574600871216453e-07,congruent
0122-BJDQI,-0.025,-4.0010428871281944e-07,congruent
0122-BJDQI,-0.02,-6.167956429378473e-07,congruent
0122-BJDQI,-0.015,-5.522328203644372e-07,congruent
0122-BJDQI,-0.01,2.1855051943996302e-08,congruent
0122-BJDQI,-0.005,7.968770878413906e-07,congruent
0122-BJDQI,0.0,1.2265841074231545e-06,congruent
0122-BJDQI,0.005,1.1008861903766309e-06,congruent
0122-BJDQI,0.01,7.462155649760589e-07,congruent
0122-BJDQI,0.015,6.136201263865166e-07,congruent
0122-BJDQI,0.02,7.511604525835828e-07,congruent
0122-BJDQI,0.025,8.205115853580849e-07,congruent
0122-BJDQI,0.03,6.077989767452993e-07,congruent
0122-BJDQI,0.035,3.2179700050254693e-07,congruent
0122-BJDQI,0.04,2.783484342206629e-07,congruent
0122-BJDQI,0.045,4.4125604422946606e-07,congruent
0122-BJDQI,0.05,4.886765474909728e-07,congruent
0122-BJDQI,0.055,2.9610023473837907e-07,congruent
0122-BJDQI,0.06,1.280209136999563e-07,congruent
0122-BJDQI,0.065,2.404895987631845e-07,congruent
0122-BJDQI,0.07,4.619582126298764e-07,congruent
0122-BJDQI,0.075,3.589558556392198e-07,congruent
0122-BJDQI,0.08,-2.1029273565802507e-07,congruent
0122-BJDQI,0.085,-8.78628862085758e-07,congruent
0122-BJDQI,0.09,-1.1614939523008675e-06,congruent
0122-BJDQI,0.095,-9.552976311286592e-07,congruent
0122-BJDQI,0.1,-5.635949899233142e-07,congruent
0122-BJDQI,0.105,-3.0985614315406755e-07,congruent
0122-BJDQI,0.11,-2.583365561223711e-07,congruent
0122-BJDQI,0.115,-3.034589239196343e-07,congruent
0122-BJDQI,0.12,-3.87390446582894e-07,congruent
0122-BJDQI,0.125,-5.441490711103078e-07,congruent
0122-BJDQI,0.13,-7.690967104281835e-07,congruent
0122-BJDQI,0.135,-9.593330479807244e-07,congruent
0122-BJDQI,0.14,-1.0076715844161822e-06,congruent
0122-BJDQI,0.145,-9.103362061767275e-07,congruent
0122-BJDQI,0.15,-7.554617326505036e-07,congruent
0122-BJDQI,0.155,-6.271558882180073e-07,congruent
0122-BJDQI,0.16,-5.29401096909069e-07,congruent
0122-BJDQI,0.165,-4.005720726191111e-07,congruent
0122-BJDQI,0.17,-1.8184115071907486e-07,congruent
0122-BJDQI,0.175,1.2842769855248672e-07,congruent
0122-BJDQI,0.18,4.809785853334401e-07,congruent
0122-BJDQI,0.185,8.239300381474655e-07,congruent
0122-BJDQI,0.19,1.1237678902867938e-06,congruent
0122-BJDQI,0.195,1.3463160824132827e-06,congruent
0122-BJDQI,0.2,1.4458366138140022e-06,congruent
0122-BJDQI,0.205,1.4087128793964351e-06,congruent
0122-BJDQI,0.21,1.3002239824814917e-06,congruent
0122-BJDQI,0.215,1.239734352289083e-06,congruent
0122-BJDQI,0.22,1.309781995092668e-06,congruent
0122-BJDQI,0.225,1.4976443307640264e-06,congruent
0122-BJDQI,0.23,1.714672013268629e-06,congruent
0122-BJDQI,0.235,1.8635694825848967e-06,congruent
0122-BJDQI,0.24,1.9055416541717087e-06,congruent
0122-BJDQI,0.245,1.89423499930509e-06,congruent
0122-BJDQI,0.25,1.9344957513190564e-06,congruent
0122-BJDQI,0.255,2.071244242966091e-06,congruent
0122-BJDQI,0.26,2.208890257944563e-06,congruent
0122-BJDQI,0.265,2.183420053845211e-06,congruent
0122-BJDQI,0.27,1.956858288625816e-06,congruent
0122-BJDQI,0.275,1.7129029292762415e-06,congruent
0122-BJDQI,0.28,1.7065229102487393e-06,congruent
0122-BJDQI,0.285,1.9852951648954897e-06,congruent
0122-BJDQI,0.29,2.288925753973705e-06,congruent
0122-BJDQI,0.295,2.2585904930666242e-06,congruent
0122-BJDQI,0.3,1.79024535941591e-06,congruent
0122-BJDQI,0.305,1.1922352618671156e-06,congruent
0122-BJDQI,0.31,9.511279003867779e-07,congruent
0122-BJDQI,0.315,1.2687967285766562e-06,congruent
0122-BJDQI,0.32,1.8283490491023627e-06,congruent
0122-BJDQI,0.325,2.0975286838223625e-06,congruent
0122-BJDQI,0.33,1.891185444931655e-06,congruent
0122-BJDQI,0.335,1.5451402585672154e-06,congruent
0122-BJDQI,0.34,1.471677213459391e-06,congruent
0122-BJDQI,0.345,1.6499206449017909e-06,congruent
0122-BJDQI,0.35,1.7060499519549465e-06,congruent
0122-BJDQI,0.355,1.4443783070598963e-06,congruent
0122-BJDQI,0.36,1.088595439600683e-06,congruent
0122-BJDQI,0.365,9.221466701537146e-07,congruent
0122-BJDQI,0.37,8.893896736343703e-07,congruent
0122-BJDQI,0.375,7.345344519256817e-07,congruent
0122-BJDQI,0.38,4.348447423872967e-07,congruent
0122-BJDQI,0.385,2.681752181008759e-07,congruent
0122-BJDQI,0.39,4.287676039260372e-07,congruent
0122-BJDQI,0.395,7.485034205434514e-07,congruent
0122-BJDQI,0.4,8.911095147690026e-07,congruent
0122-BJDQI,0.405,7.266420287606554e-07,congruent
0122-BJDQI,0.41,4.2805767354755975e-07,congruent
0122-BJDQI,0.415,2.6281188276895594e-07,congruent
0122-BJDQI,0.42,3.6245699300457835e-07,congruent
0122-BJDQI,0.425,6.533543752645823e-07,congruent
0122-BJDQI,0.43,9.325763554933537e-07,congruent
0122-BJDQI,0.435,1.0286373593012442e-06,congruent
0122-BJDQI,0.44,9.397550882368505e-07,congruent
0122-BJDQI,0.445,8.060728929747227e-07,congruent
0122-BJDQI,0.45,7.388849437779035e-07,congruent
0122-BJDQI,0.455,7.16912623712582e-07,congruent
0122-BJDQI,0.46,6.862693897374248e-07,congruent
0122-BJDQI,0.465,6.677273253847377e-07,congruent
0122-BJDQI,0.47,6.678346920537138e-07,congruent
0122-BJDQI,0.475,5.669774776034043e-07,congruent
0122-BJDQI,0.48,2.7445753065242143e-07,congruent
0122-BJDQI,0.485,-2.7314797434014982e-08,congruent
0122-BJDQI,0.49,-5.401805870519064e-09,congruent
0122-BJDQI,0.495,3.776797668074294e-07,congruent
0122-BJDQI,0.5,7.176116834493942e-07,congruent
0122-BJDQI,0.505,6.396975346501042e-07,congruent
0122-BJDQI,0.51,2.842860400657919e-07,congruent
0122-BJDQI,0.515,1.0937748076136882e-07,congruent
0122-BJDQI,0.52,2.678620473673084e-07,congruent
0122-BJDQI,0.525,4.4839729607829856e-07,congruent
0122-BJDQI,0.53,3.719587739147895e-07,congruent
0122-BJDQI,0.535,1.7428661508431216e-07,congruent
0122-BJDQI,0.54,1.2992795612665032e-07,congruent
0122-BJDQI,0.545,2.0547439485064496e-07,congruent
0122-BJDQI,0.55,1.3754741158772717e-07,congruent
0122-BJDQI,0.555,-1.3118480964849344e-07,congruent
0122-BJDQI,0.56,-3.5057759793669024e-07,congruent
0122-BJDQI,0.565,-3.2499590439675847e-07,congruent
0122-BJDQI,0.57,-1.595936632130778e-07,congruent
0122-BJDQI,0.575,-6.313977033108612e-08,congruent
0122-BJDQI,0.58,-9.429810503189256e-08,congruent
0122-BJDQI,0.585,-2.2140053767474192e-07,congruent
0122-BJDQI,0.59,-4.5438772840002835e-07,congruent
0122-BJDQI,0.595,-7.430459296764502e-07,congruent
0122-BJDQI,0.6,-8.595940479142157e-07,congruent
0122-BJDQI,0.605,-6.286031484940307e-07,congruent
0122-BJDQI,0.61,-2.544070944928098e-07,congruent
0122-BJDQI,0.615,-1.7925539493581616e-07,congruent
0122-BJDQI,0.62,-5.379357630671721e-07,congruent
0122-BJDQI,0.625,-9.457698119132455e-07,congruent
0122-BJDQI,0.63,-9.619773448108655e-07,congruent
0122-BJDQI,0.635,-6.193192618583357e-07,congruent
0122-BJDQI,0.64,-3.188664772758813e-07,congruent
0122-BJDQI,0.645,-2.9251929004379853e-07,congruent
0122-BJDQI,0.65,-3.971140409361475e-07,congruent
0122-BJDQI,0.655,-4.3074822466836117e-07,congruent
0122-BJDQI,0.66,-4.0510157409299515e-07,congruent
0122-BJDQI,0.665,-4.006722594498169e-07,congruent
0122-BJDQI,0.67,-3.383318955540049e-07,congruent
0122-BJDQI,0.675,-1.0497046245130775e-07,congruent
0122-BJDQI,0.68,1.8125138370338116e-07,congruent
0122-BJDQI,0.685,2.4863691082952625e-07,congruent
0122-BJDQI,0.69,3.352909623943556e-08,congruent
0122-BJDQI,0.695,-2.1048971365825915e-07,congruent
0122-BJDQI,0.7,-2.4219724274957766e-07,congruent
0122-BJDQI,0.705,-1.2658362136273423e-07,congruent
0122-BJDQI,0.71,-7.157167246628783e-08,congruent
0122-BJDQI,0.715,-7.862858412857544e-08,congruent
0122-BJDQI,0.72,5.175110959351644e-08,congruent
0122-BJDQI,0.725,3.773519989164425e-07,congruent
0122-BJDQI,0.73,6.69893137207021e-07,congruent
0122-BJDQI,0.735,6.978066958341273e-07,congruent
0122-BJDQI,0.74,5.241802638724559e-07,congruent
0122-BJDQI,0.745,3.9257288234987675e-07,congruent
0122-BJDQI,0.75,3.9259632507021206e-07,congruent
0122-BJDQI,0.755,3.9662643507662457e-07,congruent
0122-BJDQI,0.76,3.151307809558815e-07,congruent
0122-BJDQI,0.765,2.5501220480090645e-07,congruent
0122-BJDQI,0.77,3.5446043456530645e-07,congruent
0122-BJDQI,0.775,5.72057017738801e-07,congruent
0122-BJDQI,0.78,7.404529056635458e-07,congruent
0122-BJDQI,0.785,7.669500837522705e-07,congruent
0122-BJDQI,0.79,6.838015592978415e-07,congruent
0122-BJDQI,0.795,5.447886402947023e-07,congruent
0122-BJDQI,0.8,3.883218673512172e-07,congruent
0122-BJDQI,0.805,2.952320577730842e-07,congruent
0122-BJDQI,0.81,3.452364219524587e-07,congruent
0122-BJDQI,0.815,4.6541793174684394e-07,congruent
0122-BJDQI,0.82,4.3909865601521827e-07,congruent
0122-BJDQI,0.825,1.8354892536907197e-07,congruent
0122-BJDQI,0.83,-7.143836631492011e-08,congruent
0122-BJDQI,0.835,-3.5904473294425294e-08,congruent
0122-BJDQI,0.84,2.3119100214006095e-07,congruent
0122-BJDQI,0.845,3.366787487315175e-07,congruent
0122-BJDQI,0.85,3.506686038213618e-08,congruent
0122-BJDQI,0.855,-4.4648421948762577e-07,congruent
0122-BJDQI,0.86,-6.83432057146511e-07,congruent
0122-BJDQI,0.865,-5.656739011426674e-07,congruent
0122-BJDQI,0.87,-3.570225936962249e-07,congruent
0122-BJDQI,0.875,-2.643710930287471e-07,congruent
0122-BJDQI,0.88,-1.543722687094589e-07,congruent
0122-BJDQI,0.885,1.9781657906963496e-07,congruent
0122-BJDQI,0.89,7.200717060487868e-07,congruent
0122-BJDQI,0.895,1.0861300941793247e-06,congruent
0122-BJDQI,0.9,1.1128956128106325e-06,congruent
0122-BJDQI,0.905,9.503631317340281e-07,congruent
0122-BJDQI,0.91,8.452356876479373e-07,congruent
0122-BJDQI,0.915,8.395724466499035e-07,congruent
0122-BJDQI,0.92,7.966540220933029e-07,congruent
0122-BJDQI,0.925,6.344863455765997e-07,congruent
0122-BJDQI,0.93,4.113023067474284e-07,congruent
0122-BJDQI,0.935,2.0771537598712464e-07,congruent
0122-BJDQI,0.94,4.528102647317526e-08,congruent
0122-BJDQI,0.945,-4.349880423890695e-08,congruent
0122-BJDQI,0.95,1.7716452159019537e-08,congruent
0122-BJDQI,0.955,2.3734434957028053e-07,congruent
0122-BJDQI,0.96,4.722639819564479e-07,congruent
0122-BJDQI,0.965,5.46786159210224e-07,congruent
0122-BJDQI,0.97,4.30839063617274e-07,congruent
0122-BJDQI,0.975,2.1600101171166558e-07,congruent
0122-BJDQI,0.98,-5.991860452294352e-08,congruent
0122-BJDQI,0.985,-4.436041709838483e-07,congruent
0122-BJDQI,0.99,-8.86092881023255e-07,congruent
0122-BJDQI,0.995,-1.1638776903484386e-06,congruent
0122-BJDQI,1.0,-1.084164651428047e-06,congruent
