subject,time,evoked,condition
0122-BJDQI,-0.2,-8.717994214422445e-07,incongruent
0122-BJDQI,-0.195,-8.491566615345878e-07,incongruent
0122-BJDQI,-0.19,-7.691683302823571e-07,incongruent
0122-BJDQI,-0.185,-6.907481027373089e-07,incongruent
0122-BJDQI,-0.18,-4.622536242561246e-07,incongruent
0122-BJDQI,-0.175,-2.5146569248714753e-08,incongruent
0122-BJDQI,-0.17,3.460742289584816e-07,incongruent
0122-BJDQI,-0.165,3.0015295650970777e-07,incongruent
0122-BJDQI,-0.16,-1.1958845765264528e-07,incongruent
0122-BJDQI,-0.155,-4.5739237541733793e-07,incongruent
0122-BJDQI,-0.15,-3.896593104351076e-07,incongruent
0122-BJDQI,-0.145,-1.4355498314017898e-07,incongruent
0122-BJDQI,-0.14,-2.1944497336379848e-07,incongruent
0122-BJDQI,-0.135,-7.375245632536077e-07,incongruent
0122-BJDQI,-0.13,-1.237505187871454e-06,incongruent
0122-BJDQI,-0.125,-1.2029711022986326e-06,incongruent
0122-BJDQI,-0.12,-6.564844605124721e-07,incongruent
0122-BJDQI,-0.115,-1.2115878623335604e-07,incongruent
0122-BJDQI,-0.11,-2.3148811520868426e-08,incongruent
0122-BJDQI,-0.105,-2.3263264768380385e-07,incongruent
0122-BJDQI,-0.1,-2.6476794129782483e-07,incongruent
0122-BJDQI,-0.095,1.0425441171013454e-07,incongruent
0122-BJDQI,-0.09,5.309446971330022e-07,incongruent
0122-BJDQI,-0.085,4.830753880088318e-07,incongruent
0122-BJDQI,-0.08,-1.0566639572356928e-07,incongruent
0122-BJDQI,-0.075,-6.766152083505821e-07,incongruent
0122-BJDQI,-0.07,-6.153780346920328e-07,incongruent
0122-BJDQI,-0.065,7.466955333033287e-08,incongruent
0122-BJDQI,-0.06,7.788450203782751e-07,incongruent
0122-BJDQI,-0.055,9.485858585699857e-07,incongruent
0122-BJDQI,-0.05,6.382741336034789e-07,incongruent
0122-BJDQI,-0.045,3.1687597089300117e-07,incongruent
0122-BJDQI,-0.04,2.971567102172687e-07,incongruent
0122-BJDQI,-0.035,5.072148221828195e-07,incongruent
0122-BJDQI,-0.03,7.204804186511179e-07,incongruent
0122-BJDQI,-0.025,8.008861385676155e-07,incongruent
0122-BJDQI,-0.02,7.259920629363577e-07,incongruent
0122-BJDQI,-0.015,5.599772539566006e-07,incongruent
0122-BJDQI,-0.01,4.979909911496667e-07,incongruent
0122-BJDQI,-0.005,7.88574085679413e-07,incongruent
0122-BJDQI,0.0,1.451741223412448e-06,incongruent
0122-BJDQI,0.005,2.132754119954623e-06,incongruent
0122-BJDQI,0.01,2.385548393516757e-06,incongruent
0122-BJDQI,0.015,2.1292522999382156e-06,incongruent
0122-BJDQI,0.02,1.7172320815501497e-06,incongruent
0122-BJDQI,0.025,1.5446642541756686e-06,incongruent
0122-BJDQI,0.03,1.684577686045173e-06,incongruent
0122-BJDQI,0.035,1.9251514388869744e-06,incongruent
0122-BJDQI,0.04,2.038690729388148e-06,incongruent
0122-BJDQI,0.045,1.9442048636123124e-06,incongruent
0122-BJDQI,0.05,1.6988926032166722e-06,incongruent
0122-BJDQI,0.055,1.4275101025944286e-06,incongruent
0122-BJDQI,0.06,1.2643257528962434e-06,incongruent
0122-BJDQI,0.065,1.2837299386215946e-06,incongruent
0122-BJDQI,0.07,1.417414485347171e-06,incongruent
0122-BJDQI,0.075,1.4776217865125073e-06,incongruent
0122-BJDQI,0.08,1.3330573109008182e-06,incongruent
0122-BJDQI,0.085,1.0836137488432586e-06,incongruent
0122-BJDQI,0.09,1.0223697806949336e-06,incongruent
0122-BJDQI,0.095,1.3693134786070037e-06,incongruent
