subject,time,evoked,condition
0127-jpjw9,-0.2,-4.1855912622676524e-07,congruent
0127-jpjw9,-0.195,-2.0545486670582821e-07,congruent
0127-jpjw9,-0.19,-5.57094681811645e-08,congruent
0127-jpjw9,-0.185,-3.808985598507082e-09,congruent
0127-jpjw9,-0.18,-5.619014977532477e-09,congruent
0127-jpjw9,-0.175,-1.1596245252747358e-08,congruent
0127-jpjw9,-0.17,-1.7102401314259317e-08,congruent
0127-jpjw9,-0.165,-1.289003602611208e-09,congruent
0127-jpjw9,-0.16,1.1183854648341673e-07,congruent
0127-jpjw9,-0.155,3.451017645075166e-07,congruent
0127-jpjw9,-0.15,5.53828177077604e-07,congruent
0127-jpjw9,-0.145,5.425012094560047e-07,congruent
0127-jpjw9,-0.14,3.2157064053799793e-07,congruent
0127-jpjw9,-0.135,1.3816274714630525e-07,congruent
0127-jpjw9,-0.13,1.8155650568430788e-07,congruent
0127-jpjw9,-0.125,3.4045292029830993e-07,congruent
0127-jpjw9,-0.12,3.529873672297126e-07,congruent
0127-jpjw9,-0.115,1.442576403964748e-07,congruent
0127-jpjw9,-0.11,-1.0907652770546454e-07,congruent
0127-jpjw9,-0.105,-2.4448305221963886e-07,congruent
0127-jpjw9,-0.1,-3.11352362107045e-07,congruent
0127-jpjw9,-0.095,-4.3858824841459045e-07,congruent
0127-jpjw9,-0.09,-6.000831150474931e-07,congruent
0127-jpjw9,-0.085,-6.190670462718559e-07,congruent
0127-jpjw9,-0.08,-3.8923818342670236e-07,congruent
0127-jpjw9,-0.075,-1.378296835463744e-08,congruent
0127-jpjw9,-0.07,2.8467053092053924e-07,congruent
0127-jpjw9,-0.065,3.412573435924226e-07,congruent
0127-jpjw9,-0.06,1.4107372292604885e-07,congruent
0127-jpjw9,-0.055,-1.8993118019085783e-07,congruent
0127-jpjw9,-0.05,-4.509022267891189e-07,congruent
0127-jpjw9,-0.045,-4.854579378649951e-07,congruent
0127-jpjw9,-0.04,-3.0314405134224364e-07,congruent
0127-jpjw9,-0.035,-6.699072548228569e-08,congruent
0127-jpjw9,-0.03,8.358142520147273e-08,congruent
0127-jpjw9,-0.025,1.7394374694121633e-07,congruent
0127-jpjw9,-0.02,2.988760013788649e-07,congruent
0127-jpjw9,-0.015,4.139595240886403e-07,congruent
0127-jpjw9,-0.01,3.409486353305212e-07,congruent
0127-jpjw9,-0.005,4.064376085643599e-08,congruent
0127-jpjw9,0.0,-2.099754621280865e-07,congruent
0127-jpjw9,0.005,-5.039325265724901e-08,congruent
0127-jpjw9,0.01,5.565266595089973e-07,congruent
0127-jpjw9,0.015,1.25702192205273e-06,congruent
0127-jpjw9,0.02,1.6733146090205305e-06,congruent
0127-jpjw9,0.025,1.740806251638416e-06,congruent
0127-jpjw9,0.03,1.6297671500216638e-06,congruent
0127-jpjw9,0.035,1.4519758069712505e-06,congruent
0127-jpjw9,0.04,1.1832319582824612e-06,congruent
0127-jpjw9,0.045,8.409405196023085e-07,congruent
0127-jpjw9,0.05,5.708011360558168e-07,congruent
0127-jpjw9,0.055,4.826377826186707e-07,congruent
0127-jpjw9,0.06,4.974505011512912e-07,congruent
0127-jpjw9,0.065,4.4056030780018686e-07,congruent
0127-jpjw9,0.07,2.516440570207004e-07,congruent
0127-jpjw9,0.075,3.0732364062059514e-08,congruent
0127-jpjw9,0.08,-9.494105948127219e-08,congruent
0127-jpjw9,0.085,-7.96241493852092e-08,congruent
0127-jpjw9,0.09,5.141189263960559e-08,congruent
0127-jpjw9,0.095,2.503297027771153e-07,congruent
0127-jpjw9,0.1,4.728599684090863e-07,congruent
0127-jpjw9,0.105,7.036891855965127e-07,congruent
0127-jpjw9,0.11,9.627193913169062e-07,congruent
0127-jpjw9,0.115,1.2425224094717237e-06,congruent
0127-jpjw9,0.12,1.4440363341892786e-06,congruent
0127-jpjw9,0.125,1.4386305924376798e-06,congruent
0127-jpjw9,0.13,1.223073682152613e-06,congruent
0127-jpjw9,0.135,9.59895941622625e-07,congruent
0127-jpjw9,0.14,8.287906827464969e-07,congruent
0127-jpjw9,0.145,8.764196903864493e-07,congruent
0127-jpjw9,0.15,1.0461688172628393e-06,congruent
0127-jpjw9,0.155,1.3016549655718541e-06,congruent
0127-jpjw9,0.16,1.6473972087368644e-06,congruent
0127-jpjw9,0.165,2.057122633182516e-06,congruent
0127-jpjw9,0.17,2.468876303619762e-06,congruent
0127-jpjw9,0.175,2.868722872785149e-06,congruent
