subject,time,evoked,condition
0127-jpjw9,-0.2,-4.39000750191376e-07,incongruent
0127-jpjw9,-0.195,-4.852945146319982e-07,incongruent
0127-jpjw9,-0.19,-3.773324273043772e-07,incongruent
0127-jpjw9,-0.185,-2.5390774780660513e-07,incongruent
0127-jpjw9,-0.18,-2.580166755456756e-07,incongruent
0127-jpjw9,-0.175,-3.201496683624663e-07,incongruent
0127-jpjw9,-0.17,-2.517864080173418e-07,incongruent
0127-jpjw9,-0.165,-2.212216312353927e-08,incongruent
0127-jpjw9,-0.16,2.077397770376214e-07,incongruent
0127-jpjw9,-0.155,3.4826861518429604e-07,incongruent
0127-jpjw9,-0.15,5.25244710692459e-07,incongruent
0127-jpjw9,-0.145,8.590855111289251e-07,incongruent
0127-jpjw9,-0.14,1.2049617928288959e-06,incongruent
0127-jpjw9,-0.135,1.2572852969719553e-06,incongruent
0127-jpjw9,-0.13,9.085369118414779e-07,incongruent
0127-jpjw9,-0.125,3.8471717574423945e-07,incongruent
0127-jpjw9,-0.12,-4.1577570106897115e-09,incongruent
0127-jpjw9,-0.115,-1.6466591955888292e-07,incongruent
0127-jpjw9,-0.11,-2.2093071411443159e-07,incongruent
0127-jpjw9,-0.105,-2.9194141678881585e-07,incongruent
0127-jpjw9,-0.1,-3.661859656488504e-07,incongruent
0127-jpjw9,-0.095,-3.788056359214879e-07,incongruent
0127-jpjw9,-0.09,-3.178435839489599e-07,incongruent
0127-jpjw9,-0.085,-2.1206778544523485e-07,incongruent
0127-jpjw9,-0.08,-7.668498283998438e-08,incongruent
0127-jpjw9,-0.075,6.416044782531692e-08,incongruent
0127-jpjw9,-0.07,1.3006333361505255e-07,incongruent
0127-jpjw9,-0.065,3.954998705187032e-08,incongruent
0127-jpjw9,-0.06,-1.7351737184693077e-07,incongruent
0127-jpjw9,-0.055,-3.578664841720245e-07,incongruent
0127-jpjw9,-0.05,-3.933481457593406e-07,incongruent
0127-jpjw9,-0.045,-3.026385105101037e-07,incongruent
0127-jpjw9,-0.04,-1.7751027486704799e-07,incongruent
0127-jpjw9,-0.035,-4.446190931996296e-08,incongruent
0127-jpjw9,-0.03,1.1702297139172668e-07,incongruent
0127-jpjw9,-0.025,2.4431322114701525e-07,incongruent
0127-jpjw9,-0.02,1.9954883482581246e-07,incongruent
0127-jpjw9,-0.015,-3.455553432051117e-08,incongruent
0127-jpjw9,-0.01,-2.580786350410698e-07,incongruent
0127-jpjw9,-0.005,-2.553474990907832e-07,incongruent
0127-jpjw9,0.0,-5.228009151749834e-08,incongruent
0127-jpjw9,0.005,1.3707167151303496e-07,incongruent
0127-jpjw9,0.01,2.072385666220259e-07,incongruent
0127-jpjw9,0.015,2.7510426078325646e-07,incongruent
0127-jpjw9,0.02,4.553861890238489e-07,incongruent
0127-jpjw9,0.025,6.601083030294058e-07,incongruent
0127-jpjw9,0.03,7.335072051977655e-07,incongruent
0127-jpjw9,0.035,7.019497645429797e-07,incongruent
0127-jpjw9,0.04,7.303699532444434e-07,incongruent
0127-jpjw9,0.045,8.44725166850446e-07,incongruent
0127-jpjw9,0.05,8.659864967719602e-07,incongruent
0127-jpjw9,0.055,6.748958384903222e-07,incongruent
0127-jpjw9,0.06,4.010210838709528e-07,incongruent
0127-jpjw9,0.065,2.394087412578943e-07,incongruent
0127-jpjw9,0.07,1.8202452312145386e-07,incongruent
0127-jpjw9,0.075,7.655185769771366e-08,incongruent
0127-jpjw9,0.08,-1.0116770961161707e-07,incongruent
0127-jpjw9,0.085,-1.988626963452855e-07,incongruent
0127-jpjw9,0.09,-1.2496538030139805e-07,incongruent
0127-jpjw9,0.095,2.950912028250466e-08,incongruent
0127-jpjw9,0.1,1.707312791425436e-07,incongruent
0127-jpjw9,0.105,3.673585023152643e-07,incongruent
0127-jpjw9,0.11,7.115415655442322e-07,incongruent
0127-jpjw9,0.115,1.0839096628300654e-06,incongruent
0127-jpjw9,0.12,1.2036856175049767e-06,incongruent
0127-jpjw9,0.125,9.211605647941894e-07,incongruent
0127-jpjw9,0.13,3.751957803065102e-07,incongruent
0127-jpjw9,0.135,-1.414300582563694e-07,incongruent
0127-jpjw9,0.14,-4.0449924328914895e-07,incongruent
0127-jpjw9,0.145,-3.521764094737505e-07,incongruent
0127-jpjw9,0.15,-6.754963726542687e-08,incongruent
0127-jpjw9,0.155,2.8583070233686825e-07,incongruent
0127-jpjw9,0.16,5.869048600704198e-07,incongruent
0127-jpjw9,0.165,8.628616807544616e-07,incongruent
0127-jpjw9,0.17,1.2319595425013611e-06,incongruent
0127-jpjw9,0.175,1.723345287965841e-06,incongruent
0127-jpjw9,0.18,2.2251747115371707e-06,incongruent
0127-jpjw9,0.185,2.6517278832611064e-06,incongruent
0127-jpjw9,0.19,3.075282817350502e-06,incongruent
0127-jpjw9,0.195,3.5878322530252206e-06,incongruent
0127-jpjw9,0.2,4.088303621516882e-06,incongruent
0127-jpjw9,0.205,4.339717695472809e-06,incongruent
0127-jpjw9,0.21,4.259047654962704e-06,incongruent
0127-jpjw9,0.215,4.047593091080712e-06,incongruent
0127-jpjw9,0.22,3.9738839428891e-06,incongruent
0127-jpjw9,0.225,4.071772116682351e-06,incongruent
0127-jpjw9,0.23,4.112503640638577e-06,incongruent
0127-jpjw9,0.235,3.870021833846895e-06,incongruent
0127-jpjw9,0.24,3.3830459886659623e-06,incongruent
0127-jpjw9,0.245,2.949119257073463e-06,incongruent
0127-jpjw9,0.25,2.852325103570943e-06,incongruent
0127-jpjw9,0.255,3.0807591659569586e-06,incongruent
0127-jpjw9,0.26,3.3252679664447984e-06,incongruent
0127-jpjw9,0.265,3.297473258605337e-06,incongruent
0127-jpjw9,0.27,3.032632159469747e-06,incongruent
0127-jpjw9,0.275,2.8130351092087028e-06,incongruent
0127-jpjw9,0.28,2.8068435697307005e-06,incongruent
0127-jpjw9,0.285,2.8900400516389453e-06,incongruent
0127-jpjw9,0.29,2.8741067108073466e-06,incongruent
0127-jpjw9,0.295,2.807011191320895e-06,incongruent
0127-jpjw9,0.3,2.9133503936032428e-06,incongruent
0127-jpjw9,0.305,3.2674876093461518e-06,incongruent
0127-jpjw9,0.31,3.6678775697379994e-06,incongruent
0127-jpjw9,0.315,3.880550197919138e-06,incongruent
0127-jpjw9,0.32,3.9057526381112225e-06,incongruent
0127-jpjw9,0.325,3.918149803530217e-06,incongruent
0127-jpjw9,0.33,3.998526228043393e-06,incongruent
0127-jpjw9,0.335,4.037263103943142e-06,incongruent
0127-jpjw9,0.34,3.916461999588547e-06,incongruent
0127-jpjw9,0.345,3.69700209005073e-06,incongruent
0127-jpjw9,0.35,3.565700919825837e-06,incongruent
0127-jpjw9,0.355,3.626939234420084e-06,incongruent
0127-jpjw9,0.36,3.8035978271302814e-06,incongruent
0127-jpjw9,0.365,3.950271787492365e-06,incongruent
0127-jpjw9,0.37,4.007509205529784e-06,incongruent
0127-jpjw9,0.375,4.009813935064537e-06,incongruent
0127-jpjw9,0.38,3.986282476910409e-06,incongruent
0127-jpjw9,0.385,3.929128941610083e-06,incongruent
0127-jpjw9,0.39,3.855335303668181e-06,incongruent
0127-jpjw9,0.395,3.814846175159103e-06,incongruent
0127-jpjw9,0.4,3.7869052801725133e-06,incongruent
0127-jpjw9,0.405,3.6478669017501484e-06,incongruent
0127-jpjw9,0.41,3.340007541067241e-06,incongruent
0127-jpjw9,0.415,3.0209142143832433e-06,incongruent
0127-jpjw9,0.42,2.905486145825831e-06,incongruent
0127-jpjw9,0.425,2.9517175468362595e-06,incongruent
0127-jpjw9,0.43,2.8653351893638586e-06,incongruent
0127-jpjw9,0.435,2.5022676906224897e-06,incongruent
0127-jpjw9,0.44,2.129050270937489e-06,incongruent
0127-jpjw9,0.445,2.1091630908215794e-06,incongruent
0127-jpjw9,0.45,2.4047547558053663e-06,incongruent
0127-jpjw9,0.455,2.6076554610775215e-06,incongruent
0127-jpjw9,0.46,2.494168733837041e-06,incongruent
0127-jpjw9,0.465,2.3288056150100587e-06,incongruent
0127-jpjw9,0.47,2.4694966732005337e-06,incongruent
0127-jpjw9,0.475,2.833516901471304e-06,incongruent
0127-jpjw9,0.48,2.986936451829588e-06,incongruent
0127-jpjw9,0.485,2.7253095559714778e-06,incongruent
0127-jpjw9,0.49,2.325906767417603e-06,incongruent
0127-jpjw9,0.495,2.1388229057396035e-06,incongruent
0127-jpjw9,0.5,2.1259746752252106e-06,incongruent
0127-jpjw9,0.505,1.9829271168996144e-06,incongruent
0127-jpjw9,0.51,1.617191586187803e-06,incongruent
0127-jpjw9,0.515,1.2872897941397058e-06,incongruent
0127-jpjw9,0.52,1.2504009214074027e-06,incongruent
0127-jpjw9,0.525,1.451983485224043e-06,incongruent
0127-jpjw9,0.53,1.656059040979483e-06,incongruent
0127-jpjw9,0.535,1.7552429147528397e-06,incongruent
0127-jpjw9,0.54,1.8131568892452163e-06,incongruent
0127-jpjw9,0.545,1.8613945070773048e-06,incongruent
0127-jpjw9,0.55,1.8320698005915565e-06,incongruent
