subject,time,evoked,condition
0128-HBQT4,-0.2,4.7452900385861653e-07,congruent
0128-HBQT4,-0.195,4.6611536413915376e-07,congruent
0128-HBQT4,-0.19,4.62326298454196e-07,congruent
0128-HBQT4,-0.185,5.728304036125262e-07,congruent
0128-HBQT4,-0.18,7.501980476666787e-07,congruent
0128-HBQT4,-0.175,8.348604909476457e-07,congruent
0128-HBQT4,-0.17,7.567212137840649e-07,congruent
0128-HBQT4,-0.165,6.214837492533865e-07,congruent
0128-HBQT4,-0.16,5.707344480773589e-07,congruent
0128-HBQT4,-0.155,6.171052477774445e-07,congruent
0128-HBQT4,-0.15,6.69078604050508e-07,congruent
0128-HBQT4,-0.145,6.741072068415666e-07,congruent
0128-HBQT4,-0.14,6.614504986019186e-07,congruent
0128-HBQT4,-0.135,6.523915896421612e-07,congruent
0128-HBQT4,-0.13,6.098134952491993e-07,congruent
0128-HBQT4,-0.125,4.983629309728491e-07,congruent
0128-HBQT4,-0.12,3.3372635004797897e-07,congruent
0128-HBQT4,-0.115,1.353681389695355e-07,congruent
0128-HBQT4,-0.11,-1.085126670439807e-07,congruent
0128-HBQT4,-0.105,-3.676177479509251e-07,congruent
0128-HBQT4,-0.1,-5.156184164044316e-07,congruent
0128-HBQT4,-0.095,-4.517931797543118e-07,congruent
0128-HBQT4,-0.09,-2.7208186306166656e-07,congruent
0128-HBQT4,-0.085,-2.127551945210569e-07,congruent
0128-HBQT4,-0.08,-3.752470634876723e-07,congruent
0128-HBQT4,-0.075,-5.875736223313004e-07,congruent
0128-HBQT4,-0.07,-6.139167034320442e-07,congruent
0128-HBQT4,-0.065,-4.527837115991235e-07,congruent
0128-HBQT4,-0.06,-3.336909845764311e-07,congruent
0128-HBQT4,-0.055,-4.279460402065947e-07,congruent
0128-HBQT4,-0.05,-6.608209077368293e-07,congruent
0128-HBQT4,-0.045,-8.36308530068618e-07,congruent
0128-HBQT4,-0.04,-8.624536600186533e-07,congruent
0128-HBQT4,-0.035,-7.933861884200238e-07,congruent
0128-HBQT4,-0.03,-7.086815111420973e-07,congruent
0128-HBQT4,-0.025,-6.350490464710865e-07,congruent
0128-HBQT4,-0.02,-5.663679084941583e-07,congruent
0128-HBQT4,-0.015,-4.779866908781282e-07,congruent
0128-HBQT4,-0.01,-3.1579329536121173e-07,congruent
0128-HBQT4,-0.005,-4.61620417566734e-08,congruent
0128-HBQT4,0.0,2.613439952271726e-07,congruent
0128-HBQT4,0.005,4.6792782064196904e-07,congruent
0128-HBQT4,0.01,5.297952415315153e-07,congruent
0128-HBQT4,0.015,5.74032508731006e-07,congruent
0128-HBQT4,0.02,7.437187187557183e-07,congruent
0128-HBQT4,0.025,9.929387582104538e-07,congruent
0128-HBQT4,0.03,1.1122696007375588e-06,congruent
0128-HBQT4,0.035,9.635613192785086e-07,congruent
0128-HBQT4,0.04,6.282626440708983e-07,congruent
0128-HBQT4,0.045,3.1049648090074264e-07,congruent
0128-HBQT4,0.05,1.5349296101849947e-07,congruent
0128-HBQT4,0.055,1.7552854816077046e-07,congruent
0128-HBQT4,0.06,3.178115889514317e-07,congruent
0128-HBQT4,0.065,4.899519656353058e-07,congruent
0128-HBQT4,0.07,6.048377745833378e-07,congruent
0128-HBQT4,0.075,6.469190773495105e-07,congruent
0128-HBQT4,0.08,7.110087672356915e-07,congruent
0128-HBQT4,0.085,9.153902976356523e-07,congruent
0128-HBQT4,0.09,1.2593148886715218e-06,congruent
0128-HBQT4,0.095,1.6075654130262886e-06,congruent
0128-HBQT4,0.1,1.825304458972244e-06,congruent
0128-HBQT4,0.105,1.8848187562591612e-06,congruent
0128-HBQT4,0.11,1.8337215603177805e-06,congruent
0128-HBQT4,0.115,1.7199098236500472e-06,congruent
0128-HBQT4,0.12,1.5873620903065297e-06,congruent
0128-HBQT4,0.125,1.4882416347581773e-06,congruent
0128-HBQT4,0.13,1.4260211217298297e-06,congruent
0128-HBQT4,0.135,1.3077632955391735e-06,congruent
0128-HBQT4,0.14,1.0307166600388079e-06,congruent
0128-HBQT4,0.145,6.2883170459514e-07,congruent
0128-HBQT4,0.15,2.7435242792075354e-07,congruent
0128-HBQT4,0.155,1.1549330856848969e-07,congruent
0128-HBQT4,0.16,1.6164534673343095e-07,congruent
0128-HBQT4,0.165,3.445323152069434e-07,congruent
0128-HBQT4,0.17,6.262291690990489e-07,congruent
0128-HBQT4,0.175,9.953134257082353e-07,congruent
0128-HBQT4,0.18,1.406754746156331e-06,congruent
0128-HBQT4,0.185,1.8047805145821913e-06,congruent
0128-HBQT4,0.19,2.1988979153115243e-06,congruent
0128-HBQT4,0.195,2.644399011055815e-06,congruent
0128-HBQT4,0.2,3.1290585547774696e-06,congruent
0128-HBQT4,0.205,3.5312301155451494e-06,congruent
0128-HBQT4,0.21,3.7200891692898506e-06,congruent
0128-HBQT4,0.215,3.668201187303517e-06,congruent
0128-HBQT4,0.22,3.4502263539946185e-06,congruent
0128-HBQT4,0.225,3.1686199717195136e-06,congruent
0128-HBQT4,0.23,2.907988189370527e-06,congruent
0128-HBQT4,0.235,2.719990410941718e-06,congruent
0128-HBQT4,0.24,2.603013763670472e-06,congruent
0128-HBQT4,0.245,2.509746045573086e-06,congruent
0128-HBQT4,0.25,2.4186534757800857e-06,congruent
0128-HBQT4,0.255,2.3856721684669758e-06,congruent
0128-HBQT4,0.26,2.48150326210983e-06,congruent
0128-HBQT4,0.265,2.688948619782228e-06,congruent
0128-HBQT4,0.27,2.918892977171459e-06,congruent
0128-HBQT4,0.275,3.133589396513222e-06,congruent
0128-HBQT4,0.28,3.3842969469656566e-06,congruent
0128-HBQT4,0.285,3.6859720153068425e-06,congruent
0128-HBQT4,0.29,3.918977447968745e-06,congruent
0128-HBQT4,0.295,3.93754179776019e-06,congruent
0128-HBQT4,0.3,3.764845105205823e-06,congruent
0128-HBQT4,0.305,3.6002607522286163e-06,congruent
0128-HBQT4,0.31,3.6012515583288944e-06,congruent
0128-HBQT4,0.315,3.713040628196961e-06,congruent
0128-HBQT4,0.32,3.75854840238782e-06,congruent
0128-HBQT4,0.325,3.654604945862275e-06,congruent
0128-HBQT4,0.33,3.4783311745237387e-06,congruent
0128-HBQT4,0.335,3.333093667602082e-06,congruent
0128-HBQT4,0.34,3.2192760047656873e-06,congruent
