subject,time,evoked,condition
0128-HBQT4,-0.2,2.4479909619921648e-08,incongruent
0128-HBQT4,-0.195,1.3847133819523848e-07,incongruent
0128-HBQT4,-0.19,3.1937517663378607e-07,incongruent
0128-HBQT4,-0.185,3.97248858672583e-07,incongruent
0128-HBQT4,-0.18,3.190272009880124e-07,incongruent
0128-HBQT4,-0.175,1.9430519883314925e-07,incongruent
0128-HBQT4,-0.17,1.3397191853658438e-07,incongruent
0128-HBQT4,-0.165,1.255312098410225e-07,incongruent
0128-HBQT4,-0.16,9.87523225960386e-08,incongruent
0128-HBQT4,-0.155,4.027081171493132e-08,incongruent
0128-HBQT4,-0.15,-1.917871859936164e-08,incongruent
0128-HBQT4,-0.145,-7.148219349446087e-08,incongruent
0128-HBQT4,-0.14,-1.0775242600733253e-07,incongruent
0128-HBQT4,-0.135,-6.854212908652842e-08,incongruent
0128-HBQT4,-0.13,8.739665221999114e-08,incongruent
0128-HBQT4,-0.125,2.719331277968329e-07,incongruent
0128-HBQT4,-0.12,3.221820884830526e-07,incongruent
0128-HBQT4,-0.115,1.9328464809053217e-07,incongruent
0128-HBQT4,-0.11,1.930792583291461e-08,incongruent
0128-HBQT4,-0.105,-5.69192807908032e-08,incongruent
0128-HBQT4,-0.1,-4.9996970365395645e-08,incongruent
0128-HBQT4,-0.095,-7.787817408334737e-08,incongruent
0128-HBQT4,-0.09,-1.9558247905665888e-07,incongruent
0128-HBQT4,-0.085,-3.4949663236478105e-07,incongruent
0128-HBQT4,-0.08,-4.600308901277247e-07,incongruent
0128-HBQT4,-0.075,-4.748090458270915e-07,incongruent
0128-HBQT4,-0.07,-3.6395750720003545e-07,incongruent
0128-HBQT4,-0.065,-1.5190616673108565e-07,incongruent
0128-HBQT4,-0.06,3.806311057461843e-08,incongruent
0128-HBQT4,-0.055,6.020003114205444e-08,incongruent
0128-HBQT4,-0.05,-9.430486576331537e-08,incongruent
0128-HBQT4,-0.045,-2.6982619402366503e-07,incongruent
0128-HBQT4,-0.04,-3.169872971207073e-07,incongruent
0128-HBQT4,-0.035,-2.412057479176435e-07,incongruent
0128-HBQT4,-0.03,-1.3810767217207968e-07,incongruent
0128-HBQT4,-0.025,-4.169752080523519e-08,incongruent
0128-HBQT4,-0.02,7.975723575597248e-08,incongruent
0128-HBQT4,-0.015,2.0527800349472114e-07,incongruent
0128-HBQT4,-0.01,2.438595788935172e-07,incongruent
0128-HBQT4,-0.005,1.6472486221672213e-07,incongruent
0128-HBQT4,0.0,7.224070437025405e-08,incongruent
0128-HBQT4,0.005,1.020476145131277e-07,incongruent
0128-HBQT4,0.01,2.780999491358265e-07,incongruent
0128-HBQT4,0.015,5.075407963047498e-07,incongruent
0128-HBQT4,0.02,6.830338264211572e-07,incongruent
0128-HBQT4,0.025,7.542225250087566e-07,incongruent
0128-HBQT4,0.03,7.323836127986522e-07,incongruent
0128-HBQT4,0.035,6.784735031258006e-07,incongruent
0128-HBQT4,0.04,6.739930764917795e-07,incongruent
0128-HBQT4,0.045,7.533363936141617e-07,incongruent
0128-HBQT4,0.05,8.57576167459425e-07,incongruent
0128-HBQT4,0.055,8.887931812221451e-07,incongruent
0128-HBQT4,0.06,8.115451105105191e-07,incongruent
0128-HBQT4,0.065,6.681755517804766e-07,incongruent
0128-HBQT4,0.07,5.099045728794252e-07,incongruent
0128-HBQT4,0.075,3.728564926514803e-07,incongruent
0128-HBQT4,0.08,3.233751001011689e-07,incongruent
0128-HBQT4,0.085,4.4358070972811273e-07,incongruent
0128-HBQT4,0.09,7.192600920473944e-07,incongruent
0128-HBQT4,0.095,1.002988898249336e-06,incongruent
0128-HBQT4,0.1,1.1575781239242403e-06,incongruent
0128-HBQT4,0.105,1.2023068658834968e-06,incongruent
0128-HBQT4,0.11,1.2434740549857148e-06,incongruent
0128-HBQT4,0.115,1.2825805578347193e-06,incongruent
0128-HBQT4,0.12,1.1966984021482863e-06,incongruent
0128-HBQT4,0.125,9.363935078588476e-07,incongruent
0128-HBQT4,0.13,6.380169426156182e-07,incongruent
0128-HBQT4,0.135,4.620975374776769e-07,incongruent
0128-HBQT4,0.14,3.826826531336426e-07,incongruent
