subject,time,evoked,condition
0130-TTVK4,-0.2,4.1657292181662e-07,congruent
0130-TTVK4,-0.195,4.978314381406757e-07,congruent
0130-TTVK4,-0.19,5.785270602205509e-07,congruent
0130-TTVK4,-0.185,6.195732586259416e-07,congruent
0130-TTVK4,-0.18,6.222155666435536e-07,congruent
0130-TTVK4,-0.175,6.164004948093727e-07,congruent
0130-TTVK4,-0.17,6.169419104848995e-07,congruent
0130-TTVK4,-0.165,6.031574769198124e-07,congruent
0130-TTVK4,-0.16,5.454997371723538e-07,congruent
0130-TTVK4,-0.155,4.4554192033824125e-07,congruent
0130-TTVK4,-0.15,3.4006030564029866e-07,congruent
0130-TTVK4,-0.145,2.6765168642420587e-07,congruent
0130-TTVK4,-0.14,2.446130483537382e-07,congruent
0130-TTVK4,-0.135,2.7614000867113783e-07,congruent
0130-TTVK4,-0.13,3.675632753012155e-07,congruent
0130-TTVK4,-0.125,4.986023030161399e-07,congruent
0130-TTVK4,-0.12,5.98051316045899e-07,congruent
0130-TTVK4,-0.115,5.832335929822201e-07,congruent
0130-TTVK4,-0.11,4.401749402618088e-07,congruent
0130-TTVK4,-0.105,2.3956537993262413e-07,congruent
0130-TTVK4,-0.1,5.242481430208837e-08,congruent
0130-TTVK4,-0.095,-1.2890447029774337e-07,congruent
0130-TTVK4,-0.09,-3.5689977353125096e-07,congruent
0130-TTVK4,-0.085,-6.318053456981762e-07,congruent
0130-TTVK4,-0.08,-8.81256078736571e-07,congruent
0130-TTVK4,-0.075,-1.0395573110874424e-06,congruent
0130-TTVK4,-0.07,-1.106151497780654e-06,congruent
0130-TTVK4,-0.065,-1.1090624221766377e-06,congruent
0130-TTVK4,-0.06,-1.047797297034064e-06,congruent
0130-TTVK4,-0.055,-9.11546450457616e-07,congruent
0130-TTVK4,-0.05,-7.336538718946726e-07,congruent
0130-TTVK4,-0.045,-5.811891725047168e-07,congruent
0130-TTVK4,-0.04,-4.841873309581974e-07,congruent
0130-TTVK4,-0.035,-4.0676648377738586e-07,congruent
0130-TTVK4,-0.03,-3.0065973385554455e-07,congruent
0130-TTVK4,-0.025,-1.6479800676990156e-07,congruent
0130-TTVK4,-0.02,-3.762716479327399e-08,congruent
0130-TTVK4,-0.015,5.09074122642151e-08,congruent
0130-TTVK4,-0.01,1.0217388794393023e-07,congruent
0130-TTVK4,-0.005,1.3482494627111397e-07,congruent
0130-TTVK4,0.0,1.6361374705343225e-07,congruent
0130-TTVK4,0.005,1.852204369848869e-07,congruent
0130-TTVK4,0.01,1.7381516863405292e-07,congruent
0130-TTVK4,0.015,1.0379757202407879e-07,congruent
0130-TTVK4,0.02,-3.9825854336303995e-09,congruent
0130-TTVK4,0.025,-6.914656069691857e-08,congruent
0130-TTVK4,0.03,-1.530220824066196e-08,congruent
0130-TTVK4,0.035,1.4497006678392114e-07,congruent
0130-TTVK4,0.04,3.0988765258789866e-07,congruent
0130-TTVK4,0.045,3.8660164225451827e-07,congruent
0130-TTVK4,0.05,3.7612716627540277e-07,congruent
0130-TTVK4,0.055,3.497617615082346e-07,congruent
0130-TTVK4,0.06,3.500218606762337e-07,congruent
0130-TTVK4,0.065,3.275973037354753e-07,congruent
0130-TTVK4,0.07,1.7458686056358893e-07,congruent
0130-TTVK4,0.075,-1.8173517537494822e-07,congruent
0130-TTVK4,0.08,-7.042696537735726e-07,congruent
0130-TTVK4,0.085,-1.2542137575153668e-06,congruent
0130-TTVK4,0.09,-1.6895915502692255e-06,congruent
0130-TTVK4,0.095,-1.9808571393273838e-06,congruent
0130-TTVK4,0.1,-2.224050668745873e-06,congruent
0130-TTVK4,0.105,-2.5073320667298944e-06,congruent
0130-TTVK4,0.11,-2.7573638549634394e-06,congruent
0130-TTVK4,0.115,-2.7525016985155973e-06,congruent
0130-TTVK4,0.12,-2.319933323669309e-06,congruent
0130-TTVK4,0.125,-1.5121952397291354e-06,congruent
0130-TTVK4,0.13,-5.660213810568845e-07,congruent
0130-TTVK4,0.135,3.0574327762090624e-07,congruent
0130-TTVK4,0.14,1.047838933991222e-06,congruent
0130-TTVK4,0.145,1.6888907108022366e-06,congruent
0130-TTVK4,0.15,2.1899011530523143e-06,congruent
0130-TTVK4,0.155,2.4293763251630894e-06,congruent
0130-TTVK4,0.16,2.342056192904501e-06,congruent
0130-TTVK4,0.165,2.020941492376192e-06,congruent
0130-TTVK4,0.17,1.6429737864413143e-06,congruent
0130-TTVK4,0.175,1.3106008517649845e-06,congruent
0130-TTVK4,0.18,1.0053574366362061e-06,congruent
0130-TTVK4,0.185,6.931822975053602e-07,congruent
0130-TTVK4,0.19,4.1864975739485253e-07,congruent
0130-TTVK4,0.195,2.5564802460388364e-07,congruent
0130-TTVK4,0.2,1.9304663663209288e-07,congruent
0130-TTVK4,0.205,1.2626507658346113e-07,congruent
0130-TTVK4,0.21,-3.070922554776086e-08,congruent
0130-TTVK4,0.215,-2.6321317819831193e-07,congruent
0130-TTVK4,0.22,-4.995494038500328e-07,congruent
0130-TTVK4,0.225,-6.943181978657491e-07,congruent
0130-TTVK4,0.23,-8.335463366179809e-07,congruent
0130-TTVK4,0.235,-8.860038636785457e-07,congruent
0130-TTVK4,0.24,-8.068275540133284e-07,congruent
0130-TTVK4,0.245,-6.021265063591653e-07,congruent
