subject,time,evoked,condition
0130-TTVK4,-0.2,7.302674525360627e-07,incongruent
0130-TTVK4,-0.195,6.25105750385024e-07,incongruent
0130-TTVK4,-0.19,5.086192277169101e-07,incongruent
0130-TTVK4,-0.185,4.694692967074257e-07,incongruent
0130-TTVK4,-0.18,4.755754669172937e-07,incongruent
0130-TTVK4,-0.175,4.3495395849338465e-07,incongruent
0130-TTVK4,-0.17,3.191173388855477e-07,incongruent
0130-TTVK4,-0.165,1.9461629688357963e-07,incongruent
0130-TTVK4,-0.16,1.4256926162224497e-07,incongruent
0130-TTVK4,-0.155,1.7133505626328953e-07,incongruent
0130-TTVK4,-0.15,2.1168225560279624e-07,incongruent
0130-TTVK4,-0.145,1.8733167231072297e-07,incongruent
0130-TTVK4,-0.14,9.416281102404565e-08,incongruent
0130-TTVK4,-0.135,1.6451914508093653e-08,incongruent
0130-TTVK4,-0.13,5.1917009338889465e-08,incongruent
0130-TTVK4,-0.125,2.0189647528176927e-07,incongruent
0130-TTVK4,-0.12,3.474907938385949e-07,incongruent
0130-TTVK4,-0.115,3.5964910898108577e-07,incongruent
0130-TTVK4,-0.11,2.2575616013155115e-07,incongruent
0130-TTVK4,-0.105,4.7516760480563234e-08,incongruent
0130-TTVK4,-0.1,-8.518251712524221e-08,incongruent
0130-TTVK4,-0.095,-1.7639042814398988e-07,incongruent
0130-TTVK4,-0.09,-2.6886456316014e-07,incongruent
0130-TTVK4,-0.085,-3.5567602550418456e-07,incongruent
0130-TTVK4,-0.08,-3.973114829048993e-07,incongruent
0130-TTVK4,-0.075,-4.0465955390274505e-07,incongruent
0130-TTVK4,-0.07,-4.389305279133611e-07,incongruent
0130-TTVK4,-0.065,-5.140072053133028e-07,incongruent
0130-TTVK4,-0.06,-5.528593094383195e-07,incongruent
0130-TTVK4,-0.055,-4.847619942476921e-07,incongruent
0130-TTVK4,-0.05,-3.4938571392403327e-07,incongruent
0130-TTVK4,-0.045,-2.552978388605292e-07,incongruent
0130-TTVK4,-0.04,-2.4466794327209243e-07,incongruent
0130-TTVK4,-0.035,-2.571400620650372e-07,incongruent
0130-TTVK4,-0.03,-2.3367626827617626e-07,incongruent
0130-TTVK4,-0.025,-1.972158962458e-07,incongruent
0130-TTVK4,-0.02,-1.9232610461008853e-07,incongruent
0130-TTVK4,-0.015,-1.9538135608811466e-07,incongruent
0130-TTVK4,-0.01,-1.4634470381373652e-07,incongruent
0130-TTVK4,-0.005,-5.505716599783914e-08,incongruent
0130-TTVK4,0.0,-1.0347414583638872e-08,incongruent
0130-TTVK4,0.005,-6.653193405861742e-08,incongruent
0130-TTVK4,0.01,-1.708835681768148e-07,incongruent
0130-TTVK4,0.015,-2.360125441548402e-07,incongruent
0130-TTVK4,0.02,-2.453148348435532e-07,incongruent
0130-TTVK4,0.025,-2.391918730298026e-07,incongruent
0130-TTVK4,0.03,-2.2486110097620988e-07,incongruent
0130-TTVK4,0.035,-1.585553902084713e-07,incongruent
0130-TTVK4,0.04,-2.6442281190724185e-08,incongruent
0130-TTVK4,0.045,1.0777115693866057e-07,incongruent
0130-TTVK4,0.05,1.6763974240252e-07,incongruent
0130-TTVK4,0.055,1.4781174952311901e-07,incongruent
0130-TTVK4,0.06,1.0003522856826187e-07,incongruent
0130-TTVK4,0.065,5.026646107571638e-08,incongruent
0130-TTVK4,0.07,-2.977476487278047e-08,incongruent
0130-TTVK4,0.075,-1.7148106987371653e-07,incongruent
0130-TTVK4,0.08,-3.6341442811666065e-07,incongruent
0130-TTVK4,0.085,-5.71485891726974e-07,incongruent
0130-TTVK4,0.09,-7.82365815500738e-07,incongruent
0130-TTVK4,0.095,-1.00614252362728e-06,incongruent
0130-TTVK4,0.1,-1.244333568691563e-06,incongruent
0130-TTVK4,0.105,-1.4701337941939332e-06,incongruent
0130-TTVK4,0.11,-1.632663406141571e-06,incongruent
0130-TTVK4,0.115,-1.664632318655412e-06,incongruent
0130-TTVK4,0.12,-1.495771799349199e-06,incongruent
0130-TTVK4,0.125,-1.0907226454550734e-06,incongruent
0130-TTVK4,0.13,-4.966241043070447e-07,incongruent
0130-TTVK4,0.135,1.5186460808108617e-07,incongruent
0130-TTVK4,0.14,6.981869086950241e-07,incongruent
