subject,time,evoked,condition
0131-8LNQQ,-0.2,5.365774454222435e-07,congruent
0131-8LNQQ,-0.195,2.89203100602976e-07,congruent
0131-8LNQQ,-0.19,2.4128476531768704e-07,congruent
0131-8LNQQ,-0.185,3.4530113909929376e-07,congruent
0131-8LNQQ,-0.18,4.4798708979906685e-07,congruent
0131-8LNQQ,-0.175,4.1134783690992453e-07,congruent
0131-8LNQQ,-0.17,2.7038392575851124e-07,congruent
0131-8LNQQ,-0.165,2.0797130401069744e-07,congruent
0131-8LNQQ,-0.16,3.144331753582651e-07,congruent
0131-8LNQQ,-0.155,4.525537972012128e-07,congruent
0131-8LNQQ,-0.15,4.5292444940438856e-07,congruent
0131-8LNQQ,-0.145,3.6441168474266153e-07,congruent
0131-8LNQQ,-0.14,3.748307771555678e-07,congruent
0131-8LNQQ,-0.135,5.140373010883237e-07,congruent
0131-8LNQQ,-0.13,5.939729046454471e-07,congruent
0131-8LNQQ,-0.125,4.932482888111284e-07,congruent
0131-8LNQQ,-0.12,3.4605211793913905e-07,congruent
0131-8LNQQ,-0.115,3.2826601601451816e-07,congruent
0131-8LNQQ,-0.11,3.54658255021071e-07,congruent
0131-8LNQQ,-0.105,1.735522356520303e-07,congruent
0131-8LNQQ,-0.1,-2.3944361048664165e-07,congruent
0131-8LNQQ,-0.095,-5.667123262629243e-07,congruent
0131-8LNQQ,-0.09,-5.277309173205269e-07,congruent
0131-8LNQQ,-0.085,-2.550585599512588e-07,congruent
0131-8LNQQ,-0.08,-1.4173090459266028e-07,congruent
0131-8LNQQ,-0.075,-3.5096082607621004e-07,congruent
0131-8LNQQ,-0.07,-6.302349926647095e-07,congruent
0131-8LNQQ,-0.065,-6.46002350814399e-07,congruent
0131-8LNQQ,-0.06,-3.778878752796832e-07,congruent
0131-8LNQQ,-0.055,-9.925804030348936e-08,congruent
0131-8LNQQ,-0.05,-5.739936883844035e-08,congruent
0131-8LNQQ,-0.045,-2.785350297119032e-07,congruent
0131-8LNQQ,-0.04,-6.234280729999711e-07,congruent
0131-8LNQQ,-0.035,-8.962856874827509e-07,congruent
0131-8LNQQ,-0.03,-9.104225514194313e-07,congruent
0131-8LNQQ,-0.025,-6.139075746490351e-07,congruent
0131-8LNQQ,-0.02,-2.1053135990287119e-07,congruent
0131-8LNQQ,-0.015,-1.7183434661794004e-08,congruent
0131-8LNQQ,-0.01,-9.612064103069605e-08,congruent
0131-8LNQQ,-0.005,-1.3460554446388712e-07,congruent
0131-8LNQQ,0.0,1.6044204714622498e-07,congruent
0131-8LNQQ,0.005,6.285752388186986e-07,congruent
0131-8LNQQ,0.01,8.107376607005144e-07,congruent
0131-8LNQQ,0.015,5.381743335553856e-07,congruent
0131-8LNQQ,0.02,1.575593064851167e-07,congruent
0131-8LNQQ,0.025,9.161937989316258e-08,congruent
0131-8LNQQ,0.03,3.521452540198762e-07,congruent
0131-8LNQQ,0.035,6.268451187878921e-07,congruent
0131-8LNQQ,0.04,6.997391074253095e-07,congruent
0131-8LNQQ,0.045,5.887922413547729e-07,congruent
0131-8LNQQ,0.05,3.476884422998752e-07,congruent
0131-8LNQQ,0.055,-2.2429107353389656e-08,congruent
0131-8LNQQ,0.06,-4.4597950666111904e-07,congruent
0131-8LNQQ,0.065,-7.760428251558969e-07,congruent
0131-8LNQQ,0.07,-1.0011759237116727e-06,congruent
0131-8LNQQ,0.075,-1.2759396986967968e-06,congruent
0131-8LNQQ,0.08,-1.6483489695167816e-06,congruent
0131-8LNQQ,0.085,-1.928833169407491e-06,congruent
0131-8LNQQ,0.09,-1.9705800233906964e-06,congruent
0131-8LNQQ,0.095,-1.926170026118501e-06,congruent
0131-8LNQQ,0.1,-2.01743805858306e-06,congruent
0131-8LNQQ,0.105,-2.153775363015967e-06,congruent
0131-8LNQQ,0.11,-2.0479532417306055e-06,congruent
0131-8LNQQ,0.115,-1.6860052733887727e-06,congruent
0131-8LNQQ,0.12,-1.4056904220974928e-06,congruent
0131-8LNQQ,0.125,-1.4274066558658133e-06,congruent
0131-8LNQQ,0.13,-1.5634597222325217e-06,congruent
0131-8LNQQ,0.135,-1.553337063503624e-06,congruent
0131-8LNQQ,0.14,-1.4783009766587223e-06,congruent
0131-8LNQQ,0.145,-1.5846423709572895e-06,congruent
0131-8LNQQ,0.15,-1.8123031282310106e-06,congruent
0131-8LNQQ,0.155,-1.811942577983341e-06,congruent
0131-8LNQQ,0.16,-1.458403899132295e-06,congruent
0131-8LNQQ,0.165,-1.0608862928891264e-06,congruent
0131-8LNQQ,0.17,-9.357329958965871e-07,congruent
0131-8LNQQ,0.175,-9.794151956747042e-07,congruent
0131-8LNQQ,0.18,-8.563072907541233e-07,congruent
0131-8LNQQ,0.185,-4.886253186146709e-07,congruent
0131-8LNQQ,0.19,-1.3680600398963372e-07,congruent
0131-8LNQQ,0.195,-9.17864093068959e-09,congruent
0131-8LNQQ,0.2,-1.4351671375226893e-08,congruent
0131-8LNQQ,0.205,3.313930480441307e-08,congruent
0131-8LNQQ,0.21,1.3183468688277124e-07,congruent
