subject,time,evoked,condition
0131-8LNQQ,-0.2,-3.628583101308406e-07,incongruent
0131-8LNQQ,-0.195,-1.5727059332734807e-07,incongruent
0131-8LNQQ,-0.19,2.3975935406206884e-08,incongruent
0131-8LNQQ,-0.185,3.000214273548255e-07,incongruent
0131-8LNQQ,-0.18,5.008742760100737e-07,incongruent
0131-8LNQQ,-0.175,3.869096351163844e-07,incongruent
0131-8LNQQ,-0.17,1.0822055569489782e-07,incongruent
0131-8LNQQ,-0.165,1.0023037766231233e-07,incongruent
0131-8LNQQ,-0.16,4.671140996526167e-07,incongruent
0131-8LNQQ,-0.155,7.622050127909236e-07,incongruent
0131-8LNQQ,-0.15,5.387764975974923e-07,incongruent
0131-8LNQQ,-0.145,-6.62817288352174e-08,incongruent
0131-8LNQQ,-0.14,-4.848423154308073e-07,incongruent
0131-8LNQQ,-0.135,-3.5044784053777277e-07,incongruent
0131-8LNQQ,-0.13,1.7215205565841126e-07,incongruent
0131-8LNQQ,-0.125,6.326959109042206e-07,incongruent
0131-8LNQQ,-0.12,7.378804376853059e-07,incongruent
0131-8LNQQ,-0.115,5.564169378832202e-07,incongruent
0131-8LNQQ,-0.11,3.762940780350448e-07,incongruent
0131-8LNQQ,-0.105,3.626027466995841e-07,incongruent
0131-8LNQQ,-0.1,3.35671896096417e-07,incongruent
0131-8LNQQ,-0.095,-4.711296646090527e-08,incongruent
0131-8LNQQ,-0.09,-8.426605468995504e-07,incongruent
0131-8LNQQ,-0.085,-1.6492206919979022e-06,incongruent
0131-8LNQQ,-0.08,-1.984175527130441e-06,incongruent
0131-8LNQQ,-0.075,-1.7727822477247537e-06,incongruent
0131-8LNQQ,-0.07,-1.3404667313086684e-06,incongruent
0131-8LNQQ,-0.065,-9.923666115404533e-07,incongruent
0131-8LNQQ,-0.06,-7.752744231407017e-07,incongruent
0131-8LNQQ,-0.055,-6.150477440102722e-07,incongruent
0131-8LNQQ,-0.05,-4.737091432297518e-07,incongruent
0131-8LNQQ,-0.045,-2.997699919126696e-07,incongruent
0131-8LNQQ,-0.04,-1.981111543742061e-08,incongruent
0131-8LNQQ,-0.035,2.925622211653805e-07,incongruent
0131-8LNQQ,-0.03,3.948257134150109e-07,incongruent
0131-8LNQQ,-0.025,1.968338791486327e-07,incongruent
0131-8LNQQ,-0.02,7.697755090886149e-09,incongruent
0131-8LNQQ,-0.015,2.5256227404934546e-07,incongruent
0131-8LNQQ,-0.01,9.61246483386666e-07,incongruent
0131-8LNQQ,-0.005,1.703133689560614e-06,incongruent
0131-8LNQQ,0.0,2.0631946735996646e-06,incongruent
0131-8LNQQ,0.005,2.0494835498540493e-06,incongruent
0131-8LNQQ,0.01,1.959459738020383e-06,incongruent
0131-8LNQQ,0.015,1.960218114633902e-06,incongruent
0131-8LNQQ,0.02,1.935306680741452e-06,incongruent
0131-8LNQQ,0.025,1.742461386419231e-06,incongruent
0131-8LNQQ,0.03,1.5188602209790154e-06,incongruent
0131-8LNQQ,0.035,1.6219142653794594e-06,incongruent
0131-8LNQQ,0.04,2.204069602222547e-06,incongruent
0131-8LNQQ,0.045,2.8958319710754604e-06,incongruent
0131-8LNQQ,0.05,3.0762308728170455e-06,incongruent
0131-8LNQQ,0.055,2.5516587915797964e-06,incongruent
0131-8LNQQ,0.06,1.809312882174329e-06,incongruent
0131-8LNQQ,0.065,1.4014463270308075e-06,incongruent
0131-8LNQQ,0.07,1.1874006994471103e-06,incongruent
0131-8LNQQ,0.075,5.253611831873725e-07,incongruent
0131-8LNQQ,0.08,-7.571626320870334e-07,incongruent
0131-8LNQQ,0.085,-1.968521351317897e-06,incongruent
0131-8LNQQ,0.09,-2.36236302322101e-06,incongruent
0131-8LNQQ,0.095,-2.0481304775114697e-06,incongruent
0131-8LNQQ,0.1,-1.7305840538957713e-06,incongruent
0131-8LNQQ,0.105,-1.7365347544829834e-06,incongruent
0131-8LNQQ,0.11,-1.79071207100424e-06,incongruent
0131-8LNQQ,0.115,-1.726689217947339e-06,incongruent
0131-8LNQQ,0.12,-1.8445867287672541e-06,incongruent
0131-8LNQQ,0.125,-2.306869986063701e-06,incongruent
0131-8LNQQ,0.13,-2.6469118198079985e-06,incongruent
0131-8LNQQ,0.135,-2.3553475078195236e-06,incongruent
0131-8LNQQ,0.14,-1.707492396825703e-06,incongruent
0131-8LNQQ,0.145,-1.4588707083600072e-06,incongruent
0131-8LNQQ,0.15,-1.7649664452520393e-06,incongruent
0131-8LNQQ,0.155,-1.9527570061161946e-06,incongruent
0131-8LNQQ,0.16,-1.500710208573193e-06,incongruent
0131-8LNQQ,0.165,-7.55742852074407e-07,incongruent
0131-8LNQQ,0.17,-3.488309009683639e-07,incongruent
0131-8LNQQ,0.175,-2.7124505635620595e-07,incongruent
0131-8LNQQ,0.18,-1.9712893812631778e-08,incongruent
0131-8LNQQ,0.185,5.300403441251915e-07,incongruent
0131-8LNQQ,0.19,9.450616913803904e-07,incongruent
