subject,time,evoked,condition
0131-EOWYL,-0.2,4.380951064675711e-07,congruent
0131-EOWYL,-0.195,4.954516552973103e-07,congruent
0131-EOWYL,-0.19,4.560031081230903e-07,congruent
0131-EOWYL,-0.185,3.277530504923895e-07,congruent
0131-EOWYL,-0.18,3.6249039048070734e-07,congruent
0131-EOWYL,-0.175,6.726458971655275e-07,congruent
0131-EOWYL,-0.17,9.9773986464884e-07,congruent
0131-EOWYL,-0.165,9.780069371398255e-07,congruent
0131-EOWYL,-0.16,5.893611059174846e-07,congruent
0131-EOWYL,-0.155,1.740598436576786e-07,congruent
0131-EOWYL,-0.15,3.562450559183626e-08,congruent
0131-EOWYL,-0.145,1.3821858333289316e-07,congruent
0131-EOWYL,-0.14,2.4989694102269254e-07,congruent
0131-EOWYL,-0.135,2.720397649977095e-07,congruent
0131-EOWYL,-0.13,2.8987592178024993e-07,congruent
0131-EOWYL,-0.125,3.393345764844414e-07,congruent
0131-EOWYL,-0.12,2.84314164140001e-07,congruent
0131-EOWYL,-0.115,5.002317304400823e-09,congruent
0131-EOWYL,-0.11,-3.7616530089929124e-07,congruent
0131-EOWYL,-0.105,-5.728796651300394e-07,congruent
0131-EOWYL,-0.1,-4.4431433427114227e-07,congruent
0131-EOWYL,-0.095,-1.5652369566618e-07,congruent
0131-EOWYL,-0.09,-1.3332915543955396e-08,congruent
0131-EOWYL,-0.085,-1.5513188912523272e-07,congruent
0131-EOWYL,-0.08,-4.4788898991916215e-07,congruent
0131-EOWYL,-0.075,-6.408205791923407e-07,congruent
0131-EOWYL,-0.07,-6.094522871271439e-07,congruent
0131-EOWYL,-0.065,-4.5518888154021967e-07,congruent
0131-EOWYL,-0.06,-3.791314307176891e-07,congruent
0131-EOWYL,-0.055,-4.6665878446824914e-07,congruent
0131-EOWYL,-0.05,-6.080624805489528e-07,congruent
0131-EOWYL,-0.045,-6.452231822984758e-07,congruent
0131-EOWYL,-0.04,-5.596121447963087e-07,congruent
0131-EOWYL,-0.035,-4.532643695849518e-07,congruent
0131-EOWYL,-0.03,-3.655966345999212e-07,congruent
0131-EOWYL,-0.025,-2.113688598475195e-07,congruent
0131-EOWYL,-0.02,4.3163779897296856e-08,congruent
0131-EOWYL,-0.015,2.4065566180381894e-07,congruent
0131-EOWYL,-0.01,2.0189212346191056e-07,congruent
0131-EOWYL,-0.005,8.600243571327376e-09,congruent
0131-EOWYL,0.0,-3.960910171385125e-08,congruent
0131-EOWYL,0.005,2.0721166969678657e-07,congruent
0131-EOWYL,0.01,5.502753012872926e-07,congruent
0131-EOWYL,0.015,7.065792393385056e-07,congruent
0131-EOWYL,0.02,6.611581965914374e-07,congruent
0131-EOWYL,0.025,6.202757483076102e-07,congruent
0131-EOWYL,0.03,6.753414296611512e-07,congruent
0131-EOWYL,0.035,7.061919391528427e-07,congruent
0131-EOWYL,0.04,6.421765333992944e-07,congruent
0131-EOWYL,0.045,6.301809698640305e-07,congruent
0131-EOWYL,0.05,8.112959460774709e-07,congruent
0131-EOWYL,0.055,1.0568879863274623e-06,congruent
0131-EOWYL,0.06,1.118762612132811e-06,congruent
0131-EOWYL,0.065,9.965257982451295e-07,congruent
0131-EOWYL,0.07,9.488443478120092e-07,congruent
0131-EOWYL,0.075,1.0840260275081463e-06,congruent
0131-EOWYL,0.08,1.1172751711859624e-06,congruent
0131-EOWYL,0.085,6.982242388608961e-07,congruent
