subject,time,evoked,condition
0131-EOWYL,-0.2,3.4425783528663047e-07,incongruent
0131-EOWYL,-0.195,1.7762110121143654e-07,incongruent
0131-EOWYL,-0.19,3.4877422501676087e-07,incongruent
0131-EOWYL,-0.185,6.040924332851445e-07,incongruent
0131-EOWYL,-0.18,6.228608550381811e-07,incongruent
0131-EOWYL,-0.175,4.352729103839847e-07,incongruent
0131-EOWYL,-0.17,3.347226334838923e-07,incongruent
0131-EOWYL,-0.165,4.295178662975582e-07,incongruent
0131-EOWYL,-0.16,5.013552210333889e-07,incongruent
0131-EOWYL,-0.155,3.6224753219598024e-07,incongruent
0131-EOWYL,-0.15,1.4899975133128564e-07,incongruent
0131-EOWYL,-0.145,1.2517507067874529e-07,incongruent
0131-EOWYL,-0.14,3.1127700991735417e-07,incongruent
0131-EOWYL,-0.135,4.862599601721306e-07,incongruent
0131-EOWYL,-0.13,5.047684918274662e-07,incongruent
0131-EOWYL,-0.125,4.028924853864416e-07,incongruent
0131-EOWYL,-0.12,2.051001858777054e-07,incongruent
0131-EOWYL,-0.115,-1.3946535849190257e-07,incongruent
0131-EOWYL,-0.11,-5.486731626583378e-07,incongruent
0131-EOWYL,-0.105,-7.462788977244858e-07,incongruent
0131-EOWYL,-0.1,-5.783059626479571e-07,incongruent
0131-EOWYL,-0.095,-2.6596424684789245e-07,incongruent
0131-EOWYL,-0.09,-1.5880271781192542e-07,incongruent
0131-EOWYL,-0.085,-2.85150633535607e-07,incongruent
0131-EOWYL,-0.08,-3.619299819802425e-07,incongruent
0131-EOWYL,-0.075,-2.484369395532893e-07,incongruent
0131-EOWYL,-0.07,-1.6192206557961976e-07,incongruent
0131-EOWYL,-0.065,-3.325893591834785e-07,incongruent
0131-EOWYL,-0.06,-6.181330133444799e-07,incongruent
0131-EOWYL,-0.055,-6.636051903888953e-07,incongruent
0131-EOWYL,-0.05,-3.791093201132341e-07,incongruent
0131-EOWYL,-0.045,-7.064177492840913e-08,incongruent
0131-EOWYL,-0.04,-4.990754857978362e-08,incongruent
0131-EOWYL,-0.035,-2.455225926268594e-07,incongruent
0131-EOWYL,-0.03,-3.160591496556982e-07,incongruent
0131-EOWYL,-0.025,-1.1443670377301704e-07,incongruent
0131-EOWYL,-0.02,1.164122535543473e-07,incongruent
0131-EOWYL,-0.015,7.699662054796675e-08,incongruent
0131-EOWYL,-0.01,-1.5400919164622917e-07,incongruent
0131-EOWYL,-0.005,-1.9770316881410603e-07,incongruent
0131-EOWYL,0.0,9.80425263388497e-08,incongruent
0131-EOWYL,0.005,4.002666438557105e-07,incongruent
0131-EOWYL,0.01,3.31107402755933e-07,incongruent
0131-EOWYL,0.015,3.638788751419018e-08,incongruent
0131-EOWYL,0.02,3.625001950190206e-08,incongruent
0131-EOWYL,0.025,4.925002925690721e-07,incongruent
0131-EOWYL,0.03,9.327965629841084e-07,incongruent
0131-EOWYL,0.035,8.877939238103342e-07,incongruent
0131-EOWYL,0.04,5.678213390352944e-07,incongruent
0131-EOWYL,0.045,5.647585659334045e-07,incongruent
0131-EOWYL,0.05,9.997718431153023e-07,incongruent
0131-EOWYL,0.055,1.3541899510060518e-06,incongruent
0131-EOWYL,0.06,1.239842807185444e-06,incongruent
0131-EOWYL,0.065,9.627638090803271e-07,incongruent
0131-EOWYL,0.07,1.0325701504818012e-06,incongruent
0131-EOWYL,0.075,1.3648742792149103e-06,incongruent
0131-EOWYL,0.08,1.3681097882688913e-06,incongruent
0131-EOWYL,0.085,7.671103454867336e-07,incongruent
0131-EOWYL,0.09,-5.699531177610074e-08,incongruent
0131-EOWYL,0.095,-6.555342359131544e-07,incongruent
0131-EOWYL,0.1,-1.0904647164596635e-06,incongruent
