subject,time,evoked,condition
0131-Y15CB,-0.2,2.1191614653345736e-07,congruent
0131-Y15CB,-0.195,8.123455094356546e-08,congruent
0131-Y15CB,-0.19,2.1228211843821522e-08,congruent
0131-Y15CB,-0.185,2.3815004821176194e-08,congruent
0131-Y15CB,-0.18,-2.411858214085666e-08,congruent
0131-Y15CB,-0.175,-1.5806730868719824e-07,congruent
0131-Y15CB,-0.17,-2.648049338535538e-07,congruent
0131-Y15CB,-0.165,-2.4169342067626587e-07,congruent
0131-Y15CB,-0.16,-1.523929735697867e-07,congruent
0131-Y15CB,-0.155,-1.401785952681351e-07,congruent
0131-Y15CB,-0.15,-2.164590508765757e-07,congruent
0131-Y15CB,-0.145,-2.39970260809049e-07,congruent
0131-Y15CB,-0.14,-1.181841001435223e-07,congruent
0131-Y15CB,-0.135,6.221179399596154e-08,congruent
0131-Y15CB,-0.13,1.5504151887525814e-07,congruent
0131-Y15CB,-0.125,1.3921873688205256e-07,congruent
0131-Y15CB,-0.12,1.1472321260363635e-07,congruent
0131-Y15CB,-0.115,1.5644883069147306e-07,congruent
0131-Y15CB,-0.11,2.563765413696014e-07,congruent
0131-Y15CB,-0.105,3.897533159040929e-07,congruent
0131-Y15CB,-0.1,5.461021959297184e-07,congruent
0131-Y15CB,-0.095,6.712030662258419e-07,congruent
0131-Y15CB,-0.09,6.620287452899205e-07,congruent
0131-Y15CB,-0.085,4.768752436919486e-07,congruent
0131-Y15CB,-0.08,2.11913808768663e-07,congruent
0131-Y15CB,-0.075,2.3053020087809055e-08,congruent
0131-Y15CB,-0.07,-1.1040807719147808e-08,congruent
0131-Y15CB,-0.065,7.403940763655116e-08,congruent
0131-Y15CB,-0.06,1.836114937769366e-07,congruent
0131-Y15CB,-0.055,2.148821523056455e-07,congruent
0131-Y15CB,-0.05,9.553033482655659e-08,congruent
0131-Y15CB,-0.045,-1.539399721584971e-07,congruent
0131-Y15CB,-0.04,-4.1017323295763184e-07,congruent
0131-Y15CB,-0.035,-5.605486977555059e-07,congruent
0131-Y15CB,-0.03,-6.164704105605043e-07,congruent
0131-Y15CB,-0.025,-6.519251249864259e-07,congruent
0131-Y15CB,-0.02,-6.429452653233637e-07,congruent
0131-Y15CB,-0.015,-4.754098632030607e-07,congruent
0131-Y15CB,-0.01,-1.4612438515996158e-07,congruent
0131-Y15CB,-0.005,1.6092946171803764e-07,congruent
0131-Y15CB,0.0,2.923101774277579e-07,congruent
0131-Y15CB,0.005,3.42701458091139e-07,congruent
0131-Y15CB,0.01,5.30413370705483e-07,congruent
0131-Y15CB,0.015,8.92157961121302e-07,congruent
0131-Y15CB,0.02,1.2407929366829343e-06,congruent
0131-Y15CB,0.025,1.4401328192657603e-06,congruent
0131-Y15CB,0.03,1.5749872483676194e-06,congruent
0131-Y15CB,0.035,1.7702287189975829e-06,congruent
0131-Y15CB,0.04,1.9581153179292175e-06,congruent
0131-Y15CB,0.045,1.9499481999151566e-06,congruent
0131-Y15CB,0.05,1.6886878508029358e-06,congruent
0131-Y15CB,0.055,1.3058845624803951e-06,congruent
0131-Y15CB,0.06,9.469595494052757e-07,congruent
0131-Y15CB,0.065,6.658512428144518e-07,congruent
0131-Y15CB,0.07,4.910774713137953e-07,congruent
0131-Y15CB,0.075,4.4503018436996704e-07,congruent
0131-Y15CB,0.08,4.294644011010031e-07,congruent
0131-Y15CB,0.085,2.2901789664845273e-07,congruent
0131-Y15CB,0.09,-2.2289457514685294e-07,congruent
0131-Y15CB,0.095,-6.3372613420439e-07,congruent
0131-Y15CB,0.1,-5.733182528057654e-07,congruent
0131-Y15CB,0.105,5.593346383726237e-08,congruent
0131-Y15CB,0.11,8.779429057704738e-07,congruent
0131-Y15CB,0.115,1.421868911103785e-06,congruent
0131-Y15CB,0.12,1.5563860916509811e-06,congruent
0131-Y15CB,0.125,1.4830905847610743e-06,congruent
0131-Y15CB,0.13,1.3998035855156602e-06,congruent
0131-Y15CB,0.135,1.311555918781998e-06,congruent
0131-Y15CB,0.14,1.154151653015157e-06,congruent
0131-Y15CB,0.145,9.53860595390527e-07,congruent
0131-Y15CB,0.15,7.945360289899289e-07,congruent
