subject,time,evoked,condition
0131-Y15CB,-0.2,1.640969353474097e-07,incongruent
0131-Y15CB,-0.195,-1.1135502273196502e-08,incongruent
0131-Y15CB,-0.19,1.0326589076575226e-08,incongruent
0131-Y15CB,-0.185,1.6627705441675237e-07,incongruent
0131-Y15CB,-0.18,2.5062494765421823e-07,incongruent
0131-Y15CB,-0.175,1.9063045740057768e-07,incongruent
0131-Y15CB,-0.17,9.903954782862675e-08,incongruent
0131-Y15CB,-0.165,8.925622746214677e-08,incongruent
0131-Y15CB,-0.16,1.4871331783123838e-07,incongruent
0131-Y15CB,-0.155,1.929975659914522e-07,incongruent
0131-Y15CB,-0.15,1.5238550634412347e-07,incongruent
0131-Y15CB,-0.145,-3.753472670344762e-09,incongruent
0131-Y15CB,-0.14,-2.3375157198162452e-07,incongruent
0131-Y15CB,-0.135,-3.951614096380233e-07,incongruent
0131-Y15CB,-0.13,-3.5131438274437356e-07,incongruent
0131-Y15CB,-0.125,-1.4678937428543336e-07,incongruent
0131-Y15CB,-0.12,1.4756446387901047e-08,incongruent
0131-Y15CB,-0.115,3.248343951213411e-08,incongruent
0131-Y15CB,-0.11,4.980106839857023e-08,incongruent
0131-Y15CB,-0.105,2.3861209351870314e-07,incongruent
0131-Y15CB,-0.1,5.196475083936142e-07,incongruent
0131-Y15CB,-0.095,6.437892018214337e-07,incongruent
0131-Y15CB,-0.09,5.262981560597853e-07,incongruent
0131-Y15CB,-0.085,3.477570865048264e-07,incongruent
0131-Y15CB,-0.08,2.932148907251565e-07,incongruent
0131-Y15CB,-0.075,3.343214100643757e-07,incongruent
0131-Y15CB,-0.07,3.492077536011746e-07,incongruent
0131-Y15CB,-0.065,3.415118403808292e-07,incongruent
0131-Y15CB,-0.06,4.122066856112222e-07,incongruent
0131-Y15CB,-0.055,5.447019830077442e-07,incongruent
0131-Y15CB,-0.05,5.472344366703282e-07,incongruent
0131-Y15CB,-0.045,2.5000055635475036e-07,incongruent
0131-Y15CB,-0.04,-2.862807753123843e-07,incongruent
0131-Y15CB,-0.035,-7.969480532243533e-07,incongruent
0131-Y15CB,-0.03,-1.0380296899586506e-06,incongruent
0131-Y15CB,-0.025,-9.821798887371164e-07,incongruent
0131-Y15CB,-0.02,-8.057534064337364e-07,incongruent
0131-Y15CB,-0.015,-6.839883534813905e-07,incongruent
0131-Y15CB,-0.01,-6.082049386153547e-07,incongruent
0131-Y15CB,-0.005,-4.381422487724326e-07,incongruent
0131-Y15CB,0.0,-1.28459604923657e-07,incongruent
0131-Y15CB,0.005,1.7954049993465415e-07,incongruent
0131-Y15CB,0.01,3.4847615970445925e-07,incongruent
0131-Y15CB,0.015,4.5354788426638443e-07,incongruent
0131-Y15CB,0.02,6.931618845359437e-07,incongruent
0131-Y15CB,0.025,1.1120174391156053e-06,incongruent
0131-Y15CB,0.03,1.5277344567690456e-06,incongruent
0131-Y15CB,0.035,1.765804440376546e-06,incongruent
0131-Y15CB,0.04,1.845250263995141e-06,incongruent
0131-Y15CB,0.045,1.8596645821205326e-06,incongruent
0131-Y15CB,0.05,1.7768063548027541e-06,incongruent
0131-Y15CB,0.055,1.4959720185249545e-06,incongruent
0131-Y15CB,0.06,1.0748318145349297e-06,incongruent
0131-Y15CB,0.065,7.465574748210401e-07,incongruent
0131-Y15CB,0.07,6.475378659155163e-07,incongruent
0131-Y15CB,0.075,6.097877135872993e-07,incongruent
0131-Y15CB,0.08,3.203900110434946e-07,incongruent
0131-Y15CB,0.085,-3.041158424612379e-07,incongruent
0131-Y15CB,0.09,-9.574103896060525e-07,incongruent
0131-Y15CB,0.095,-1.1796392420598936e-06,incongruent
0131-Y15CB,0.1,-7.684186663360645e-07,incongruent
0131-Y15CB,0.105,3.210838351423872e-08,incongruent
0131-Y15CB,0.11,7.381535389595659e-07,incongruent
0131-Y15CB,0.115,1.0243983237308821e-06,incongruent
0131-Y15CB,0.12,9.394396726638527e-07,incongruent
0131-Y15CB,0.125,7.679294922916413e-07,incongruent
0131-Y15CB,0.13,7.204119964043723e-07,incongruent
0131-Y15CB,0.135,7.724397942627106e-07,incongruent
0131-Y15CB,0.14,7.643065251104658e-07,incongruent
0131-Y15CB,0.145,6.029377209783605e-07,incongruent
0131-Y15CB,0.15,3.677763543625334e-07,incongruent
0131-Y15CB,0.155,2.553556588223396e-07,incongruent
0131-Y15CB,0.16,4.0909721793179966e-07,incongruent
0131-Y15CB,0.165,7.674827639029503e-07,incongruent
0131-Y15CB,0.17,1.1045290668207008e-06,incongruent
0131-Y15CB,0.175,1.2907247456972776e-06,incongruent
0131-Y15CB,0.18,1.5014872709066672e-06,incongruent
0131-Y15CB,0.185,2.0622008295236153e-06,incongruent
0131-Y15CB,0.19,3.037929027020975e-06,incongruent
0131-Y15CB,0.195,4.076379151383789e-06,incongruent
0131-Y15CB,0.2,4.763647917803137e-06,incongruent
0131-Y15CB,0.205,5.08554322326022e-06,incongruent
0131-Y15CB,0.21,5.392416148709468e-06,incongruent
0131-Y15CB,0.215,5.910133112513495e-06,incongruent
0131-Y15CB,0.22,6.4408585233233904e-06,incongruent
0131-Y15CB,0.225,6.632984860083698e-06,incongruent
0131-Y15CB,0.23,6.436019230808588e-06,incongruent
0131-Y15CB,0.235,6.1310459909710365e-06,incongruent
0131-Y15CB,0.24,5.935426021041691e-06,incongruent
0131-Y15CB,0.245,5.7517691246037405e-06,incongruent
0131-Y15CB,0.25,5.3926787554720525e-06,incongruent
0131-Y15CB,0.255,4.933263103419861e-06,incongruent
