subject,time,evoked,condition
0203-2VZRC,-0.2,2.828348221850865e-07,congruent
0203-2VZRC,-0.195,3.4489054898513335e-07,congruent
0203-2VZRC,-0.19,3.857221861435319e-07,congruent
0203-2VZRC,-0.185,4.0240334227033597e-07,congruent
0203-2VZRC,-0.18,4.088281280676495e-07,congruent
0203-2VZRC,-0.175,4.117171626871944e-07,congruent
0203-2VZRC,-0.17,3.9885264637482173e-07,congruent
0203-2VZRC,-0.165,3.6447719111447896e-07,congruent
0203-2VZRC,-0.16,3.30968748800221e-07,congruent
0203-2VZRC,-0.155,3.240995970237742e-07,congruent
0203-2VZRC,-0.15,3.349374059847419e-07,congruent
0203-2VZRC,-0.145,3.30249754444755e-07,congruent
0203-2VZRC,-0.14,2.981172798711025e-07,congruent
0203-2VZRC,-0.135,2.5914836778984583e-07,congruent
0203-2VZRC,-0.13,2.330615321404456e-07,congruent
0203-2VZRC,-0.125,2.178940734017361e-07,congruent
0203-2VZRC,-0.12,2.0908300392842906e-07,congruent
0203-2VZRC,-0.115,2.1488156968400878e-07,congruent
0203-2VZRC,-0.11,2.3708043150596929e-07,congruent
0203-2VZRC,-0.105,2.5537606793007826e-07,congruent
0203-2VZRC,-0.1,2.4899238441495914e-07,congruent
0203-2VZRC,-0.095,2.2008873719392158e-07,congruent
0203-2VZRC,-0.09,1.774859032844565e-07,congruent
0203-2VZRC,-0.085,1.1004692452554083e-07,congruent
0203-2VZRC,-0.08,1.6230882023953619e-09,congruent
0203-2VZRC,-0.075,-1.318444241615825e-07,congruent
0203-2VZRC,-0.07,-2.5223928591674253e-07,congruent
0203-2VZRC,-0.065,-3.539347634005991e-07,congruent
0203-2VZRC,-0.06,-4.777354597448726e-07,congruent
0203-2VZRC,-0.055,-6.465119547221929e-07,congruent
0203-2VZRC,-0.05,-8.056271705357165e-07,congruent
0203-2VZRC,-0.045,-8.620075386344225e-07,congruent
0203-2VZRC,-0.04,-7.822774840294652e-07,congruent
0203-2VZRC,-0.035,-6.268850111310525e-07,congruent
0203-2VZRC,-0.03,-4.826522081145787e-07,congruent
0203-2VZRC,-0.025,-3.857964544989406e-07,congruent
0203-2VZRC,-0.02,-3.20775254560398e-07,congruent
0203-2VZRC,-0.015,-2.694901110255231e-07,congruent
0203-2VZRC,-0.01,-2.3237064162728783e-07,congruent
0203-2VZRC,-0.005,-2.0544082199318476e-07,congruent
0203-2VZRC,0.0,-1.672723087867628e-07,congruent
0203-2VZRC,0.005,-1.0007867746836364e-07,congruent
0203-2VZRC,0.01,-9.32959917387904e-09,congruent
0203-2VZRC,0.015,8.324379594510873e-08,congruent
0203-2VZRC,0.02,1.530275686550133e-07,congruent
0203-2VZRC,0.025,1.782555747637521e-07,congruent
0203-2VZRC,0.03,1.529847069944399e-07,congruent
0203-2VZRC,0.035,1.0872745989829545e-07,congruent
0203-2VZRC,0.04,1.0788287452224679e-07,congruent
0203-2VZRC,0.045,1.8939940443327665e-07,congruent
