subject,time,evoked,condition
0203-2VZRC,-0.2,2.8933886541261484e-08,incongruent
0203-2VZRC,-0.195,-5.003044682878875e-09,incongruent
0203-2VZRC,-0.19,-7.284890334166691e-08,incongruent
0203-2VZRC,-0.185,-1.345567100680832e-07,incongruent
0203-2VZRC,-0.18,-1.5831416566045842e-07,incongruent
0203-2VZRC,-0.175,-1.395144714001877e-07,incongruent
0203-2VZRC,-0.17,-8.823854246182287e-08,incongruent
0203-2VZRC,-0.165,-1.79197931944633e-08,incongruent
0203-2VZRC,-0.16,4.829623420590502e-08,incongruent
0203-2VZRC,-0.155,8.050864764665304e-08,incongruent
0203-2VZRC,-0.15,6.478633187053294e-08,incongruent
0203-2VZRC,-0.145,1.732326791447726e-08,incongruent
0203-2VZRC,-0.14,-2.9224797476077813e-08,incongruent
0203-2VZRC,-0.135,-4.8688876461493137e-08,incongruent
0203-2VZRC,-0.13,-3.396614180541768e-08,incongruent
0203-2VZRC,-0.125,-2.951904370535537e-10,incongruent
0203-2VZRC,-0.12,2.09005317351162e-08,incongruent
0203-2VZRC,-0.115,7.665952994661043e-09,incongruent
0203-2VZRC,-0.11,-2.5524055476513007e-08,incongruent
0203-2VZRC,-0.105,-4.0629179336821805e-08,incongruent
0203-2VZRC,-0.1,-2.4830407337498774e-08,incongruent
0203-2VZRC,-0.095,-4.611914559674669e-09,incongruent
0203-2VZRC,-0.09,4.060035084995844e-09,incongruent
0203-2VZRC,-0.085,2.864059813156083e-08,incongruent
0203-2VZRC,-0.08,9.099766878912087e-08,incongruent
0203-2VZRC,-0.075,1.494519230246793e-07,incongruent
0203-2VZRC,-0.07,1.4021057218379974e-07,incongruent
0203-2VZRC,-0.065,7.074599929181779e-08,incongruent
0203-2VZRC,-0.06,1.5741386995550155e-08,incongruent
0203-2VZRC,-0.055,1.0328111356061143e-08,incongruent
0203-2VZRC,-0.05,4.325428049920801e-09,incongruent
0203-2VZRC,-0.045,-4.4467972484677284e-08,incongruent
0203-2VZRC,-0.04,-8.390690277142276e-08,incongruent
0203-2VZRC,-0.035,-3.9626392149361945e-08,incongruent
0203-2VZRC,-0.03,5.580825677255556e-08,incongruent
0203-2VZRC,-0.025,9.110990330044497e-08,incongruent
0203-2VZRC,-0.02,3.4628989646805454e-08,incongruent
0203-2VZRC,-0.015,-2.0771251806585865e-08,incongruent
0203-2VZRC,-0.01,-6.785006923187308e-11,incongruent
0203-2VZRC,-0.005,4.163742647819355e-08,incongruent
0203-2VZRC,0.0,6.905409164808305e-09,incongruent
0203-2VZRC,0.005,-9.214606645198493e-08,incongruent
0203-2VZRC,0.01,-1.4523319116383866e-07,incongruent
0203-2VZRC,0.015,-9.49241459551227e-08,incongruent
0203-2VZRC,0.02,-9.198949499269249e-10,incongruent
0203-2VZRC,0.025,5.955283964582873e-08,incongruent
0203-2VZRC,0.03,8.328536726213976e-08,incongruent
0203-2VZRC,0.035,9.87433025393429e-08,incongruent
0203-2VZRC,0.04,9.259782882871847e-08,incongruent
0203-2VZRC,0.045,3.947909372368805e-08,incongruent
0203-2VZRC,0.05,-2.6960470259276592e-08,incongruent
0203-2VZRC,0.055,-3.888862204318572e-08,incongruent
0203-2VZRC,0.06,1.1679534720413165e-08,incongruent
0203-2VZRC,0.065,5.65397745762872e-08,incongruent
0203-2VZRC,0.07,4.201528419585259e-08,incongruent
0203-2VZRC,0.075,-5.396619104239615e-09,incongruent
0203-2VZRC,0.08,-2.6361693096412635e-08,incongruent
0203-2VZRC,0.085,-9.350826850358405e-09,incongruent
0203-2VZRC,0.09,1.3628179448738487e-08,incongruent
0203-2VZRC,0.095,3.313769839683178e-08,incongruent
0203-2VZRC,0.1,7.57481708847535e-08,incongruent
0203-2VZRC,0.105,1.470238457649331e-07,incongruent
0203-2VZRC,0.11,2.022292188351385e-07,incongruent
0203-2VZRC,0.115,1.9603103574784664e-07,incongruent
0203-2VZRC,0.12,1.376322126475504e-07,incongruent
0203-2VZRC,0.125,7.634815971967613e-08,incongruent
0203-2VZRC,0.13,4.6635337744077295e-08,incongruent
0203-2VZRC,0.135,4.8298924382711684e-08,incongruent
0203-2VZRC,0.14,7.206708976248417e-08,incongruent
0203-2VZRC,0.145,1.1216264123881562e-07,incongruent
0203-2VZRC,0.15,1.4368808119275046e-07,incongruent
0203-2VZRC,0.155,1.2008952428706056e-07,incongruent
0203-2VZRC,0.16,2.601184602209901e-08,incongruent
0203-2VZRC,0.165,-7.957931817691883e-08,incongruent
0203-2VZRC,0.17,-1.0902335961086157e-07,incongruent
0203-2VZRC,0.175,-4.165688902710173e-08,incongruent
0203-2VZRC,0.18,4.882849915371916e-08,incongruent
0203-2VZRC,0.185,7.368252062512285e-08,incongruent
0203-2VZRC,0.19,2.1394168298686178e-08,incongruent
0203-2VZRC,0.195,-4.25089045682726e-08,incongruent
0203-2VZRC,0.2,-5.388161709623523e-08,incongruent
0203-2VZRC,0.205,-4.852928493904356e-09,incongruent
0203-2VZRC,0.21,7.161768379560239e-08,incongruent
0203-2VZRC,0.215,1.393317759309602e-07,incongruent
0203-2VZRC,0.22,1.7030317319803588e-07,incongruent
0203-2VZRC,0.225,1.474702982572189e-07,incongruent
0203-2VZRC,0.23,8.169596237113502e-08,incongruent
0203-2VZRC,0.235,1.653804737484593e-08,incongruent
0203-2VZRC,0.24,-4.518791867080813e-09,incongruent
0203-2VZRC,0.245,2.2891323184197548e-08,incongruent
0203-2VZRC,0.25,6.756494402144638e-08,incongruent
0203-2VZRC,0.255,1.0049397601359353e-07,incongruent
0203-2VZRC,0.26,1.1776544348573545e-07,incongruent
0203-2VZRC,0.265,1.2925856814065445e-07,incongruent
0203-2VZRC,0.27,1.3821642393606495e-07,incongruent
0203-2VZRC,0.275,1.375968808934192e-07,incongruent
0203-2VZRC,0.28,1.1702500703250784e-07,incongruent
0203-2VZRC,0.285,7.007952842062186e-08,incongruent
0203-2VZRC,0.29,8.090822309174402e-09,incongruent
0203-2VZRC,0.295,-3.3814312438567966e-08,incongruent
0203-2VZRC,0.3,-2.7980007206663293e-08,incongruent
0203-2VZRC,0.305,7.786599520691618e-10,incongruent
0203-2VZRC,0.31,-1.1929467891635401e-08,incongruent
0203-2VZRC,0.315,-9.27184654530124e-08,incongruent
0203-2VZRC,0.32,-1.8419827441073044e-07,incongruent
0203-2VZRC,0.325,-2.0311031099599455e-07,incongruent
0203-2VZRC,0.33,-1.387602537283641e-07,incongruent
0203-2VZRC,0.335,-6.36609592976253e-08,incongruent
0203-2VZRC,0.34,-4.160396954554456e-08,incongruent
0203-2VZRC,0.345,-5.696361122977427e-08,incongruent
0203-2VZRC,0.35,-5.6392619758247035e-08,incongruent
0203-2VZRC,0.355,-2.981311231177108e-08,incongruent
0203-2VZRC,0.36,-1.1925967557209116e-08,incongruent
0203-2VZRC,0.365,-1.5771530140554235e-08,incongruent
0203-2VZRC,0.37,-8.424413657642798e-09,incongruent
0203-2VZRC,0.375,3.885382981839874e-08,incongruent
0203-2VZRC,0.38,1.0540703549837454e-07,incongruent
0203-2VZRC,0.385,1.430897749563455e-07,incongruent
0203-2VZRC,0.39,1.2844309263423312e-07,incongruent
0203-2VZRC,0.395,7.688364338169427e-08,incongruent
0203-2VZRC,0.4,1.7607550802534915e-08,incongruent
0203-2VZRC,0.405,-2.3993572743958384e-08,incongruent
0203-2VZRC,0.41,-2.7242518784740506e-08,incongruent
0203-2VZRC,0.415,1.1375184120829525e-08,incongruent
0203-2VZRC,0.42,5.9458003282113706e-08,incongruent
0203-2VZRC,0.425,6.700288241672249e-08,incongruent
0203-2VZRC,0.43,1.9263179147748413e-08,incongruent
0203-2VZRC,0.435,-4.3012334246244954e-08,incongruent
0203-2VZRC,0.44,-6.631906302171654e-08,incongruent
0203-2VZRC,0.445,-3.780206452382926e-08,incongruent
0203-2VZRC,0.45,1.1778507389991337e-08,incongruent
0203-2VZRC,0.455,4.582894177902813e-08,incongruent
0203-2VZRC,0.46,5.112207549819165e-08,incongruent
0203-2VZRC,0.465,3.781309657791897e-08,incongruent
0203-2VZRC,0.47,2.6731269220514846e-08,incongruent
