subject,time,evoked,condition
0203-Z174G,-0.2,2.3387714788254842e-08,congruent
0203-Z174G,-0.195,2.6872363203969544e-08,congruent
0203-Z174G,-0.19,-4.946637204285018e-08,congruent
0203-Z174G,-0.185,-1.0150106943429505e-07,congruent
0203-Z174G,-0.18,-3.873671954235197e-08,congruent
0203-Z174G,-0.175,1.0140608918887685e-07,congruent
0203-Z174G,-0.17,1.901407035050811e-07,congruent
0203-Z174G,-0.165,1.5032518211387198e-07,congruent
0203-Z174G,-0.16,3.378483477618816e-08,congruent
0203-Z174G,-0.155,-5.1847046164728806e-08,congruent
0203-Z174G,-0.15,-5.583644148157142e-08,congruent
0203-Z174G,-0.145,-3.253380173549099e-09,congruent
0203-Z174G,-0.14,6.868525911371633e-08,congruent
0203-Z174G,-0.135,1.5593784891770332e-07,congruent
0203-Z174G,-0.13,2.6574047465901876e-07,congruent
0203-Z174G,-0.125,3.743321831386128e-07,congruent
0203-Z174G,-0.12,4.3041721137163714e-07,congruent
0203-Z174G,-0.115,3.976769888927346e-07,congruent
0203-Z174G,-0.11,3.00128827995163e-07,congruent
0203-Z174G,-0.105,2.1945963772747667e-07,congruent
0203-Z174G,-0.1,2.263176757636425e-07,congruent
0203-Z174G,-0.095,2.975705292222466e-07,congruent
0203-Z174G,-0.09,3.164135354521397e-07,congruent
0203-Z174G,-0.085,1.8475220849361067e-07,congruent
0203-Z174G,-0.08,-6.851396483131141e-08,congruent
0203-Z174G,-0.075,-3.227572044015828e-07,congruent
0203-Z174G,-0.07,-4.956110419935426e-07,congruent
0203-Z174G,-0.065,-5.948997505325843e-07,congruent
0203-Z174G,-0.06,-6.426966488034136e-07,congruent
0203-Z174G,-0.055,-6.204081669320315e-07,congruent
0203-Z174G,-0.05,-5.288673994220247e-07,congruent
0203-Z174G,-0.045,-4.3743603045628127e-07,congruent
0203-Z174G,-0.04,-3.9526259574536686e-07,congruent
0203-Z174G,-0.035,-3.3078900495153e-07,congruent
0203-Z174G,-0.03,-1.4300308576814445e-07,congruent
0203-Z174G,-0.025,1.1173002383800622e-07,congruent
0203-Z174G,-0.02,2.435909095177909e-07,congruent
0203-Z174G,-0.015,1.8231536296152712e-07,congruent
0203-Z174G,-0.01,9.77032456681711e-08,congruent
0203-Z174G,-0.005,1.67640930881506e-07,congruent
0203-Z174G,0.0,3.145561734972367e-07,congruent
0203-Z174G,0.005,3.1525117242814195e-07,congruent
0203-Z174G,0.01,1.4324879907985374e-07,congruent
0203-Z174G,0.015,3.20975772556562e-08,congruent
0203-Z174G,0.02,1.5688787083235736e-07,congruent
0203-Z174G,0.025,3.986454549281659e-07,congruent
0203-Z174G,0.03,5.312904055800312e-07,congruent
0203-Z174G,0.035,5.279877862865016e-07,congruent
0203-Z174G,0.04,5.324173176465867e-07,congruent
0203-Z174G,0.045,5.786352806974926e-07,congruent
0203-Z174G,0.05,5.208437389706483e-07,congruent
0203-Z174G,0.055,2.7910598779463265e-07,congruent
0203-Z174G,0.06,1.030725723627588e-08,congruent
0203-Z174G,0.065,-7.1140976676688e-08,congruent
0203-Z174G,0.07,3.345282023592113e-08,congruent
0203-Z174G,0.075,1.2414524643306221e-07,congruent
0203-Z174G,0.08,6.408033233140143e-08,congruent
0203-Z174G,0.085,-7.748969943906013e-08,congruent
0203-Z174G,0.09,-1.5972034100117748e-07,congruent
0203-Z174G,0.095,-1.7091305808117597e-07,congruent
0203-Z174G,0.1,-2.41697616861033e-07,congruent
0203-Z174G,0.105,-4.794679167009049e-07,congruent
0203-Z174G,0.11,-8.137530826239825e-07,congruent
0203-Z174G,0.115,-1.016957161093217e-06,congruent
0203-Z174G,0.12,-9.164033002874741e-07,congruent
0203-Z174G,0.125,-6.078753201664522e-07,congruent
0203-Z174G,0.13,-4.075129692693313e-07,congruent
0203-Z174G,0.135,-5.228334684423885e-07,congruent
0203-Z174G,0.14,-7.949943226538231e-07,congruent
0203-Z174G,0.145,-8.73895754901518e-07,congruent
0203-Z174G,0.15,-6.610411725633781e-07,congruent
0203-Z174G,0.155,-4.5561789802689065e-07,congruent
0203-Z174G,0.16,-5.71099733043606e-07,congruent
0203-Z174G,0.165,-9.043945616287792e-07,congruent
0203-Z174G,0.17,-1.037645709440023e-06,congruent
0203-Z174G,0.175,-7.48438373408433e-07,congruent
0203-Z174G,0.18,-2.691386844724929e-07,congruent
0203-Z174G,0.185,1.607475249193971e-08,congruent
0203-Z174G,0.19,1.3651427496210543e-08,congruent
0203-Z174G,0.195,-4.7884112112010555e-08,congruent
0203-Z174G,0.2,4.28103288444536e-08,congruent
0203-Z174G,0.205,2.4594938024320034e-07,congruent
0203-Z174G,0.21,3.8768962421278877e-07,congruent
0203-Z174G,0.215,3.9881972674426274e-07,congruent
0203-Z174G,0.22,3.6462748457175797e-07,congruent
0203-Z174G,0.225,3.798921977392205e-07,congruent
0203-Z174G,0.23,4.243066771461411e-07,congruent
0203-Z174G,0.235,4.0135930086897125e-07,congruent
0203-Z174G,0.24,2.724405972768837e-07,congruent
0203-Z174G,0.245,1.2236423503195998e-07,congruent
0203-Z174G,0.25,8.397993830242311e-08,congruent
0203-Z174G,0.255,1.974471493544915e-07,congruent
0203-Z174G,0.26,3.6387557656437487e-07,congruent
0203-Z174G,0.265,4.529515029683705e-07,congruent
0203-Z174G,0.27,4.3501559011009007e-07,congruent
0203-Z174G,0.275,3.776240939128187e-07,congruent
0203-Z174G,0.28,3.4473907998120603e-07,congruent
0203-Z174G,0.285,3.5668906554482096e-07,congruent
0203-Z174G,0.29,4.430208879039777e-07,congruent
0203-Z174G,0.295,6.410109872612651e-07,congruent
0203-Z174G,0.3,8.988154641142036e-07,congruent
0203-Z174G,0.305,1.0593320284728865e-06,congruent
0203-Z174G,0.31,1.0307068302310322e-06,congruent
0203-Z174G,0.315,9.259722135840201e-07,congruent
0203-Z174G,0.32,9.337979471802834e-07,congruent
0203-Z174G,0.325,1.0647920942611598e-06,congruent
0203-Z174G,0.33,1.1394004829192572e-06,congruent
0203-Z174G,0.335,1.054317120843086e-06,congruent
0203-Z174G,0.34,9.472559753100691e-07,congruent
0203-Z174G,0.345,1.0094983796252786e-06,congruent
0203-Z174G,0.35,1.2186611881377092e-06,congruent
0203-Z174G,0.355,1.37626558566156e-06,congruent
0203-Z174G,0.36,1.3800910408851937e-06,congruent
0203-Z174G,0.365,1.3300520901508422e-06,congruent
