subject,time,evoked,condition
0203-Z174G,-0.2,3.875968539279218e-07,incongruent
0203-Z174G,-0.195,7.231083216660913e-07,incongruent
0203-Z174G,-0.19,9.527988794621784e-07,incongruent
0203-Z174G,-0.185,9.175216809838394e-07,incongruent
0203-Z174G,-0.18,7.163275044737221e-07,incongruent
0203-Z174G,-0.175,6.01006442571034e-07,incongruent
0203-Z174G,-0.17,6.545325117014204e-07,incongruent
0203-Z174G,-0.165,6.929036381811399e-07,incongruent
0203-Z174G,-0.16,5.409981306737359e-07,incongruent
0203-Z174G,-0.155,2.9596458352287705e-07,incongruent
0203-Z174G,-0.15,2.0231594128034048e-07,incongruent
0203-Z174G,-0.145,3.2133636401069986e-07,incongruent
0203-Z174G,-0.14,4.621106531726949e-07,incongruent
0203-Z174G,-0.135,4.501015001842759e-07,incongruent
0203-Z174G,-0.13,3.487637590459877e-07,incongruent
0203-Z174G,-0.125,3.3691299747540194e-07,incongruent
0203-Z174G,-0.12,4.327273154110758e-07,incongruent
0203-Z174G,-0.115,4.716211030249982e-07,incongruent
0203-Z174G,-0.11,3.6290326719174575e-07,incongruent
0203-Z174G,-0.105,2.4776625330170013e-07,incongruent
0203-Z174G,-0.1,3.019787542807175e-07,incongruent
0203-Z174G,-0.095,4.3867174386305253e-07,incongruent
0203-Z174G,-0.09,3.516787515529842e-07,incongruent
0203-Z174G,-0.085,-1.1064370961507619e-07,incongruent
0203-Z174G,-0.08,-7.160022610859444e-07,incongruent
0203-Z174G,-0.075,-1.0918669690591966e-06,incongruent
0203-Z174G,-0.07,-1.1283682190654264e-06,incongruent
0203-Z174G,-0.065,-1.0219916696628309e-06,incongruent
0203-Z174G,-0.06,-9.695271306030738e-07,incongruent
0203-Z174G,-0.055,-9.738952429684752e-07,incongruent
0203-Z174G,-0.05,-9.698505004723333e-07,incongruent
0203-Z174G,-0.045,-9.713229532647745e-07,incongruent
0203-Z174G,-0.04,-9.924508381675668e-07,incongruent
0203-Z174G,-0.035,-9.282883021275035e-07,incongruent
0203-Z174G,-0.03,-6.696802840659783e-07,incongruent
0203-Z174G,-0.025,-2.975908317578876e-07,incongruent
0203-Z174G,-0.02,-2.6666706443223673e-08,incongruent
0203-Z174G,-0.015,3.622364738801604e-08,incongruent
0203-Z174G,-0.01,-2.987406103859238e-08,incongruent
0203-Z174G,-0.005,-1.2626756011653836e-07,incongruent
