subject,time,evoked,condition
1217-SFP13,-0.2,-8.810197985857636e-08,congruent
1217-SFP13,-0.195,4.389578796473361e-08,congruent
1217-SFP13,-0.19,3.384533024165841e-08,congruent
1217-SFP13,-0.185,-1.677703875355611e-07,congruent
1217-SFP13,-0.18,-4.416324502351266e-07,congruent
1217-SFP13,-0.175,-6.203366220483458e-07,congruent
1217-SFP13,-0.17,-6.138743168149699e-07,congruent
1217-SFP13,-0.165,-4.5288009122961594e-07,congruent
1217-SFP13,-0.16,-2.585824937825095e-07,congruent
1217-SFP13,-0.155,-1.5419011880459875e-07,congruent
1217-SFP13,-0.15,-1.552581889609653e-07,congruent
1217-SFP13,-0.145,-1.427659738084214e-07,congruent
1217-SFP13,-0.14,6.338756731136654e-10,congruent
1217-SFP13,-0.135,2.200682059540133e-07,congruent
1217-SFP13,-0.13,3.155972849438354e-07,congruent
1217-SFP13,-0.125,1.747568898719546e-07,congruent
1217-SFP13,-0.12,-6.52997693925587e-08,congruent
1217-SFP13,-0.115,-1.6053219244385022e-07,congruent
1217-SFP13,-0.11,-4.4080280864145605e-08,congruent
1217-SFP13,-0.105,1.0579625811190645e-07,congruent
1217-SFP13,-0.1,9.822027546314509e-08,congruent
1217-SFP13,-0.095,-4.2640747697621834e-08,congruent
1217-SFP13,-0.09,-1.3726974330761458e-07,congruent
1217-SFP13,-0.085,-8.822141337961216e-08,congruent
1217-SFP13,-0.08,2.7644376046652676e-08,congruent
1217-SFP13,-0.075,9.777148165407845e-08,congruent
1217-SFP13,-0.07,1.2032061221271605e-07,congruent
1217-SFP13,-0.065,1.6467502643192325e-07,congruent
1217-SFP13,-0.06,2.385096064666688e-07,congruent
1217-SFP13,-0.055,2.697620803671723e-07,congruent
1217-SFP13,-0.05,2.0858758811820038e-07,congruent
1217-SFP13,-0.045,8.809809094550327e-08,congruent
1217-SFP13,-0.04,-2.8642378550750375e-08,congruent
1217-SFP13,-0.035,-1.0979043951486862e-07,congruent
1217-SFP13,-0.03,-1.364091233611375e-07,congruent
1217-SFP13,-0.025,-6.924450310513955e-08,congruent
1217-SFP13,-0.02,1.0422910528600922e-07,congruent
1217-SFP13,-0.015,3.0861194416651553e-07,congruent
1217-SFP13,-0.01,4.309090617206798e-07,congruent
1217-SFP13,-0.005,4.5175263233829837e-07,congruent
1217-SFP13,0.0,4.738376704619082e-07,congruent
