subject,time,evoked,condition
1217-SFP13,-0.2,3.8257701689012776e-07,incongruent
1217-SFP13,-0.195,3.4507977553711783e-07,incongruent
1217-SFP13,-0.19,2.623982872258668e-07,incongruent
1217-SFP13,-0.185,2.503232440338239e-07,incongruent
1217-SFP13,-0.18,3.560063981637778e-07,incongruent
1217-SFP13,-0.175,4.88786387306868e-07,incongruent
1217-SFP13,-0.17,4.928472530639861e-07,incongruent
1217-SFP13,-0.165,2.976465202054526e-07,incongruent
1217-SFP13,-0.16,-1.3008989575067417e-08,incongruent
1217-SFP13,-0.155,-2.796451465143219e-07,incongruent
1217-SFP13,-0.15,-3.934992410742834e-07,incongruent
1217-SFP13,-0.145,-3.27785233003902e-07,incongruent
1217-SFP13,-0.14,-9.785655801382052e-08,incongruent
1217-SFP13,-0.135,2.0873141255976578e-07,incongruent
1217-SFP13,-0.13,3.996850051253067e-07,incongruent
1217-SFP13,-0.125,3.1329159086381497e-07,incongruent
1217-SFP13,-0.12,4.781892857144648e-08,incongruent
1217-SFP13,-0.115,-7.480723483002129e-08,incongruent
1217-SFP13,-0.11,9.526106938464695e-08,incongruent
1217-SFP13,-0.105,2.7128674914055543e-07,incongruent
1217-SFP13,-0.1,5.195929432349165e-08,incongruent
1217-SFP13,-0.095,-5.143655702240678e-07,incongruent
1217-SFP13,-0.09,-9.078219451159079e-07,incongruent
1217-SFP13,-0.085,-7.630124492764547e-07,incongruent
1217-SFP13,-0.08,-3.23197433421676e-07,incongruent
1217-SFP13,-0.075,-1.0134560170035696e-07,incongruent
1217-SFP13,-0.07,-2.225771100583101e-07,incongruent
1217-SFP13,-0.065,-3.5117244072274796e-07,incongruent
1217-SFP13,-0.06,-2.3785631313784152e-07,incongruent
1217-SFP13,-0.055,-5.110938314490223e-08,incongruent
1217-SFP13,-0.05,-4.5138684846720945e-08,incongruent
1217-SFP13,-0.045,-1.514110010563433e-07,incongruent
1217-SFP13,-0.04,-1.4566976639627693e-07,incongruent
1217-SFP13,-0.035,-6.099060275755401e-08,incongruent
1217-SFP13,-0.03,-1.1809870207299887e-07,incongruent
1217-SFP13,-0.025,-2.7073323875154394e-07,incongruent
1217-SFP13,-0.02,-1.716095553750857e-07,incongruent
1217-SFP13,-0.015,2.745852538853519e-07,incongruent
1217-SFP13,-0.01,6.272767847506378e-07,incongruent
1217-SFP13,-0.005,4.5832304640929524e-07,incongruent
1217-SFP13,0.0,-1.1718516846741527e-09,incongruent
1217-SFP13,0.005,-1.0704638051121406e-07,incongruent
1217-SFP13,0.01,3.3357386870725906e-07,incongruent
1217-SFP13,0.015,8.13814155396428e-07,incongruent
1217-SFP13,0.02,8.497574334274257e-07,incongruent
1217-SFP13,0.025,6.118086213643342e-07,incongruent
1217-SFP13,0.03,5.836375059540743e-07,incongruent
1217-SFP13,0.035,8.285907978532334e-07,incongruent
1217-SFP13,0.04,9.523402939373576e-07,incongruent
1217-SFP13,0.045,7.349952541731548e-07,incongruent
1217-SFP13,0.05,4.4100704197567403e-07,incongruent
1217-SFP13,0.055,3.9584383752344833e-07,incongruent
1217-SFP13,0.06,5.185038926748337e-07,incongruent
1217-SFP13,0.065,4.849187457168039e-07,incongruent
1217-SFP13,0.07,2.0174914963009095e-07,incongruent
1217-SFP13,0.075,-1.0723640430994252e-07,incongruent
1217-SFP13,0.08,-2.302263671416891e-07,incongruent
1217-SFP13,0.085,-1.6945463505226265e-07,incongruent
1217-SFP13,0.09,1.1395428853801258e-08,incongruent
1217-SFP13,0.095,3.480671551815584e-07,incongruent
1217-SFP13,0.1,8.787756541015688e-07,incongruent
1217-SFP13,0.105,1.4853328329218595e-06,incongruent
1217-SFP13,0.11,1.936909189085561e-06,incongruent
1217-SFP13,0.115,2.0829347825264976e-06,incongruent
1217-SFP13,0.12,1.9376330361059256e-06,incongruent
1217-SFP13,0.125,1.6007598743900632e-06,incongruent
1217-SFP13,0.13,1.1654469776799709e-06,incongruent
1217-SFP13,0.135,6.994133249272274e-07,incongruent
1217-SFP13,0.14,2.5293442642391457e-07,incongruent
1217-SFP13,0.145,-1.502676505345376e-07,incongruent
1217-SFP13,0.15,-4.938905825900265e-07,incongruent
1217-SFP13,0.155,-7.161536158506982e-07,incongruent
1217-SFP13,0.16,-7.166876851507799e-07,incongruent
1217-SFP13,0.165,-4.6379759037239904e-07,incongruent
1217-SFP13,0.17,-9.525911197773503e-08,incongruent
1217-SFP13,0.175,1.608716704803257e-07,incongruent
