subject,condition,mean_n400,mean_p600
0130-TTVK4,congruent,4.4091134274008794e-07,3.687760385897455e-07
0130-TTVK4,incongruent,5.652339918820477e-07,5.658377224705511e-07
0104-7VZA0,congruent,6.267377725234137e-07,4.711681256655697e-07
0104-7VZA0,incongruent,1.365858686278682e-06,7.102128198601084e-07
0110-1IS78,congruent,1.5474754907339289e-06,4.1557813206811746e-07
0110-1IS78,incongruent,8.291887317636342e-07,1.2347656608389863e-06
0109-GZN0K,congruent,-3.1656829586814426e-08,-1.1766080582384006e-07
0109-GZN0K,incongruent,8.237537252729399e-08,3.2708602320450755e-07
0107-FN3G3,congruent,1.5982984238774494e-06,-1.487947521847911e-07
0107-FN3G3,incongruent,2.515735052814489e-06,1.4820871801753488e-06
0128-HBQT4,congruent,1.1791426113492613e-06,1.2379345738877607e-07
0128-HBQT4,incongruent,2.047703729062017e-06,3.9386481533995313e-07
0122-BJDQI,congruent,1.674142715418525e-07,-3.849334710859612e-07
0122-BJDQI,incongruent,3.391592971797074e-06,2.037933266889462e-07
1217-SFP13,congruent,-2.307142201485483e-08,-2.521863943963048e-07
1217-SFP13,incongruent,3.158445620539743e-07,3.114631617484412e-07
0102-PV1XF,congruent,1.227427460093368e-06,6.02205909318655e-08
0102-PV1XF,incongruent,6.31983419363007e-07,1.8020937258533608e-06
0112-ZGZE5,congruent,9.317545803192173e-07,-1.621878412054155e-07
0112-ZGZE5,incongruent,9.889498471514445e-07,-5.271310303091881e-07
0203-Z174G,congruent,1.2114018972584289e-06,5.744000133841648e-07
0203-Z174G,incongruent,1.0562979312341885e-06,6.476114562299487e-07
0108-U5RMG,congruent,1.2526175401919722e-06,1.5271352259695718e-07
0108-U5RMG,incongruent,2.2202445971516793e-06,1.4122502519865667e-06
0114-9GG89,congruent,1.971357298878373e-06,4.873827532799433e-07
0114-9GG89,incongruent,1.7230146942392214e-06,1.004577307119641e-06
0203-2VZRC,congruent,2.668253546764267e-07,5.619653611013834e-08
0203-2VZRC,incongruent,-2.1809166820911834e-08,-4.693190418585879e-08
0131-Y15CB,congruent,1.551169910465752e-06,2.9020816974762175e-07
0131-Y15CB,incongruent,4.629698063924629e-06,1.8371270021196778e-06
0131-8LNQQ,congruent,1.8115453219128126e-06,1.5248037186276873e-06
0131-8LNQQ,incongruent,2.24985093720311e-08,9.702287551865197e-07
0131-EOWYL,congruent,1.404362858394314e-06,7.657075578176855e-07
0131-EOWYL,incongruent,1.6790941603223157e-06,9.49653113628371e-07
0117-KXKZ2,congruent,3.952736095374384e-08,2.944872140986208e-07
0117-KXKZ2,incongruent,-1.0437501156516597e-07,1.4038605363349492e-06
0104-SZEQ2,congruent,4.3458266283118987e-07,-2.8144191862439275e-07
0104-SZEQ2,incongruent,-4.6925877785188345e-07,-5.404384391976155e-07
0103-XN1WL,congruent,1.2303324112369486e-06,8.721610865778313e-07
0103-XN1WL,incongruent,7.251170821427811e-07,7.535570213303529e-07
0106-TZFW3,congruent,2.894974815512094e-06,7.464697755324061e-07
0106-TZFW3,incongruent,3.6470975035116796e-06,2.7376199728610986e-06
0127-jpjw9,congruent,1.900044297490772e-06,-1.578904772367583e-08
0127-jpjw9,incongruent,3.2305343855865952e-06,5.912823901194715e-07
