epoch,drop_reason
0,OK
1,OK
2,OK
3,OK
4,OK
5,OK
6,OK
7,OK
8,OK
9,OK
10,OK
11,OK
12,OK
13,OK
14,OK
15,OK
16,OK
17,OK
18,OK
19,OK
20,OK
21,OK
22,OK
23,OK
24,OK
25,OK
26,OK
27,OK
28,OK
29,OK
30,OK
31,OK
32,OK
33,OK
34,OK
35,OK
36,OK
37,OK
38,OK
39,OK
40,OK
41,OK
42,OK
43,OK
44,OK
45,OK
46,OK
47,OK
48,AUTOREJECT
49,OK
50,OK
51,OK
52,OK
53,OK
54,OK
55,OK
56,OK
57,OK
58,OK
59,OK
60,OK
61,OK
62,OK
63,OK
64,OK
65,OK
66,OK
67,OK
68,OK
69,OK
70,OK
71,OK
72,OK
73,OK
74,OK
75,AUTOREJECT
76,OK
77,OK
78,OK
79,OK
80,OK
81,OK
82,OK
83,OK
84,OK
85,OK
86,OK
87,OK
88,OK
89,OK
90,OK
91,OK
92,OK
93,OK
94,OK
95,OK
96,OK
97,OK
98,OK
99,OK
100,OK
101,OK
102,OK
103,OK
104,OK
105,OK
106,OK
107,OK
108,OK
109,AUTOREJECT
110,OK
111,OK
112,AUTOREJECT
113,OK
114,OK
115,OK
116,OK
117,OK
118,OK
119,OK
120,OK
121,OK
122,OK
123,OK
124,OK
125,OK
126,OK
127,OK
128,OK
129,OK
130,OK
131,OK
132,AUTOREJECT
133,OK
134,OK
135,OK
136,OK
137,AUTOREJECT
138,OK
139,AUTOREJECT
140,OK
141,OK
142,OK
143,AUTOREJECT
144,OK
145,OK
146,AUTOREJECT
147,OK
148,OK
149,OK
150,OK
151,OK
152,OK
153,AUTOREJECT
154,OK
155,AUTOREJECT
156,OK
157,AUTOREJECT
158,OK
159,OK
160,OK
161,OK
162,OK
163,OK
164,OK
165,OK
166,OK
167,OK
168,OK
169,OK
170,OK
171,OK
172,OK
173,OK
174,OK
175,OK
176,OK
177,OK
178,OK
179,OK
180,OK
181,OK
182,OK
183,OK
184,AUTOREJECT
185,AUTOREJECT
186,OK
187,AUTOREJECT
188,OK
189,OK
190,OK
191,OK
192,OK
193,OK
194,OK
195,OK
196,OK
197,OK
198,OK
199,OK
200,OK
201,OK
202,OK
203,OK
204,OK
205,OK
206,OK
207,AUTOREJECT
208,OK
209,OK
210,OK
211,OK
212,OK
213,OK
214,OK
215,OK
216,AUTOREJECT
217,OK
218,OK
219,OK
220,OK
221,OK
222,OK
223,OK
224,AUTOREJECT
225,OK
226,OK
227,AUTOREJECT
228,AUTOREJECT
229,OK
230,OK
231,AUTOREJECT
232,OK
233,OK
234,AUTOREJECT
235,OK
236,OK
237,OK
238,OK
239,OK
240,OK
241,OK
242,OK
243,OK
244,OK
245,OK
246,OK
247,OK
248,OK
249,OK
250,OK
251,OK
252,AUTOREJECT
253,OK
254,OK
255,OK
256,OK
257,AUTOREJECT
258,AUTOREJECT
259,AUTOREJECT
260,OK
261,OK
262,OK
263,OK
264,OK
265,OK
266,OK
267,AUTOREJECT
268,OK
269,OK
270,OK
271,OK
272,OK
273,OK
274,OK
275,OK
276,OK
277,OK
278,OK
279,OK
280,OK
281,OK
282,OK
283,OK
284,OK
285,AUTOREJECT
286,OK
287,OK
288,OK
289,AUTOREJECT
290,AUTOREJECT
