epoch,drop_reason
0,OK
1,OK
2,OK
3,OK
4,OK
5,OK
6,OK
7,OK
8,AUTOREJECT
9,OK
10,OK
11,OK
12,OK
13,OK
14,OK
15,OK
16,OK
17,AUTOREJECT
18,OK
19,OK
20,OK
21,OK
22,OK
23,OK
24,OK
25,OK
26,OK
27,OK
28,AUTOREJECT
29,OK
30,OK
31,OK
32,OK
33,OK
34,AUTOREJECT
35,AUTOREJECT
36,AUTOREJECT
37,OK
38,OK
39,OK
40,AUTOREJECT
41,OK
42,OK
43,OK
44,OK
45,OK
46,OK
47,OK
48,OK
49,OK
50,OK
51,AUTOREJECT
52,OK
53,OK
54,OK
55,OK
56,OK
57,OK
58,OK
59,OK
60,OK
61,OK
62,OK
63,OK
64,OK
65,OK
66,OK
67,OK
68,AUTOREJECT
69,AUTOREJECT
70,OK
71,OK
72,OK
73,OK
74,OK
75,OK
76,OK
77,OK
78,AUTOREJECT
79,AUTOREJECT
80,AUTOREJECT
81,AUTOREJECT
82,AUTOREJECT
83,OK
84,AUTOREJECT
85,AUTOREJECT
86,OK
87,OK
88,OK
89,OK
90,OK
91,OK
92,OK
93,OK
94,OK
95,OK
96,OK
97,OK
98,OK
99,OK
100,OK
101,AUTOREJECT
102,AUTOREJECT
103,OK
104,OK
105,OK
106,OK
107,OK
108,OK
109,AUTOREJECT
110,AUTOREJECT
111,OK
112,OK
113,OK
114,OK
115,OK
116,OK
117,OK
118,OK
119,AUTOREJECT
120,OK
121,OK
122,OK
123,OK
124,OK
125,OK
126,OK
127,OK
128,OK
129,OK
130,OK
131,OK
132,OK
133,OK
134,OK
135,OK
136,OK
137,OK
138,OK
139,OK
140,AUTOREJECT
141,OK
142,OK
143,OK
144,OK
145,AUTOREJECT
146,AUTOREJECT
147,OK
148,OK
149,OK
150,AUTOREJECT
151,AUTOREJECT
152,OK
153,OK
154,OK
155,OK
156,OK
157,OK
158,OK
159,OK
160,OK
161,OK
162,OK
163,OK
164,OK
165,OK
166,OK
167,OK
168,AUTOREJECT
169,AUTOREJECT
170,AUTOREJECT
171,AUTOREJECT
172,AUTOREJECT
173,OK
174,OK
175,OK
176,OK
177,OK
178,OK
179,OK
180,OK
181,OK
182,OK
183,AUTOREJECT
184,OK
185,OK
186,OK
187,OK
188,OK
189,OK
190,OK
191,AUTOREJECT
192,OK
193,OK
194,OK
195,OK
196,OK
197,OK
198,AUTOREJECT
199,OK
200,OK
201,OK
202,OK
203,OK
204,OK
205,OK
206,OK
207,OK
208,OK
209,OK
210,AUTOREJECT
211,OK
212,OK
213,OK
214,OK
215,OK
216,OK
217,OK
218,OK
219,OK
220,OK
221,OK
222,OK
223,OK
224,OK
225,OK
226,OK
227,OK
228,OK
229,OK
230,OK
231,OK
232,OK
233,OK
234,OK
235,OK
236,AUTOREJECT
237,OK
238,OK
239,AUTOREJECT
240,AUTOREJECT
241,AUTOREJECT
242,AUTOREJECT
243,OK
244,OK
245,OK
246,OK
247,OK
248,OK
249,OK
250,OK
251,OK
252,OK
253,OK
254,AUTOREJECT
255,AUTOREJECT
256,OK
257,OK
258,OK
259,AUTOREJECT
260,AUTOREJECT
261,OK
262,OK
263,OK
264,OK
265,OK
266,OK
267,AUTOREJECT
268,AUTOREJECT
269,AUTOREJECT
270,AUTOREJECT
271,AUTOREJECT
272,AUTOREJECT
273,AUTOREJECT
274,OK
275,AUTOREJECT
276,OK
277,OK
278,OK
279,OK
280,AUTOREJECT
281,AUTOREJECT
282,AUTOREJECT
283,AUTOREJECT
284,AUTOREJECT
285,OK
286,OK
287,OK
288,OK
289,OK
290,OK
