epoch,drop_reason
0,AUTOREJECT
1,AUTOREJECT
2,AUTOREJECT
3,AUTOREJECT
4,AUTOREJECT
5,AUTOREJECT
6,AUTOREJECT
7,AUTOREJECT
8,AUTOREJECT
9,AUTOREJECT
10,AUTOREJECT
11,AUTOREJECT
12,AUTOREJECT
13,AUTOREJECT
14,AUTOREJECT
15,OK
16,OK
17,OK
18,OK
19,OK
20,OK
21,OK
22,OK
23,OK
24,OK
25,OK
26,OK
27,OK
28,OK
29,OK
30,OK
31,OK
32,OK
33,OK
34,OK
35,OK
36,AUTOREJECT
37,AUTOREJECT
38,OK
39,AUTOREJECT
40,OK
41,OK
42,AUTOREJECT
43,OK
44,OK
45,OK
46,OK
47,OK
48,OK
49,OK
50,OK
51,OK
52,OK
53,OK
54,OK
55,OK
56,OK
57,OK
58,OK
59,OK
60,OK
61,OK
62,OK
63,OK
64,OK
65,OK
66,OK
67,OK
68,OK
69,OK
70,OK
71,OK
72,OK
73,OK
74,OK
75,OK
76,OK
77,OK
78,OK
79,OK
80,OK
81,OK
82,OK
83,OK
84,OK
85,OK
86,OK
87,OK
88,AUTOREJECT
89,AUTOREJECT
90,AUTOREJECT
91,AUTOREJECT
92,OK
93,OK
94,OK
95,OK
96,AUTOREJECT
97,OK
98,OK
99,OK
100,OK
101,OK
102,OK
103,OK
104,AUTOREJECT
105,OK
106,OK
107,OK
108,AUTOREJECT
109,OK
110,OK
111,OK
112,OK
113,AUTOREJECT
114,AUTOREJECT
115,OK
116,AUTOREJECT
117,OK
118,OK
119,AUTOREJECT
120,AUTOREJECT
121,AUTOREJECT
122,OK
123,AUTOREJECT
124,AUTOREJECT
125,OK
126,AUTOREJECT
127,OK
128,AUTOREJECT
129,OK
130,OK
131,OK
132,OK
133,OK
134,OK
135,OK
136,OK
137,OK
138,AUTOREJECT
139,OK
140,OK
141,OK
142,OK
143,OK
144,OK
145,OK
146,OK
147,OK
148,OK
149,OK
150,OK
151,OK
152,OK
153,OK
154,OK
155,OK
156,OK
157,OK
158,OK
159,OK
160,OK
161,OK
162,OK
163,AUTOREJECT
164,AUTOREJECT
165,AUTOREJECT
166,AUTOREJECT
167,AUTOREJECT
168,OK
169,OK
170,OK
171,AUTOREJECT
172,AUTOREJECT
173,OK
174,OK
175,OK
176,OK
177,OK
178,OK
179,OK
180,OK
181,OK
182,OK
183,AUTOREJECT
184,OK
185,OK
186,OK
187,OK
188,OK
189,OK
190,OK
191,OK
192,OK
193,OK
194,OK
195,OK
196,OK
197,OK
198,OK
199,OK
200,OK
201,OK
202,OK
203,OK
204,OK
205,OK
206,OK
207,OK
208,OK
209,OK
210,OK
211,OK
212,OK
213,OK
214,OK
215,AUTOREJECT
216,OK
217,OK
218,OK
219,OK
220,OK
221,OK
222,OK
223,OK
224,OK
225,OK
226,OK
227,OK
228,OK
229,OK
230,OK
231,OK
232,OK
233,AUTOREJECT
234,OK
235,AUTOREJECT
236,AUTOREJECT
237,AUTOREJECT
238,AUTOREJECT
239,OK
240,OK
241,AUTOREJECT
242,AUTOREJECT
243,AUTOREJECT
244,OK
245,OK
246,OK
247,OK
248,OK
249,OK
250,OK
251,OK
252,OK
253,OK
254,AUTOREJECT
255,OK
256,OK
257,OK
258,OK
259,OK
260,OK
261,OK
262,OK
263,OK
264,OK
265,OK
266,AUTOREJECT
267,AUTOREJECT
268,OK
269,OK
270,OK
271,AUTOREJECT
272,OK
273,AUTOREJECT
274,AUTOREJECT
275,OK
276,OK
277,OK
278,OK
279,OK
280,OK
281,AUTOREJECT
282,OK
283,AUTOREJECT
284,AUTOREJECT
285,OK
286,OK
287,AUTOREJECT
288,OK
289,OK
290,OK
