epoch,drop_reason
0,OK
1,OK
2,OK
3,OK
4,OK
5,OK
6,OK
7,OK
8,OK
9,OK
10,OK
11,OK
12,OK
13,OK
14,AUTOREJECT
15,OK
16,OK
17,OK
18,OK
19,OK
20,OK
21,OK
22,OK
23,OK
24,OK
25,AUTOREJECT
26,OK
27,OK
28,OK
29,OK
30,OK
31,AUTOREJECT
32,OK
33,AUTOREJECT
34,OK
35,OK
36,OK
37,AUTOREJECT
38,OK
39,OK
40,AUTOREJECT
41,OK
42,AUTOREJECT
43,AUTOREJECT
44,AUTOREJECT
45,AUTOREJECT
46,OK
47,OK
48,AUTOREJECT
49,OK
50,OK
51,OK
52,OK
53,OK
54,OK
55,OK
56,OK
57,OK
58,OK
59,OK
60,OK
61,OK
62,OK
63,OK
64,OK
65,OK
66,OK
67,OK
68,OK
69,OK
70,OK
71,OK
72,OK
73,OK
74,OK
75,OK
76,OK
77,OK
78,OK
79,OK
80,OK
81,OK
82,OK
83,OK
84,OK
85,OK
86,OK
87,OK
88,OK
89,OK
90,OK
91,OK
92,OK
93,OK
94,OK
95,OK
96,OK
97,OK
98,OK
99,OK
100,OK
101,OK
102,OK
103,OK
104,OK
105,OK
106,OK
107,OK
108,OK
109,OK
110,OK
111,OK
112,OK
113,OK
114,OK
115,OK
116,OK
117,OK
118,OK
119,OK
120,OK
121,OK
122,OK
123,OK
124,OK
125,OK
126,OK
127,OK
128,OK
129,OK
130,OK
131,OK
132,OK
133,OK
134,OK
135,OK
136,OK
137,OK
138,OK
139,OK
140,OK
141,OK
142,OK
143,OK
144,OK
145,OK
146,OK
147,OK
148,OK
149,OK
150,OK
151,OK
152,OK
153,OK
154,OK
155,OK
156,OK
157,OK
158,OK
159,OK
160,OK
161,OK
162,OK
163,OK
164,OK
165,OK
166,OK
167,OK
168,OK
169,OK
170,OK
171,OK
172,AUTOREJECT
173,AUTOREJECT
174,OK
175,AUTOREJECT
176,AUTOREJECT
177,AUTOREJECT
178,AUTOREJECT
179,AUTOREJECT
180,OK
181,OK
182,AUTOREJECT
183,OK
184,OK
185,OK
186,AUTOREJECT
187,OK
188,OK
189,OK
190,AUTOREJECT
191,OK
192,OK
193,OK
194,AUTOREJECT
195,AUTOREJECT
196,OK
197,AUTOREJECT
198,OK
199,OK
200,OK
201,AUTOREJECT
202,AUTOREJECT
203,OK
204,OK
205,OK
206,OK
207,AUTOREJECT
208,AUTOREJECT
209,AUTOREJECT
210,OK
211,AUTOREJECT
212,AUTOREJECT
213,AUTOREJECT
214,AUTOREJECT
215,AUTOREJECT
216,AUTOREJECT
217,OK
218,AUTOREJECT
219,OK
220,AUTOREJECT
221,AUTOREJECT
222,OK
223,AUTOREJECT
224,AUTOREJECT
225,AUTOREJECT
226,OK
227,OK
228,OK
229,OK
230,OK
231,AUTOREJECT
232,OK
233,OK
234,AUTOREJECT
235,AUTOREJECT
236,AUTOREJECT
237,OK
238,OK
239,OK
240,OK
241,OK
242,OK
243,OK
244,OK
245,OK
246,OK
247,OK
248,OK
249,OK
250,OK
251,OK
252,OK
253,OK
254,OK
255,OK
256,OK
257,OK
258,OK
259,OK
260,OK
261,OK
262,OK
263,OK
264,OK
265,OK
266,OK
267,OK
268,OK
269,OK
270,OK
271,OK
272,AUTOREJECT
273,AUTOREJECT
274,OK
275,OK
276,OK
277,OK
278,OK
279,OK
280,OK
281,OK
282,OK
283,OK
284,AUTOREJECT
285,OK
286,OK
287,OK
288,OK
289,OK
290,OK
