subject,condition,mean_n400,mean_p600,CS Experience (CSA score),Literacy (DIBEL score)
0218-UI3NX,congruent,-8.01E-07,-1.45E-06,13.3,498
0218-UI3NX,incongruent,-5.38E-07,-5.93E-07,13.3,498
0505-LX4TU,congruent,-1.11E-06,-5.43E-07,11.1,
0505-LX4TU,incongruent,-1.78E-06,-5.90E-07,11.1,
0506-WC5DT,congruent,-7.40E-07,3.33E-08,48.5,415
0506-WC5DT,incongruent,3.45E-08,-4.32E-07,48.5,415
0218-CPZLU,congruent,-1.24E-06,-2.03E-07,49.4,510
0218-CPZLU,incongruent,-1.34E-06,3.20E-07,49.4,510
0418-C6THE,congruent,-3.66E-07,-3.18E-07,57.8,451
0418-C6THE,incongruent,6.22E-07,5.08E-07,57.8,451
0504-OAFG2,congruent,1.32E-06,-4.80E-08,44.9,388
0504-OAFG2,incongruent,2.51E-06,1.38E-06,44.9,388
0422-J66OS,congruent,-1.33E-06,-6.01E-07,54.9,415
0422-J66OS,incongruent,-2.02E-06,-3.54E-07,54.9,415
0509-IWZ0S,congruent,1.48E-06,4.75E-07,11.1,437
0509-IWZ0S,incongruent,1.81E-06,1.43E-06,11.1,437
0329-Y9RCL,congruent,-8.97E-08,2.50E-07,55,420
0329-Y9RCL,incongruent,-2.23E-07,1.47E-06,55,420
0424-2FCTD,congruent,9.61E-08,-4.67E-07,13.3,453
0424-2FCTD,incongruent,5.04E-07,2.99E-07,13.3,453
0322-ZN6NA,congruent,-3.52E-07,-5.66E-07,11.1,433
0322-ZN6NA,incongruent,-2.19E-07,-3.55E-07,11.1,433
0424-HC0WZ,congruent,-6.38E-07,-1.42E-07,73.6,445
0424-HC0WZ,incongruent,-9.28E-07,-5.23E-07,73.6,445
0221-6FG4N,congruent,8.66E-08,-5.53E-08,52.5,433
0221-6FG4N,incongruent,-2.48E-07,8.16E-08,52.5,433
