subject,condition,mean_n400,mean_p600
0218-UI3NX,congruent,-8.014480932794725e-07,-1.4498009698110161e-06
0218-UI3NX,incongruent,-5.380077061816291e-07,-5.929584349135905e-07
0505-LX4TU,congruent,-1.112702203942858e-06,-5.43005032550678e-07
0505-LX4TU,incongruent,-1.7828122738628124e-06,-5.896823886713598e-07
0506-WC5DT,congruent,-7.401136179181499e-07,3.3315048323778966e-08
0506-WC5DT,incongruent,3.445991874136946e-08,-4.32351535239015e-07
0218-CPZLU,congruent,-1.2418718787093778e-06,-2.0298357497779816e-07
0218-CPZLU,incongruent,-1.3448760797173217e-06,3.196966090630162e-07
0418-C6THE,congruent,-3.664276963729081e-07,-3.1794718838007753e-07
0418-C6THE,incongruent,6.220556581268789e-07,5.079793452259614e-07
0504-OAFG2,congruent,1.3247212445821399e-06,-4.7960494293117365e-08
0504-OAFG2,incongruent,2.5067141531611917e-06,1.384466916176526e-06
0422-J66OS,congruent,-1.3317746983864315e-06,-6.014892207067981e-07
0422-J66OS,incongruent,-2.0237631114526736e-06,-3.539463838767396e-07
0509-IWZ0S,congruent,1.4792604372865721e-06,4.751421832851493e-07
0509-IWZ0S,incongruent,1.805493751812018e-06,1.4285095297168824e-06
0329-Y9RCL,congruent,-8.965469587827976e-08,2.497441676621681e-07
0329-Y9RCL,incongruent,-2.23225696071216e-07,1.4672482263899347e-06
0424-2FCTD,congruent,9.611826225947144e-08,-4.6657712142376293e-07
0424-2FCTD,incongruent,5.038234100336582e-07,2.993397048881842e-07
0322-ZN6NA,congruent,-3.516543176818754e-07,-5.658617369843581e-07
0322-ZN6NA,incongruent,-2.1910686991954212e-07,-3.553555776738966e-07
0424-HC0WZ,congruent,-6.380692669990079e-07,-1.4161652483454767e-07
0424-HC0WZ,incongruent,-9.282195005579742e-07,-5.231271532162466e-07
0221-6FG4N,congruent,8.65849643454145e-08,-5.5312386007684875e-08
0221-6FG4N,incongruent,-2.4807692251768736e-07,8.160202427839346e-08
