subject,condition,mean_n400,mean_p600
0205-L8NWB,congruent,1.7563361719416916e-07,-3.297484014776351e-07
0205-L8NWB,incongruent,4.270109746893077e-06,1.406515441327307e-06
0228-XZBNN,congruent,9.191088810776937e-07,1.9976211861823287e-07
0228-XZBNN,incongruent,3.0998738733882195e-06,1.6393393398521209e-06
0130-TTVK4,congruent,1.7563320158926198e-06,6.372583813745586e-07
0130-TTVK4,incongruent,1.674352937487402e-06,1.0603309970880064e-06
0214-2YMBI,congruent,3.125928100019436e-06,8.45739627628011e-07
0214-2YMBI,incongruent,6.605691664274008e-06,1.7128712092032113e-06
0104-7VZA0,congruent,1.858328890847729e-07,1.0076349616238242e-07
0104-7VZA0,incongruent,1.7985823284611682e-07,2.786027582825269e-07
0228-YT88Y,congruent,-7.459966083359693e-08,1.6629719933478117e-07
0228-YT88Y,incongruent,3.983747810451698e-07,1.046433570498496e-06
0225-E4ZGB,congruent,-3.035380929317709e-08,-3.842281077334742e-07
0225-E4ZGB,incongruent,9.876160008890549e-08,1.5800817555920733e-07
0110-1IS78,congruent,2.1497411508432695e-06,7.81947132101617e-07
0110-1IS78,incongruent,8.967275453512142e-07,1.080611647720602e-06
0109-GZN0K,congruent,1.3945760519356016e-07,1.7815750941656992e-07
0109-GZN0K,incongruent,6.991873504415866e-07,1.9468494719696792e-06
0107-FN3G3,congruent,2.9597239762568017e-06,-1.2586862166793123e-10
0107-FN3G3,incongruent,4.38356755274728e-06,2.8239535376217975e-06
0228-1PKF4,congruent,4.029456684761308e-07,-3.0988192339602354e-07
0228-1PKF4,incongruent,1.851118393094154e-08,-1.1907378145431665e-07
0128-HBQT4,congruent,2.225689161760047e-06,5.433739009640299e-07
0128-HBQT4,incongruent,3.903092958285404e-06,1.205832419726463e-06
0227-R9VBU,congruent,1.6619377597916927e-06,6.070418925255132e-07
0227-R9VBU,incongruent,2.0624641940952714e-06,1.3116022585848835e-06
0226-YE8MQ,congruent,4.907312037401601e-06,1.7101022169706794e-06
0226-YE8MQ,incongruent,6.482415069255852e-06,1.5176477457090413e-06
0122-BJDQI,congruent,2.3965296930223975e-07,-1.6516754691424327e-07
0122-BJDQI,incongruent,5.708767780838563e-07,7.225901288899284e-07
1217-SFP13,congruent,-2.448688960618073e-06,-7.176185645818651e-07
1217-SFP13,incongruent,-1.5307715512827538e-06,2.2274261668559826e-06
0207-IFIR3,congruent,1.9336322625761327e-06,6.525093221525803e-07
0207-IFIR3,incongruent,2.9873393364440864e-06,1.967859925981932e-06
0102-PV1XF,congruent,1.5235966719164145e-06,-1.441796943199848e-07
0102-PV1XF,incongruent,1.1236790304889475e-06,3.478129679109053e-06
0213-WHEUJ,congruent,1.5332022004410153e-06,-1.585772859018592e-07
0213-WHEUJ,incongruent,6.039472771846196e-06,5.1738467589694715e-06
0210-S6ZC7,congruent,-5.346849267497029e-08,6.684692140424099e-07
0210-S6ZC7,incongruent,3.029140525024446e-07,1.256578900951592e-06
0112-ZGZE5,congruent,2.318337164964586e-06,2.3692581011937067e-07
0112-ZGZE5,incongruent,2.791879878888764e-06,1.2298482054220351e-06
0203-Z174G,congruent,4.1774221493014606e-07,5.384583630427154e-07
0203-Z174G,incongruent,8.634063072915416e-07,9.390250253422625e-07
0108-U5RMG,congruent,2.4829873231563776e-06,6.136625448627256e-07
0108-U5RMG,incongruent,4.971721980986287e-06,3.399240045658522e-06
0114-9GG89,congruent,3.146926902693939e-06,8.910637161397493e-07
0114-9GG89,incongruent,2.393595348416123e-06,1.9457052456603034e-06
